Image,Similarity
ps,0.8262336850166321
kw,0.819894552230835
hn,0.7960570454597473
ye,0.7878499627113342
eh,0.7824215292930603
sl,0.7672141790390015
sd,0.7629602551460266
uz,0.758785605430603
eg,0.7574743032455444
sv,0.7371119856834412
gq,0.7224953770637512
iq,0.7181092500686646
bq,0.7131835222244263
nl,0.7131835222244263
ni,0.7018701434135437
sy,0.6996206641197205
ir,0.6879690289497375
hu,0.6705759763717651
jo,0.6627916097640991
as,0.6374194622039795
py,0.6122880578041077
in,0.5772910118103027
hr,0.5760329365730286
tj,0.560352087020874
ls,0.5551555156707764
ne,0.5152561664581299
at,0.49394431710243225
lv,0.47011083364486694
lu,0.4463734030723572
aq,0.42136815190315247
ar,0.38014161586761475
mo,0.3767596185207367
ga,0.37159258127212524
bo,0.3565138578414917
bs,0.3473374843597412
dj,0.34612324833869934
gb-sct,0.33870476484298706
il,0.317796915769577
rw,0.29711365699768066
do,0.29419395327568054
jm,0.28822383284568787
st,0.2806311249732971
cx,0.2724665403366089
et,0.269051730632782
bz,0.25313469767570496
so,0.24567481875419617
pf,0.2441481649875641
az,0.2433815896511078
is,0.24085970222949982
mh,0.23484505712985992
gu,0.22120480239391327
gh,0.2174740433692932
sa,0.21237865090370178
kh,0.21014520525932312
sb,0.20630131661891937
se,0.1892249435186386
ph,0.18449771404266357
lb,0.18405024707317352
kz,0.1840497851371765
nr,0.18300580978393555
br,0.17827634513378143
gr,0.17747214436531067
dk,0.17554926872253418
la,0.17514698207378387
ch,0.1678672730922699
dm,0.16689758002758026
mp,0.16152478754520416
xk,0.15226617455482483
bi,0.1424383670091629
pw,0.14233803749084473
gy,0.1415119171142578
bd,0.14106598496437073
ss,0.13945837318897247
ai,0.13758942484855652
ht,0.13108006119728088
cv,0.13040030002593994
cc,0.12894241511821747
pl,0.12525513768196106
gm,0.12118053436279297
fm,0.11787717044353485
cf,0.10820864140987396
cl,0.10635766386985779
fk,0.10083367675542831
tc,0.09786902368068695
aw,0.0927639752626419
ms,0.08889980614185333
bt,0.08719171583652496
ax,0.08149844408035278
cg,0.08046408742666245
pk,0.07977328449487686
sx,0.07591845840215683
af,0.0737147331237793
mr,0.0735059455037117
na,0.072541743516922
gi,0.0703125149011612
ke,0.06764106452465057
eu,0.06677306443452835
tv,0.06494888663291931
pn,0.06429190933704376
mm,0.062357254326343536
mn,0.06157959997653961
tm,0.05718522518873215
nz,0.05438000708818436
tf,0.05395103245973587
ba,0.05321415513753891
tn,0.0507705956697464
gs,0.05049661174416542
zm,0.04766204208135605
es,0.047439005225896835
hk,0.04638264328241348
ng,0.04564167186617851
bv,0.04525494575500488
no,0.04525494575500488
sj,0.04525494575500488
pa,0.04362775385379791
au,0.04324739798903465
hm,0.04324739798903465
za,0.04030619561672211
ky,0.03796572610735893
ck,0.03345716744661331
gl,0.030965477228164673
bj,0.030230671167373657
pt,0.029602909460663795
cd,0.028654389083385468
vg,0.0275168064981699
dz,0.0259198397397995
ie,0.02493167668581009
ci,0.02127002365887165
gb-nir,0.01940888911485672
gb,0.01940888911485672
sh,0.01940888911485672
km,0.018266461789608
gw,0.01659414917230606
it,0.014362521469593048
kp,0.010222133249044418
cz,0.009404245764017105
fj,0.008717876859009266
mw,0.008693557232618332
cw,0.006480768322944641
ec,0.005821608006954193
co,0.0053761787712574005
ag,0.003255583345890045
io,-0.001293577253818512
bl,-0.006231535226106644
fr,-0.006231535226106644
gf,-0.006231535226106644
gp,-0.006231535226106644
mf,-0.006231535226106644
mq,-0.006231535226106644
nc,-0.006231535226106644
pm,-0.006231535226106644
re,-0.006231535226106644
yt,-0.006231535226106644
bm,-0.007047977298498154
pg,-0.007385954260826111
wf,-0.01101897656917572
ua,-0.01239744946360588
lc,-0.012595027685165405
tk,-0.019666003063321114
lk,-0.021822910755872726
li,-0.022558512166142464
gt,-0.022580135613679886
ao,-0.030243419110774994
im,-0.033708035945892334
cu,-0.03665783256292343
mt,-0.042335644364356995
nf,-0.04290317744016647
by,-0.048092249780893326
gn,-0.04904858022928238
mk,-0.0493510439991951
mg,-0.05143336206674576
sz,-0.051839061081409454
ml,-0.05207890644669533
er,-0.053128041326999664
me,-0.054686736315488815
to,-0.05606379359960556
vn,-0.05627413094043732
tt,-0.06025680899620056
tg,-0.062105365097522736
ro,-0.062339894473552704
be,-0.06572677195072174
cm,-0.0663304552435875
tr,-0.06870736181735992
sm,-0.06949682533740997
td,-0.0699974000453949
si,-0.07204551994800568
pr,-0.07595111429691315
kn,-0.07677581906318665
gb-wls,-0.07829172909259796
ad,-0.07877795398235321
nu,-0.07967343181371689
np,-0.08255623281002045
mu,-0.0837099552154541
bf,-0.08475087583065033
va,-0.08730610460042953
tl,-0.08880963921546936
bn,-0.08884216099977493
uy,-0.08919797837734222
om,-0.09142118692398071
tz,-0.09381477534770966
sn,-0.09629935026168823
kg,-0.09872907400131226
ws,-0.10070840269327164
um,-0.10239540040493011
us,-0.10239540040493011
lr,-0.1045440211892128
mv,-0.11876077204942703
kr,-0.11987628787755966
tw,-0.1320727914571762
mx,-0.13422900438308716
vc,-0.13551123440265656
qa,-0.13724127411842346
cy,-0.14068597555160522
ki,-0.1443881392478943
bb,-0.14708468317985535
bh,-0.153753399848938
je,-0.15623420476913452
my,-0.15629561245441437
sr,-0.16212715208530426
sk,-0.170065775513649
cn,-0.1726757287979126
md,-0.1741999387741089
ug,-0.18013876676559448
de,-0.1840662956237793
sg,-0.19709400832653046
pe,-0.20184819400310516
ma,-0.20409181714057922
sc,-0.20837268233299255
bg,-0.2174842357635498
mc,-0.2206898182630539
vu,-0.22701677680015564
bw,-0.22791972756385803
vi,-0.23699307441711426
id,-0.23841515183448792
ve,-0.24676021933555603
al,-0.2574194669723511
ge,-0.26367002725601196
gd,-0.26454949378967285
ly,-0.28603848814964294
gg,-0.2880546450614929
cr,-0.29109257459640503
ru,-0.2927290201187134
fo,-0.30121439695358276
zw,-0.3033415675163269
jp,-0.30399858951568604
gb-eng,-0.3087015151977539
ca,-0.3256400227546692
am,-0.3748663663864136
fi,-0.4007222652435303
mz,-0.4132087826728821
lt,-0.42354872822761536
rs,-0.48764675855636597
th,-0.6182577013969421
ee,-0.7336831092834473
