Image,Similarity
as,0.5659196972846985
hn,0.5101980566978455
ni,0.5094932317733765
sv,0.4722627103328705
sl,0.46969735622406006
uz,0.44180062413215637
gb-sct,0.426553338766098
so,0.4219352900981903
ae,0.42136815190315247
bq,0.41972455382347107
nl,0.41972455382347107
ps,0.41558098793029785
mp,0.4031769633293152
bz,0.39772528409957886
ar,0.39664995670318604
ng,0.38498061895370483
ls,0.38442087173461914
hu,0.37910592555999756
lu,0.3774162828922272
eh,0.37639498710632324
il,0.36453256011009216
py,0.36244770884513855
sd,0.3589993119239807
kw,0.3552371859550476
jo,0.3551863729953766
tj,0.3548330068588257
fm,0.3529057502746582
ye,0.3416445255279541
bl,0.33538761734962463
fr,0.33538761734962463
gf,0.33538761734962463
gp,0.33538761734962463
mf,0.33538761734962463
mq,0.33538761734962463
nc,0.33538761734962463
pm,0.33538761734962463
re,0.33538761734962463
yt,0.33538761734962463
gt,0.33277735114097595
it,0.32983940839767456
ir,0.3256373703479767
hr,0.3237079381942749
xk,0.32108384370803833
ie,0.3206115961074829
bi,0.32028836011886597
mo,0.31973040103912354
eg,0.30416229367256165
cu,0.3000754117965698
bs,0.2988024055957794
kz,0.2985144555568695
do,0.2780894637107849
iq,0.27144545316696167
gq,0.26421570777893066
dz,0.2626686096191406
kh,0.2605287432670593
ci,0.25881314277648926
sy,0.2556968927383423
fj,0.2526364326477051
mx,0.2520512044429779
aw,0.2506038248538971
cv,0.24799978733062744
at,0.24561190605163574
in,0.23146647214889526
gu,0.228262796998024
pw,0.22109833359718323
tv,0.21991583704948425
mh,0.21896030008792877
dj,0.21697629988193512
gr,0.20950676500797272
rw,0.2079564779996872
ga,0.19969695806503296
pf,0.19725266098976135
cx,0.19679607450962067
ne,0.19597432017326355
ch,0.19585548341274261
lv,0.1893269568681717
uy,0.18569889664649963
pa,0.17461003363132477
io,0.15827186405658722
pr,0.15726688504219055
ag,0.1557382494211197
lb,0.15202878415584564
az,0.1464616060256958
af,0.14452722668647766
cd,0.13423365354537964
sa,0.13373227417469025
cl,0.13343395292758942
tf,0.13043814897537231
eu,0.12665881216526031
la,0.12270619720220566
cr,0.11412803083658218
ba,0.11284385621547699
pe,0.1082363873720169
is,0.10805843770503998
nr,0.10742343962192535
lc,0.10525397956371307
nf,0.1021832674741745
um,0.09363299608230591
us,0.09363299608230591
ss,0.09179769456386566
jm,0.09035171568393707
km,0.08583196997642517
mm,0.08517500013113022
be,0.08373050391674042
pl,0.08122880011796951
mn,0.08120017498731613
gy,0.08019939064979553
fi,0.07571256160736084
sb,0.07536108791828156
hk,0.07014523446559906
se,0.06996854394674301
ht,0.06803295761346817
sr,0.06688515096902847
fo,0.06548145413398743
sm,0.06314003467559814
cw,0.060476820915937424
ck,0.0588536374270916
tn,0.057589512318372726
bw,0.056230440735816956
sn,0.05445462465286255
gb-nir,0.05374433845281601
gb,0.05374433845281601
sh,0.05374433845281601
bd,0.051296934485435486
dk,0.05046042054891586
st,0.045083239674568176
cz,0.04193050414323807
na,0.04177261143922806
bo,0.040422312915325165
sg,0.040107160806655884
kr,0.03947119042277336
ro,0.03800854831933975
za,0.036860719323158264
cy,0.030200175940990448
cg,0.028949305415153503
ad,0.027003318071365356
va,0.024488814175128937
bb,0.024323396384716034
gl,0.023894544690847397
pk,0.023866089060902596
mc,0.023788683116436005
cf,0.021542958915233612
fk,0.021284012123942375
dm,0.021163932979106903
lr,0.020216241478919983
bt,0.018344098702073097
ms,0.01782119646668434
br,0.011477604508399963
gm,0.011315952986478806
au,0.008920665830373764
hm,0.008920665830373764
pn,0.00879198033362627
nz,0.007480833679437637
td,0.0048964545130729675
sz,0.003568466752767563
my,0.002537274733185768
ki,0.0009557902812957764
ai,2.3905187845230103e-05
gh,-0.003031715750694275
tk,-0.0035293176770210266
kp,-0.0036210529506206512
ky,-0.00702566746622324
ke,-0.007325872778892517
ax,-0.010596103966236115
vg,-0.011502035893499851
gn,-0.01598350703716278
et,-0.016407597810029984
id,-0.01861637830734253
si,-0.020167358219623566
gs,-0.02104685828089714
ua,-0.02126462012529373
tc,-0.021935172379016876
bj,-0.02223017066717148
ml,-0.023704618215560913
mr,-0.023954123258590698
sx,-0.02764146775007248
tg,-0.035137541592121124
bv,-0.03516734763979912
no,-0.03516734763979912
sj,-0.03516734763979912
je,-0.04464239627122879
th,-0.04933736473321915
ph,-0.05446677282452583
es,-0.058608878403902054
ug,-0.06269468367099762
gw,-0.06342151015996933
sc,-0.07059241086244583
cc,-0.07177939265966415
mu,-0.07441405951976776
er,-0.0751207172870636
sk,-0.08020952343940735
im,-0.08317822217941284
mw,-0.08345313370227814
bf,-0.08480244874954224
pt,-0.08506576716899872
vc,-0.08639770746231079
