Image,Similarity
hn,0.6936254501342773
bq,0.6696798801422119
nl,0.6696798801422119
ae,0.6374194622039795
sv,0.635891854763031
ps,0.6332086324691772
ni,0.6296988725662231
hu,0.6244251728057861
ye,0.6081651449203491
kw,0.6017775535583496
sd,0.5942652821540833
sl,0.5941314697265625
tj,0.5873759984970093
eh,0.5855165719985962
py,0.5830632448196411
eg,0.5723223686218262
aq,0.5659196972846985
uz,0.5630980730056763
ir,0.5430483818054199
ls,0.5402076840400696
hr,0.5382580161094666
iq,0.5343828201293945
lu,0.5273289084434509
jo,0.5255761742591858
sy,0.5151010155677795
at,0.5109054446220398
gb-sct,0.5039540529251099
il,0.48982638120651245
gq,0.4841368794441223
lv,0.482511043548584
ar,0.4512615501880646
pf,0.4061456322669983
bi,0.37571981549263
ne,0.3739311397075653
in,0.37184590101242065
kh,0.37010854482650757
so,0.3397544026374817
lb,0.3326866030693054
do,0.3269246220588684
bz,0.32476168870925903
cv,0.30697864294052124
ga,0.28905606269836426
dz,0.2760400176048279
ch,0.26327699422836304
cu,0.26089876890182495
mp,0.25553303956985474
bo,0.2529222071170807
bs,0.2506730258464813
fm,0.24666890501976013
mo,0.235093891620636
dk,0.2331080436706543
xk,0.22520793974399567
rw,0.22243936359882355
mh,0.21403458714485168
pw,0.19636254012584686
gu,0.18892426788806915
ie,0.18773141503334045
pr,0.18336431682109833
hk,0.1810949593782425
dj,0.17907863855361938
gh,0.1751546561717987
ng,0.16978849470615387
ss,0.16837948560714722
uy,0.16696211695671082
aw,0.16663308441638947
bl,0.1648167073726654
fr,0.1648167073726654
gf,0.1648167073726654
gp,0.1648167073726654
mf,0.1648167073726654
mq,0.1648167073726654
nc,0.1648167073726654
pm,0.1648167073726654
re,0.1648167073726654
yt,0.1648167073726654
tn,0.16384123265743256
jm,0.16377414762973785
la,0.1625056266784668
is,0.1616644263267517
kz,0.16145822405815125
fj,0.1570822298526764
es,0.15083803236484528
cl,0.14610368013381958
cx,0.13881786167621613
gt,0.1378922015428543
gr,0.13727641105651855
it,0.13703402876853943
ht,0.13505497574806213
cf,0.1345202624797821
st,0.13443228602409363
gb-nir,0.12977012991905212
gb,0.12977012991905212
sh,0.12977012991905212
um,0.12531018257141113
us,0.12531018257141113
pa,0.12467792630195618
pl,0.11728005856275558
gl,0.11192636936903
ph,0.11132688820362091
af,0.10640780627727509
sg,0.10611710697412491
nr,0.10469997674226761
bt,0.10237395018339157
az,0.10036046802997589
ag,0.09934084862470627
tf,0.09738688170909882
mc,0.09461236000061035
ba,0.08542310446500778
tk,0.0839097872376442
se,0.0836499035358429
lr,0.0832606852054596
et,0.08293145895004272
tv,0.08160969614982605
km,0.0812220349907875
ki,0.07978306710720062
bd,0.07798237353563309
cd,0.07576144486665726
sx,0.07432110607624054
gy,0.07370167970657349
ci,0.07359956204891205
na,0.071135513484478
kp,0.06978416442871094
wf,0.06767808645963669
io,0.06718242913484573
mm,0.06599220633506775
id,0.06568659842014313
sb,0.06556464731693268
cg,0.06310849636793137
mn,0.06153623387217522
sa,0.056897785514593124
im,0.05385508015751839
fk,0.052324920892715454
bm,0.049770697951316833
ke,0.047986067831516266
bv,0.04666147753596306
no,0.04666147753596306
sj,0.04666147753596306
gm,0.04466024041175842
cr,0.041844166815280914
pt,0.040685608983039856
cm,0.03981529921293259
pk,0.03882746398448944
tg,0.0387105718255043
za,0.03827926889061928
mk,0.036733388900756836
cw,0.036212511360645294
va,0.03615383058786392
be,0.0360117107629776
kg,0.03497996926307678
sm,0.03432105854153633
eu,0.02600698173046112
ai,0.024174179881811142
lc,0.02305326610803604
vn,0.01856488734483719
sz,0.015987837687134743
sr,0.013798236846923828
ax,0.01269165426492691
cz,0.011281860992312431
nf,0.01106264442205429
mx,0.010514579713344574
cy,0.0021724961698055267
my,0.001323420787230134
bj,-0.002201490104198456
me,-0.003502674400806427
dm,-0.007026731967926025
gi,-0.011867140419781208
ck,-0.011922251433134079
ky,-0.013444188982248306
ua,-0.017939046025276184
ms,-0.02158231846988201
br,-0.022508177906274796
pg,-0.02490147203207016
je,-0.02623612806200981
mu,-0.0274500772356987
er,-0.028073016554117203
tc,-0.030875012278556824
fo,-0.033992499113082886
ro,-0.034091152250766754
mw,-0.03537867218255997
pn,-0.03661983460187912
lk,-0.038920506834983826
vg,-0.04586098715662956
by,-0.04586588218808174
ws,-0.049577079713344574
tl,-0.04990631341934204
td,-0.05411478132009506
ad,-0.0551222488284111
bf,-0.056370873004198074
pe,-0.056991808116436005
ao,-0.057271163910627365
mr,-0.05734927952289581
tr,-0.05787454918026924
gs,-0.05849193409085274
sc,-0.06192842125892639
mt,-0.0633203536272049
nu,-0.06697365641593933
kr,-0.06818831712007523
