Image,Similarity
hu,0.8416286110877991
gq,0.7578836679458618
bq,0.7542884349822998
nl,0.7542884349822998
ye,0.7519357204437256
sd,0.7338939905166626
kw,0.7172999382019043
eg,0.7166663408279419
lv,0.6925066113471985
ir,0.6862802505493164
iq,0.6758497953414917
py,0.6590895652770996
sy,0.6555808782577515
pf,0.6494104862213135
tj,0.6463623046875
lb,0.6375573873519897
ch,0.613275408744812
in,0.596524715423584
lu,0.5867387056350708
hk,0.5752162337303162
dk,0.5695935487747192
bi,0.5574411153793335
ne,0.551345705986023
hr,0.5429390072822571
wf,0.5386658906936646
bt,0.5273734331130981
as,0.5109054446220398
tn,0.5055357813835144
mm,0.49439138174057007
ae,0.49394431710243225
ps,0.4819073975086212
kg,0.47366952896118164
es,0.4579782783985138
mk,0.4343964457511902
hn,0.4313414394855499
sg,0.42933472990989685
eh,0.42628413438796997
vn,0.40809929370880127
tl,0.40803220868110657
ar,0.40552377700805664
pl,0.4024675190448761
tr,0.39272671937942505
do,0.39109763503074646
im,0.38918018341064453
id,0.38383543491363525
gl,0.38077855110168457
mc,0.37017619609832764
sl,0.3697142004966736
cn,0.36804187297821045
mt,0.3677407503128052
ie,0.36723005771636963
uz,0.3663417100906372
bo,0.33806106448173523
va,0.33600613474845886
la,0.3246796429157257
sv,0.3197200894355774
pr,0.3195313513278961
me,0.31854069232940674
nu,0.3134060204029083
il,0.3120405673980713
gi,0.3089621365070343
cl,0.30603718757629395
lr,0.30485010147094727
bm,0.3046298623085022
je,0.30164122581481934
ni,0.29994088411331177
ng,0.29494908452033997
jo,0.29205408692359924
ci,0.2864314317703247
lk,0.28428202867507935
bv,0.2835163474082947
no,0.2835163474082947
sj,0.2835163474082947
bh,0.27628111839294434
cy,0.2737357020378113
bl,0.27133387327194214
fr,0.27133387327194214
gf,0.27133387327194214
gp,0.27133387327194214
mf,0.27133387327194214
mq,0.27133387327194214
nc,0.27133387327194214
pm,0.27133387327194214
re,0.27133387327194214
yt,0.27133387327194214
it,0.266519695520401
um,0.264375776052475
us,0.264375776052475
ls,0.2636773884296417
ec,0.26029887795448303
cf,0.25056707859039307
aq,0.24561190605163574
pe,0.24129243195056915
gm,0.23917721211910248
ki,0.23395539820194244
cz,0.23207977414131165
cg,0.23184682428836823
gb-sct,0.230013906955719
gt,0.2282067835330963
pt,0.2266707420349121
co,0.21479038894176483
bn,0.21477049589157104
ml,0.20959442853927612
pa,0.20705050230026245
to,0.20688724517822266
gh,0.2039300799369812
si,0.20030425488948822
ro,0.1990007907152176
gn,0.1966852843761444
ma,0.19656628370285034
gd,0.18355804681777954
km,0.1786515712738037
gr,0.17805981636047363
ad,0.17648418247699738
nf,0.17506125569343567
sn,0.17429392039775848
td,0.17373842000961304
ge,0.1736147701740265
am,0.17267806828022003
mx,0.170596644282341
vi,0.16698198020458221
cm,0.16653737425804138
tw,0.16002710163593292
fm,0.15963861346244812
gg,0.15906503796577454
kp,0.15561163425445557
vc,0.149569571018219
md,0.149499773979187
kr,0.1479588747024536
sk,0.14352178573608398
ag,0.13884174823760986
be,0.13736842572689056
rs,0.13153137266635895
af,0.12787789106369019
sc,0.12780864536762238
ca,0.12056772410869598
gb-eng,0.11809960752725601
al,0.11464940756559372
my,0.11270361393690109
sx,0.11267189681529999
jp,0.1121959239244461
sm,0.11094881594181061
fj,0.11082389205694199
gb-nir,0.11054269224405289
gb,0.11054269224405289
sh,0.11054269224405289
mg,0.10789153724908829
bj,0.10451126843690872
bz,0.09581991285085678
dj,0.0923144519329071
ve,0.08906056731939316
io,0.08247949182987213
dz,0.07331867516040802
tt,0.07282637059688568
ph,0.06784811615943909
ws,0.06705169379711151
uy,0.06363127380609512
ba,0.05874761939048767
lc,0.05281456932425499
ht,0.051935825496912
fo,0.04577134549617767
bg,0.04190848395228386
ug,0.04125325009226799
kh,0.040407996624708176
tk,0.0378347672522068
et,0.03156771510839462
qa,0.030465174466371536
so,0.016940385103225708
sz,0.0138917937874794
is,0.00994214229285717
ua,0.009467174299061298
mv,0.005417700856924057
aw,0.0032465457916259766
gw,-0.0011719577014446259
za,-0.001380831003189087
cu,-0.003245880827307701
mu,-0.0058114007115364075
mp,-0.006277747452259064
mr,-0.011694997549057007
lt,-0.029818354174494743
tg,-0.030680302530527115
bf,-0.03092365339398384
ru,-0.032693758606910706
np,-0.035793907940387726
gb-wls,-0.038515955209732056
st,-0.07367708534002304
by,-0.07826346904039383
ga,-0.08189401775598526
bb,-0.09082205593585968
ao,-0.09114836156368256
rw,-0.09278110414743423
pg,-0.09500142186880112
de,-0.1000320166349411
pw,-0.1011233776807785
ax,-0.1071406751871109
se,-0.10864584147930145
na,-0.10992826521396637
li,-0.11685950309038162
gy,-0.11708880215883255
er,-0.13790996372699738
cv,-0.1395018994808197
cr,-0.143911674618721
jm,-0.1521778106689453
bd,-0.15586860477924347
mh,-0.15887561440467834
tv,-0.17726534605026245
zw,-0.1803884357213974
ss,-0.18047577142715454
tf,-0.19142097234725952
dm,-0.19694508612155914
ai,-0.2006382793188095
cd,-0.20376056432724
mo,-0.2043634057044983
fi,-0.2054898738861084
sr,-0.20591434836387634
br,-0.21006391942501068
xk,-0.2131357192993164
fk,-0.21483214199543
mw,-0.21693985164165497
ke,-0.22873659431934357
kn,-0.2306050956249237
th,-0.23138859868049622
om,-0.24594420194625854
tc,-0.25176018476486206
bs,-0.25739890336990356
pk,-0.25941532850265503
ck,-0.2610740661621094
vu,-0.2660829424858093
ms,-0.2670056223869324
pn,-0.2678132653236389
mn,-0.2763479948043823
ky,-0.2791585326194763
gs,-0.27990010380744934
bw,-0.2854202389717102
au,-0.2857329249382019
hm,-0.2857329249382019
az,-0.2976522445678711
vg,-0.29878076910972595
kz,-0.31245070695877075
nz,-0.3135388493537903
