Image,Similarity
bj,0.42888498306274414
gw,0.4087577760219574
co,0.3338150084018707
km,0.32976052165031433
pg,0.31992673873901367
cm,0.2983585298061371
ad,0.2562834918498993
ro,0.25366726517677307
be,0.24640992283821106
ec,0.24633680284023285
py,0.24552986025810242
mm,0.23404629528522491
td,0.23327337205410004
bo,0.23241041600704193
in,0.23127992451190948
cx,0.22431322932243347
bf,0.22281083464622498
sn,0.22210350632667542
gh,0.2195001095533371
lu,0.21639423072338104
sx,0.21601295471191406
lt,0.20850643515586853
pa,0.2065637856721878
pr,0.2044455111026764
md,0.19597046077251434
es,0.19222339987754822
ve,0.19154955446720123
ne,0.18781453371047974
by,0.18020494282245636
ml,0.1733691543340683
bl,0.17227588593959808
fr,0.17227588593959808
gf,0.17227588593959808
gp,0.17227588593959808
mf,0.17227588593959808
mq,0.17227588593959808
nc,0.17227588593959808
pm,0.17227588593959808
re,0.17227588593959808
yt,0.17227588593959808
sd,0.17132653295993805
dz,0.16983355581760406
bq,0.16850590705871582
nl,0.16850590705871582
eg,0.1661672592163086
ye,0.1656419336795807
sy,0.16549664735794067
ki,0.16537903249263763
iq,0.16333386301994324
za,0.1632486879825592
ao,0.16228586435317993
vc,0.1593843698501587
pt,0.15709759294986725
om,0.14942307770252228
cz,0.1467835009098053
sm,0.14551018178462982
hr,0.1454346776008606
vu,0.14211200177669525
sl,0.1411365121603012
mg,0.13845086097717285
ie,0.13811537623405457
hu,0.13341030478477478
bs,0.1302202343940735
sc,0.12808601558208466
it,0.12770509719848633
bn,0.12729445099830627
nu,0.1233879029750824
tj,0.11738049983978271
aq,0.11284385621547699
mx,0.11252177506685257
cl,0.10489043593406677
mk,0.09876823425292969
st,0.09641433507204056
pl,0.08772492408752441
hk,0.0864025130867958
gb-wls,0.08626524358987808
as,0.08542310446500778
ch,0.0844179019331932
kg,0.08413514494895935
bi,0.08392351120710373
bt,0.08031544089317322
ga,0.07893379777669907
af,0.07754924893379211
vn,0.07537402957677841
gm,0.07050349563360214
fi,0.06891903281211853
pf,0.0644141435623169
wf,0.06416478753089905
gd,0.06307031959295273
jm,0.06306591629981995
kz,0.06301231682300568
ly,0.06266183406114578
cg,0.06194530427455902
at,0.05874761939048767
me,0.05867365375161171
tg,0.05643337965011597
sz,0.0561298131942749
cn,0.05545683205127716
zm,0.05465935543179512
gg,0.054440587759017944
ae,0.05321415513753891
pn,0.05083658546209335
um,0.0504424087703228
us,0.0504424087703228
lk,0.04964407905936241
cy,0.04882793873548508
to,0.046063777059316635
zw,0.0458112433552742
bm,0.04363791272044182
tn,0.04275111109018326
im,0.042407624423503876
kr,0.042011987417936325
ng,0.04069312661886215
id,0.039892055094242096
pe,0.037696342915296555
ma,0.0368255153298378
vg,0.036326199769973755
sr,0.03629397228360176
fo,0.034690238535404205
tt,0.03428588807582855
tc,0.03132971376180649
gy,0.031023234128952026
ge,0.030643276870250702
br,0.030613265931606293
ug,0.029149796813726425
lr,0.028834998607635498
kp,0.028609417378902435
lb,0.028407443314790726
je,0.027845989912748337
gl,0.02692270837724209
ai,0.025992121547460556
bv,0.02593296766281128
no,0.02593296766281128
sj,0.02593296766281128
lv,0.025905482470989227
nf,0.025828983634710312
gb-nir,0.02573154866695404
gb,0.02573154866695404
sh,0.02573154866695404
tl,0.023399759083986282
gb-eng,0.022571558132767677
bg,0.020140208303928375
gq,0.020109836012125015
tr,0.017866579815745354
sg,0.017792541533708572
bb,0.017782896757125854
do,0.017767807468771935
fk,0.016828762367367744
ky,0.015454725362360477
fj,0.01523565873503685
ca,0.01496058888733387
gt,0.01426703855395317
ss,0.013156519271433353
tw,0.01311355922371149
cc,0.01234200969338417
gi,0.011514686048030853
cr,0.011188853532075882
la,0.010846803896129131
dm,0.01020311564207077
gs,0.009643638506531715
sa,0.0050504133105278015
er,0.004609575495123863
ar,0.0030257031321525574
tz,0.0023696664720773697
jp,-0.00587052945047617
gn,-0.006165437400341034
ps,-0.006455849856138229
mu,-0.0071689775213599205
io,-0.007427910342812538
mv,-0.008928940631449223
dk,-0.01089202519506216
ru,-0.011230971664190292
ck,-0.01226742658764124
th,-0.012895537540316582
bh,-0.013116780668497086
jo,-0.013218492269515991
ws,-0.013587490655481815
gb-sct,-0.013628682121634483
my,-0.014284517616033554
al,-0.01434842124581337
ms,-0.014465073123574257
eh,-0.01636841520667076
mr,-0.018126213923096657
vi,-0.01823696866631508
ax,-0.01849273592233658
kh,-0.020219504833221436
hn,-0.02201526053249836
mc,-0.023471135646104813
ni,-0.024942869320511818
mo,-0.030264629051089287
qa,-0.030536990612745285
mt,-0.030785873532295227
mw,-0.03167611360549927
il,-0.03178223595023155
sv,-0.03238636627793312
bz,-0.03301851451396942
bw,-0.03452233225107193
va,-0.03508016839623451
ke,-0.03746088594198227
tf,-0.038012102246284485
pk,-0.03887566179037094
gr,-0.039327964186668396
si,-0.0403180755674839
ir,-0.04133463278412819
