Image,Similarity
mw,0.5152241587638855
er,0.4828886091709137
ke,0.4385830760002136
af,0.43137165904045105
dm,0.4029887914657593
ss,0.36613357067108154
ax,0.3610152304172516
by,0.35100698471069336
kh,0.3316825032234192
ao,0.3289545178413391
kp,0.32673323154449463
qa,0.31793224811553955
de,0.31136301159858704
sr,0.30961576104164124
gy,0.3032706379890442
st,0.272849977016449
zw,0.26383769512176514
cc,0.2637523114681244
pw,0.26131370663642883
np,0.2567923665046692
jm,0.25536438822746277
is,0.2551731765270233
gu,0.2549041211605072
na,0.2488318681716919
az,0.2484939992427826
gn,0.24463382363319397
jo,0.2439359873533249
bs,0.24225354194641113
tg,0.2282930612564087
cx,0.22149553894996643
nr,0.21747741103172302
bb,0.21620306372642517
se,0.21390238404273987
xk,0.2106233537197113
li,0.20924915373325348
nz,0.20323394238948822
mo,0.20160941779613495
au,0.1978570967912674
hm,0.1978570967912674
gb-wls,0.19312670826911926
cn,0.1915147304534912
sa,0.18638001382350922
pt,0.18432745337486267
gb-nir,0.18222880363464355
gb,0.18222880363464355
sh,0.18222880363464355
ga,0.1813390702009201
eh,0.18127375841140747
pg,0.17990486323833466
tz,0.1780702769756317
gh,0.1755218803882599
me,0.17548200488090515
vu,0.17331376671791077
cw,0.17307350039482117
to,0.17306840419769287
tl,0.1718931645154953
br,0.17123545706272125
ms,0.17008072137832642
ma,0.16117507219314575
ht,0.15769493579864502
cm,0.1550590693950653
vg,0.15501771867275238
ck,0.1550094038248062
sx,0.15377911925315857
ps,0.15375418961048126
mh,0.15142005681991577
pn,0.14994987845420837
cv,0.14943140745162964
gs,0.14761631190776825
ly,0.1472078114748001
bo,0.14619921147823334
vn,0.1424972414970398
ph,0.14118289947509766
ae,0.14106598496437073
tc,0.13960710167884827
bz,0.13767969608306885
ws,0.13648533821105957
ky,0.13449741899967194
tr,0.13042058050632477
mp,0.12828892469406128
bf,0.12622658908367157
om,0.1225242167711258
sb,0.12173019349575043
ug,0.12151426076889038
eu,0.1197429969906807
pk,0.11628736555576324
ai,0.11145197600126266
bm,0.10846114158630371
im,0.1074628159403801
fk,0.10474644601345062
bh,0.0982346311211586
sz,0.09795862436294556
tw,0.09625926613807678
mz,0.0961664691567421
mu,0.09613333642482758
sc,0.08938287198543549
tt,0.08885948359966278
cr,0.08461906015872955
eg,0.07944522053003311
wf,0.07888122648000717
as,0.07798237353563309
td,0.07543613016605377
tm,0.0737084224820137
lk,0.07082200050354004
mk,0.06718283891677856
sy,0.06651366502046585
kg,0.06618330627679825
ye,0.06303490698337555
cf,0.06215638667345047
sd,0.05992646515369415
hn,0.058755092322826385
lv,0.058717578649520874
es,0.05824468284845352
cd,0.056452490389347076
tn,0.05397954210639
ls,0.05301734805107117
iq,0.05157880112528801
aq,0.051296934485435486
kn,0.05079807713627815
zm,0.04693348705768585
hr,0.04677998274564743
sv,0.04211600869894028
rw,0.038692936301231384
ro,0.03122394159436226
tk,0.025381747633218765
uz,0.021307941526174545
al,0.021014228463172913
ne,0.02045898325741291
ag,0.018950115889310837
cu,0.01860988512635231
hk,0.015492904931306839
gm,0.01229813415557146
tf,0.011678535491228104
tj,0.009215006604790688
be,0.00911521166563034
kw,0.002417799085378647
ni,0.0018260180950164795
sl,0.0009259358048439026
do,-0.0013837777078151703
ml,-0.0028070658445358276
bj,-0.004266049712896347
bq,-0.014550164341926575
nl,-0.014550164341926575
kz,-0.015748679637908936
ad,-0.01654614880681038
dk,-0.019874751567840576
la,-0.02722497098147869
py,-0.02740112692117691
ki,-0.031989824026823044
ir,-0.03221768140792847
mg,-0.03476491943001747
gq,-0.04123213142156601
ch,-0.04146549850702286
gw,-0.04423430189490318
ua,-0.04623975604772568
md,-0.05164864659309387
ci,-0.05305641517043114
gd,-0.057831961661577225
gi,-0.05977456644177437
dj,-0.06438234448432922
io,-0.06482196599245071
et,-0.06585890054702759
ge,-0.06708957254886627
za,-0.07033257186412811
hu,-0.07133390009403229
ee,-0.08128915727138519
km,-0.08616596460342407
bv,-0.08650205284357071
no,-0.08650205284357071
sj,-0.08650205284357071
cl,-0.09078417718410492
cg,-0.09324470162391663
id,-0.09340774267911911
vc,-0.09600041806697845
in,-0.09649781882762909
gb-sct,-0.09804970026016235
ba,-0.10072781145572662
my,-0.10603537410497665
tv,-0.10717015713453293
lu,-0.11112591624259949
nu,-0.11190611124038696
bn,-0.11411068588495255
sn,-0.12760797142982483
mc,-0.1291552484035492
il,-0.12946411967277527
ve,-0.13245610892772675
gl,-0.13458245992660522
am,-0.13504992425441742
co,-0.13771183788776398
lr,-0.13896313309669495
rs,-0.14255979657173157
so,-0.14541518688201904
mt,-0.1459587663412094
pl,-0.14823222160339355
pa,-0.15061572194099426
bi,-0.1512623429298401
gg,-0.15263411402702332
bw,-0.15461182594299316
at,-0.15586860477924347
gb-eng,-0.15720275044441223
ec,-0.1627516746520996
um,-0.16433069109916687
us,-0.16433069109916687
dz,-0.16604168713092804
ng,-0.16803580522537231
pf,-0.17160974442958832
jp,-0.17223376035690308
bt,-0.17311181128025055
sg,-0.174886092543602
uy,-0.17959895730018616
ca,-0.1858339011669159
mm,-0.18611891567707062
bl,-0.19099266827106476
fr,-0.19099266827106476
gf,-0.19099266827106476
gp,-0.19099266827106476
mf,-0.19099266827106476
mq,-0.19099266827106476
nc,-0.19099266827106476
pm,-0.19099266827106476
re,-0.19099266827106476
yt,-0.19099266827106476
cz,-0.19177144765853882
sk,-0.19341643154621124
mv,-0.19532549381256104
mn,-0.19579815864562988
th,-0.19741381704807281
lc,-0.1978873461484909
gt,-0.19950315356254578
mr,-0.19984817504882812
lt,-0.2038993388414383
je,-0.20665258169174194
it,-0.20746296644210815
ar,-0.20797351002693176
aw,-0.20968744158744812
va,-0.21026234328746796
mx,-0.22671768069267273
pe,-0.22735196352005005
kr,-0.24018843472003937
fo,-0.24313701689243317
fj,-0.2451026439666748
gr,-0.25063830614089966
ru,-0.27532535791397095
ie,-0.27930107712745667
vi,-0.28806889057159424
pr,-0.29382508993148804
si,-0.29978469014167786
cy,-0.30474042892456055
sm,-0.30993223190307617
fi,-0.3249921202659607
fm,-0.3264896869659424
bg,-0.3403865694999695
lb,-0.3405507802963257
nf,-0.36013758182525635
