Image,Similarity
ru,0.9244624376296997
si,0.8874924182891846
sk,0.7531625032424927
cz,0.6592692732810974
lt,0.6097303628921509
pl,0.5630049109458923
ve,0.5128108859062195
cl,0.49476563930511475
gi,0.38727664947509766
th,0.36724984645843506
om,0.3562440574169159
sm,0.34559759497642517
mm,0.3390778601169586
fi,0.32242560386657715
lc,0.31717512011528015
co,0.3138011693954468
gl,0.31130287051200867
bn,0.2919059693813324
nf,0.288255900144577
gd,0.2827491760253906
ec,0.27108636498451233
aw,0.251697301864624
bt,0.25090163946151733
fo,0.24453552067279816
cy,0.241667240858078
gt,0.2330886423587799
vi,0.21879428625106812
dj,0.21393489837646484
uy,0.20873786509037018
ie,0.2025398313999176
jp,0.2015988528728485
ca,0.196493998169899
ng,0.1949571818113327
mx,0.19219160079956055
km,0.1912960410118103
va,0.1909361481666565
gb-eng,0.18825967609882355
fm,0.187727689743042
pr,0.18191485106945038
pe,0.1812593787908554
lb,0.18043634295463562
gg,0.17905478179454803
vc,0.1753614991903305
mv,0.1724071055650711
kr,0.17200987040996552
ci,0.1623736470937729
bi,0.15848678350448608
bm,0.15360799431800842
am,0.1436592936515808
it,0.14122477173805237
rw,0.14097154140472412
bw,0.13661126792430878
nu,0.1343868225812912
bj,0.1326790153980255
lr,0.1287633180618286
ge,0.11904321610927582
je,0.11533123254776001
bl,0.11404414474964142
fr,0.11404414474964142
gf,0.11404414474964142
gp,0.11404414474964142
mf,0.11404414474964142
mq,0.11404414474964142
nc,0.11404414474964142
pm,0.11404414474964142
re,0.11404414474964142
yt,0.11404414474964142
sn,0.11399857699871063
mt,0.11007995903491974
md,0.10072357207536697
cg,0.09720107913017273
um,0.09306272864341736
us,0.09306272864341736
to,0.08987799286842346
cu,0.0723726749420166
gr,0.06962064653635025
gw,0.06423914432525635
pf,0.06259255111217499
cf,0.06131136789917946
ua,0.05766031891107559
bb,0.05725390091538429
wf,0.05666567385196686
dz,0.0554223470389843
ir,0.05541409179568291
mr,0.05472738668322563
tw,0.047803059220314026
ad,0.047055747359991074
bv,0.04548919200897217
no,0.04548919200897217
sj,0.04548919200897217
ml,0.04487314820289612
ph,0.043130919337272644
kn,0.042364947497844696
at,0.04190848395228386
gn,0.04088151082396507
pa,0.04058003053069115
gb-wls,0.038290638476610184
cr,0.032247498631477356
tv,0.03143155574798584
so,0.02900119125843048
ug,0.028508305549621582
fj,0.028089627623558044
mz,0.02624363824725151
in,0.026241078972816467
za,0.024776127189397812
io,0.02376341074705124
fk,0.02328546531498432
ck,0.022277172654867172
ro,0.02030600979924202
ba,0.020140208303928375
gs,0.015047697350382805
la,0.01455647312104702
ms,0.01285476889461279
sb,0.005951240658760071
my,0.003868493251502514
mg,0.0029629196505993605
td,0.00013054534792900085
ch,-0.0018141604959964752
vg,-0.0030597099103033543
ee,-0.005565568804740906
zw,-0.007638208568096161
pn,-0.00943154189735651
li,-0.00949307531118393
mk,-0.010947920382022858
kg,-0.011557754129171371
ht,-0.013335101306438446
dk,-0.013877708464860916
bh,-0.014273397624492645
be,-0.01547442376613617
nz,-0.016143236309289932
ky,-0.016541477292776108
ai,-0.01672206073999405
au,-0.01672237180173397
hm,-0.01672237180173397
il,-0.016995444893836975
sz,-0.01923614926636219
al,-0.019381992518901825
et,-0.019795995205640793
ar,-0.0235830619931221
hk,-0.024310484528541565
tc,-0.029442979022860527
im,-0.03091956302523613
es,-0.03256908804178238
gb-sct,-0.040674760937690735
tg,-0.04156896471977234
lk,-0.0456082746386528
tn,-0.04603661224246025
mp,-0.04946199432015419
cm,-0.05357302725315094
kz,-0.05361619591712952
ws,-0.05368524789810181
ma,-0.05612868070602417
cn,-0.0569135881960392
mn,-0.059073351323604584
do,-0.05980692431330681
tr,-0.060103293508291245
gq,-0.06185578554868698
pg,-0.06307327747344971
tm,-0.06361329555511475
pw,-0.06419824063777924
vn,-0.06636729836463928
tl,-0.06687486916780472
tt,-0.06709279119968414
tf,-0.07880224287509918
xk,-0.0820782333612442
cd,-0.09125284105539322
ao,-0.09276865422725677
aq,-0.10467168688774109
gm,-0.10819343477487564
gb-nir,-0.11130095273256302
gb,-0.11130095273256302
sh,-0.11130095273256302
sc,-0.11606894433498383
me,-0.11627519875764847
rs,-0.11744130402803421
kw,-0.11786295473575592
eu,-0.11821089684963226
az,-0.12074209749698639
bz,-0.122525654733181
sy,-0.12452902644872665
sd,-0.12948322296142578
iq,-0.1305561661720276
sa,-0.13176241517066956
cw,-0.13433466851711273
sr,-0.13806991279125214
np,-0.13845862448215485
pt,-0.1443532258272171
lv,-0.1460123211145401
zm,-0.1483076810836792
ye,-0.15824705362319946
ag,-0.16042457520961761
tk,-0.1611359566450119
eg,-0.16114601492881775
kp,-0.162812277674675
br,-0.17440807819366455
qa,-0.1789325773715973
ly,-0.18357378244400024
uz,-0.1852867603302002
af,-0.18679383397102356
se,-0.19449996948242188
pk,-0.19720426201820374
cc,-0.19741129875183105
tj,-0.19806678593158722
mu,-0.20208275318145752
tz,-0.2023043930530548
gu,-0.20764057338237762
na,-0.20980167388916016
vu,-0.21229811012744904
gy,-0.2150404304265976
ae,-0.2174842357635498
mo,-0.22163541615009308
bf,-0.22332438826560974
hu,-0.22551198303699493
is,-0.23292198777198792
cx,-0.23536771535873413
as,-0.24109633266925812
sx,-0.24577292799949646
ax,-0.25710225105285645
sg,-0.2594265937805176
ls,-0.26617440581321716
dm,-0.2710811197757721
nr,-0.2718393802642822
hr,-0.27218589186668396
ne,-0.2894596755504608
cv,-0.2956846058368683
mh,-0.2973155379295349
ni,-0.30188626050949097
st,-0.30903464555740356
ki,-0.31525853276252747
py,-0.3159673810005188
hn,-0.3360814154148102
sv,-0.3366464078426361
lu,-0.3377002775669098
bd,-0.3403865694999695
jm,-0.3474057614803314
bq,-0.35330846905708313
nl,-0.35330846905708313
bo,-0.35361844301223755
mc,-0.3570078909397125
gh,-0.36443567276000977
id,-0.3672448992729187
kh,-0.37383538484573364
sl,-0.38367611169815063
bs,-0.42204901576042175
ke,-0.42643752694129944
er,-0.44075512886047363
by,-0.460768461227417
ga,-0.487978458404541
de,-0.5051302909851074
ss,-0.5696452856063843
ps,-0.5997903347015381
eh,-0.6151490211486816
jo,-0.642145574092865
mw,-0.7139332294464111
