Image,Similarity
tw,0.577480137348175
cn,0.5645295977592468
wf,0.561578631401062
to,0.5530905723571777
tl,0.523793637752533
ws,0.5175865292549133
ma,0.4837263226509094
tr,0.464897096157074
gi,0.4631515145301819
kg,0.4540863633155823
vn,0.45079272985458374
qa,0.44957253336906433
im,0.4477238059043884
al,0.44348272681236267
me,0.43023204803466797
nu,0.4003201425075531
bh,0.3996548056602478
es,0.39430344104766846
mk,0.3932528495788574
cm,0.38420477509498596
hk,0.3823755085468292
pl,0.37621667981147766
lk,0.36173027753829956
tn,0.3599328398704529
pt,0.35315200686454773
fk,0.35248950123786926
cl,0.3450337052345276
ai,0.3369762897491455
dk,0.32260334491729736
li,0.31165212392807007
at,0.3046298623085022
cz,0.3023056387901306
gs,0.3012653887271881
tc,0.299919068813324
kp,0.29989051818847656
ms,0.29686981439590454
lv,0.27839070558547974
pn,0.2684175968170166
pf,0.26644864678382874
vg,0.2661855220794678
gb-wls,0.26601073145866394
tt,0.2611373960971832
pg,0.25862130522727966
ch,0.25740283727645874
ky,0.2567230761051178
ve,0.2556457221508026
bn,0.2471269816160202
ao,0.2470477819442749
nz,0.24121388792991638
au,0.23733703792095184
hm,0.23733703792095184
ht,0.2366904765367508
cf,0.2357335239648819
si,0.2215569168329239
bv,0.2203156054019928
no,0.2203156054019928
sj,0.2203156054019928
bj,0.21895606815814972
lb,0.21716457605361938
ge,0.21324792504310608
sk,0.2088155448436737
ck,0.20776590704917908
mt,0.20496267080307007
bt,0.2033817321062088
af,0.20138448476791382
eg,0.1988757699728012
ru,0.1978606879711151
co,0.19342398643493652
lt,0.19245928525924683
ph,0.19017058610916138
gb-nir,0.1893039047718048
gb,0.1893039047718048
sh,0.1893039047718048
ir,0.18754149973392487
iq,0.186390221118927
ec,0.18587759137153625
sd,0.18501903116703033
zw,0.18343612551689148
ug,0.1833195686340332
sy,0.1828313022851944
ye,0.17805665731430054
am,0.174615740776062
jp,0.17320075631141663
de,0.1643986999988556
gl,0.16348573565483093
bi,0.1631748080253601
lr,0.16245457530021667
sc,0.16227157413959503
by,0.16012869775295258
md,0.1576615571975708
gq,0.15655602514743805
gd,0.1563268005847931
td,0.15628448128700256
my,0.15604856610298157
bg,0.15360799431800842
om,0.15164610743522644
pr,0.14663589000701904
gb-eng,0.13921546936035156
mm,0.13413463532924652
be,0.13388270139694214
kn,0.13352064788341522
ro,0.13084323704242706
la,0.12581512331962585
er,0.12514248490333557
ad,0.12389510124921799
gg,0.12283574789762497
tj,0.11747262626886368
cg,0.11542508006095886
kw,0.11276651918888092
ca,0.11169911921024323
sx,0.11102908104658127
km,0.10955546051263809
bd,0.10846114158630371
io,0.10615412145853043
tk,0.10596645623445511
gh,0.10572405159473419
pa,0.1014174222946167
gn,0.10127365589141846
ke,0.10121981799602509
bo,0.10044670104980469
hr,0.09974908828735352
mv,0.09563784301280975
np,0.09343923628330231
gm,0.09145931154489517
ml,0.08243285119533539
hu,0.07645011693239212
mw,0.07177510112524033
cr,0.06383644044399261
in,0.060999467968940735
th,0.060496993362903595
vu,0.05894047021865845
um,0.05499289557337761
us,0.05499289557337761
do,0.05175086855888367
ss,0.051506198942661285
as,0.049770697951316833
sz,0.049305304884910583
vc,0.04864788427948952
