Image,Similarity
pl,0.48110508918762207
nu,0.42809152603149414
bt,0.4204384386539459
km,0.41889455914497375
co,0.4170099198818207
cz,0.41304314136505127
ec,0.4039594531059265
cl,0.4022027254104614
vc,0.37043553590774536
md,0.36148300766944885
cf,0.35270997881889343
va,0.35108569264411926
gd,0.34965258836746216
wf,0.3442932963371277
lt,0.3273138999938965
mm,0.3267879784107208
ve,0.3251345455646515
ml,0.3205975592136383
gw,0.301939994096756
ca,0.29295602440834045
bg,0.2919059693813324
gn,0.2892860770225525
ru,0.287859708070755
bj,0.28640419244766235
sn,0.285847932100296
jp,0.2812443971633911
gg,0.2798098623752594
in,0.27870839834213257
ge,0.274076908826828
si,0.2726888060569763
gb-eng,0.2699543237686157
gi,0.2625088691711426
to,0.258746862411499
cy,0.2567826509475708
cg,0.2557404339313507
om,0.2531784772872925
sk,0.25218239426612854
mk,0.2504982054233551
sm,0.24818727374076843
bm,0.2471269816160202
je,0.24619510769844055
ad,0.24320164322853088
lk,0.23890361189842224
cn,0.23785720765590668
kg,0.23629677295684814
td,0.23602962493896484
ro,0.23564234375953674
lb,0.23224954307079315
nf,0.2309795618057251
ie,0.23087790608406067
lr,0.22530928254127502
vi,0.22255931794643402
tl,0.22191855311393738
tr,0.21722349524497986
at,0.21477049589157104
mt,0.21272748708724976
pe,0.20866717398166656
ug,0.20012277364730835
ci,0.19966141879558563
hk,0.19662612676620483
mg,0.19628113508224487
vn,0.19595646858215332
es,0.19442281126976013
pf,0.1925991028547287
im,0.19039371609687805
gq,0.18743859231472015
bh,0.18730507791042328
ne,0.18200595676898956
zw,0.1811155080795288
ng,0.1785769909620285
kr,0.17758558690547943
bi,0.17708729207515717
gb-wls,0.1763232946395874
mx,0.17348679900169373
am,0.17130984365940094
dk,0.17074620723724365
ch,0.16869190335273743
cm,0.16502827405929565
sc,0.16265630722045898
gt,0.15591402351856232
tw,0.1548471450805664
ir,0.1503438651561737
tn,0.150032639503479
lc,0.1480664163827896
it,0.1464918851852417
gl,0.14013108611106873
fo,0.13636897504329681
be,0.13560280203819275
ma,0.1336769163608551
ba,0.12729445099830627
um,0.11361180990934372
us,0.11361180990934372
bl,0.11205969750881195
fr,0.11205969750881195
gf,0.11205969750881195
gp,0.11205969750881195
mf,0.11205969750881195
mq,0.11205969750881195
nc,0.11205969750881195
pm,0.11205969750881195
re,0.11205969750881195
yt,0.11205969750881195
th,0.10828543454408646
tj,0.10475105047225952
me,0.1043386310338974
pt,0.10231880098581314
bb,0.09834808856248856
pa,0.09810798615217209
my,0.09652013331651688
dj,0.09382076561450958
pr,0.08952892571687698
al,0.08555424213409424
hu,0.08328582346439362
lv,0.07347525656223297
gy,0.053505413234233856
st,0.04631505161523819
dz,0.04530753940343857
bf,0.04348799213767052
bo,0.041877102106809616
pg,0.0355805940926075
sd,0.03447699919342995
mz,0.03282812237739563
by,0.028985675424337387
kw,0.02736334130167961
kp,0.024300003424286842
bv,0.02380828559398651
no,0.02380828559398651
sj,0.02380828559398651
do,0.023613527417182922
tg,0.021968230605125427
uy,0.02174641191959381
sg,0.020685017108917236
de,0.02054038643836975
iq,0.019792329519987106
sr,0.01919672079384327
tk,0.017890121787786484
ye,0.015069916844367981
ar,0.014075323939323425
eg,0.013227228075265884
sy,0.010256044566631317
sz,0.009150376543402672
cr,0.006344832479953766
br,0.005189426243305206
gm,-0.0007335562258958817
tt,-0.003438994288444519
fi,-0.003877602517604828
rs,-0.004551850259304047
ao,-0.004722557961940765
gb-nir,-0.010216586291790009
gb,-0.010216586291790009
sh,-0.010216586291790009
ws,-0.010341130197048187
io,-0.015050381422042847
af,-0.015602480620145798
lu,-0.01606936752796173
gh,-0.01708047091960907
kn,-0.01711193099617958
fm,-0.021014615893363953
er,-0.02286127209663391
id,-0.02457815408706665
gr,-0.025883182883262634
ki,-0.032798878848552704
np,-0.03391747176647186
ua,-0.03677448630332947
mr,-0.04507985711097717
la,-0.047358203679323196
uz,-0.05217396467924118
py,-0.05452616512775421
vu,-0.05576673895120621
