Image,Similarity
gh,0.8920004367828369
ne,0.6864999532699585
eg,0.6779506206512451
ye,0.6553501486778259
by,0.6553454995155334
iq,0.6547883152961731
sd,0.639192521572113
sy,0.6139566898345947
py,0.6054706573486328
in,0.5855617523193359
bf,0.5768751502037048
hu,0.5732616186141968
bq,0.564103364944458
nl,0.564103364944458
tj,0.5565128922462463
hr,0.5076034665107727
lu,0.5055514574050903
eh,0.48606202006340027
ps,0.48069992661476135
gw,0.4735416769981384
sx,0.4529363512992859
st,0.4477595388889313
es,0.44306662678718567
jo,0.4412650167942047
vu,0.4239084720611572
ao,0.4117793142795563
pg,0.4049139618873596
mw,0.3874201774597168
gm,0.3733154535293579
tl,0.3678581118583679
mg,0.36198514699935913
ae,0.3565138578414917
mu,0.35542404651641846
me,0.35360419750213623
lk,0.3478899598121643
lv,0.33937808871269226
at,0.33806106448173523
vn,0.3344818949699402
kg,0.3225559592247009
mk,0.31570500135421753
pt,0.31196925044059753
jm,0.2971978783607483
ma,0.2813563942909241
cn,0.2737307846546173
ke,0.254048228263855
as,0.2529222071170807
tr,0.25211384892463684
tn,0.249406635761261
ls,0.24727720022201538
ga,0.24461771547794342
za,0.240408793091774
ss,0.2387399673461914
cm,0.23619617521762848
ba,0.23241041600704193
gb-wls,0.2310282588005066
hk,0.2291022688150406
pf,0.2288205921649933
sl,0.22814133763313293
tg,0.22401213645935059
wf,0.22379067540168762
ch,0.22312431037425995
hn,0.22019408643245697
sv,0.21901102364063263
ml,0.2136455625295639
cc,0.21272362768650055
br,0.20785382390022278
vc,0.20587056875228882
nu,0.20448634028434753
to,0.2040397673845291
sc,0.20106539130210876
bs,0.19928720593452454
ly,0.19914060831069946
im,0.19790269434452057
ki,0.19720962643623352
ax,0.19367161393165588
dk,0.18885959684848785
td,0.1853375881910324
af,0.1845587193965912
lb,0.18335148692131042
al,0.18163816630840302
co,0.18161936104297638
gn,0.18115517497062683
ec,0.1793505847454071
gy,0.17748266458511353
md,0.17102771997451782
dm,0.16976739466190338
qa,0.16905248165130615
id,0.16843155026435852
uz,0.1648491621017456
tt,0.158753901720047
zm,0.15473541617393494
se,0.14909644424915314
ro,0.14823149144649506
bh,0.14734333753585815
gq,0.14672799408435822
bd,0.14619921147823334
km,0.14513573050498962
bt,0.14221325516700745
ni,0.14012841880321503
om,0.13283555209636688
sn,0.12798729538917542
mr,0.12683571875095367
kh,0.12206653505563736
kp,0.12081394344568253
bj,0.11974313855171204
do,0.11381606757640839
be,0.11300249397754669
bm,0.10044670104980469
bi,0.09513624757528305
na,0.08746985346078873
kw,0.08488334715366364
zw,0.07520131021738052
ad,0.07306379824876785
gb-nir,0.07196599990129471
gb,0.07196599990129471
sh,0.07196599990129471
sg,0.0703418105840683
mc,0.06502275168895721
ir,0.05979257449507713
tc,0.059375375509262085
ai,0.05890367552638054
sa,0.05598251894116402
bv,0.054343972355127335
no,0.054343972355127335
sj,0.054343972355127335
cf,0.05356680974364281
er,0.05122898519039154
mm,0.04743598774075508
va,0.0473332479596138
mv,0.04446092247962952
pa,0.042850762605667114
gi,0.0425148643553257
bn,0.041877102106809616
