Image,Similarity
st,0.3926219642162323
zm,0.3497128188610077
cc,0.32853251695632935
sa,0.31501418352127075
tm,0.2968398630619049
dm,0.2669365406036377
mw,0.22359684109687805
ga,0.21941569447517395
ke,0.21829570829868317
tz,0.21744653582572937
bo,0.20785382390022278
jm,0.20453889667987823
tg,0.19050803780555725
gh,0.19032607972621918
eh,0.19030609726905823
se,0.1889600157737732
kn,0.18665483593940735
zw,0.17969238758087158
ae,0.17827634513378143
jo,0.17794135212898254
gy,0.17605096101760864
ps,0.17360514402389526
bd,0.17123545706272125
az,0.17023631930351257
ls,0.1630348414182663
ax,0.16188448667526245
uz,0.15855498611927032
vc,0.1561150848865509
bs,0.15610870718955994
gw,0.1459328979253769
mp,0.1429014503955841
mo,0.13825339078903198
rw,0.136796236038208
eu,0.13639959692955017
sl,0.13607510924339294
md,0.13514840602874756
ss,0.13142399489879608
pk,0.1259642243385315
in,0.12530170381069183
mz,0.12453354895114899
de,0.10603881627321243
sb,0.10065731406211853
tc,0.09889121353626251
pn,0.09472240507602692
ne,0.09421834349632263
by,0.09415525197982788
nr,0.09277665615081787
sz,0.08940158784389496
er,0.08829496055841446
ai,0.08639739453792572
dj,0.08056353032588959
sr,0.07651904225349426
sv,0.07339075207710266
vg,0.07285965979099274
cw,0.06466028094291687
pg,0.06137048453092575
tk,0.056795310229063034
vu,0.05603813752532005
ms,0.05535300448536873
mu,0.05507156625390053
kr,0.05391285568475723
et,0.053256869316101074
ky,0.05313193425536156
ly,0.05090855062007904
gs,0.04867386817932129
ni,0.04752558469772339
ua,0.045712217688560486
kz,0.045639343559741974
bf,0.044260457158088684
ug,0.04070538282394409
om,0.040538541972637177
nz,0.04048044979572296
fk,0.038583628833293915
pt,0.03834360092878342
is,0.03510228917002678
af,0.03186064958572388
ba,0.030613265931606293
nu,0.026798706501722336
cv,0.02646072581410408
iq,0.025904744863510132
gq,0.023770026862621307
au,0.02300349995493889
hm,0.02300349995493889
cf,0.02156258001923561
mh,0.02152906358242035
kw,0.02145138941705227
bj,0.01987506076693535
sc,0.011720705777406693
aq,0.011477604508399963
hn,0.010048717260360718
gb-wls,0.00954299047589302
cm,0.007928311824798584
tj,0.007848922163248062
tv,0.005860939621925354
bn,0.005189426243305206
eg,0.00478455051779747
cx,0.004346169531345367
mn,0.0028634946793317795
kp,0.000546066090464592
mg,-0.00019404292106628418
ye,-0.0006574001163244247
ck,-0.005444830283522606
ir,-0.006488676182925701
za,-0.007458692416548729
ag,-0.008315024897456169
kh,-0.010106857866048813
sy,-0.012376341968774796
tt,-0.012912414968013763
tf,-0.014538876712322235
lk,-0.01559775322675705
gb-nir,-0.018155813217163086
gb,-0.018155813217163086
sh,-0.018155813217163086
pw,-0.01853138953447342
cu,-0.019471734762191772
sd,-0.02002977766096592
as,-0.022508177906274796
sn,-0.023032762110233307
sx,-0.02494071051478386
na,-0.025767512619495392
ml,-0.025843843817710876
il,-0.03145599365234375
cr,-0.03321739286184311
ph,-0.03465750813484192
dz,-0.03491947427392006
bb,-0.03626988083124161
ao,-0.03996002674102783
co,-0.040523722767829895
py,-0.041578829288482666
gu,-0.0435701347887516
mr,-0.04440708085894585
bq,-0.04580444097518921
nl,-0.04580444097518921
km,-0.04811788350343704
do,-0.04812119901180267
hu,-0.05167115107178688
ec,-0.05536845326423645
aw,-0.05903429538011551
gn,-0.0603979155421257
nf,-0.06555220484733582
ee,-0.06596017628908157
ad,-0.0662621408700943
lc,-0.06901545822620392
va,-0.06914448738098145
gm,-0.0692262053489685
lu,-0.07063987106084824
al,-0.07126092165708542
li,-0.07279671728610992
lt,-0.07325869053602219
bt,-0.0760265663266182
pa,-0.07625872641801834
fm,-0.07828743010759354
lv,-0.0783696174621582
hr,-0.08021147549152374
cg,-0.08231191337108612
es,-0.08242889493703842
np,-0.08247514069080353
ma,-0.08247595280408859
bw,-0.0838906541466713
io,-0.0899309366941452
ci,-0.09539691358804703
gi,-0.09548616409301758
to,-0.09627930819988251
ar,-0.09952195733785629
td,-0.10854362696409225
fj,-0.10920850932598114
uy,-0.1097416952252388
be,-0.11189576983451843
lb,-0.11307796835899353
ng,-0.1146906316280365
mk,-0.11540447175502777
cd,-0.11716901510953903
gr,-0.11729559302330017
mv,-0.1187283843755722
vi,-0.1191519945859909
ve,-0.1197100281715393
qa,-0.12393812835216522
mx,-0.12628096342086792
ie,-0.12855412065982819
ws,-0.12866327166557312
my,-0.1307336688041687
sm,-0.1316073089838028
ro,-0.1318136304616928
gd,-0.13253416121006012
pf,-0.13438978791236877
gb-sct,-0.13788063824176788
tl,-0.13871878385543823
am,-0.14002561569213867
me,-0.1404358595609665
bv,-0.14272162318229675
no,-0.14272162318229675
sj,-0.14272162318229675
it,-0.1431771218776703
ht,-0.14693836867809296
mm,-0.1475546509027481
bm,-0.1554509699344635
jp,-0.15545132756233215
tw,-0.1585770845413208
ki,-0.15996256470680237
tr,-0.16398993134498596
cl,-0.16687141358852386
bh,-0.17067047953605652
so,-0.17078055441379547
th,-0.17345060408115387
bg,-0.17440807819366455
ca,-0.17480099201202393
ch,-0.17576071619987488
dk,-0.17604587972164154
fi,-0.17879149317741394
ge,-0.17958077788352966
um,-0.18188229203224182
us,-0.18188229203224182
je,-0.184718057513237
gg,-0.19079279899597168
