Image,Similarity
ga,0.7469397187232971
jm,0.558809757232666
az,0.5260801911354065
ni,0.49393123388290405
jo,0.48921439051628113
sv,0.4616994261741638
cx,0.45879071950912476
st,0.43873098492622375
hn,0.4344114661216736
kz,0.4335540235042572
mh,0.4327285587787628
gy,0.419053316116333
sl,0.4175640344619751
mo,0.4103888273239136
se,0.3899133801460266
uz,0.38974446058273315
ss,0.3814241588115692
ax,0.37695345282554626
pw,0.3754381835460663
ps,0.37094342708587646
eh,0.3645622134208679
xk,0.34882697463035583
ae,0.3473374843597412
sb,0.3470947742462158
kh,0.33321529626846313
cc,0.3188154697418213
rw,0.30086231231689453
aq,0.2988024055957794
gb-sct,0.2973370850086212
gu,0.2960398495197296
ls,0.291387140750885
sa,0.2872708737850189
nr,0.27253225445747375
mw,0.26420971751213074
ke,0.25534358620643616
as,0.2506730258464813
tk,0.24903267621994019
gh,0.2472306787967682
bd,0.24225354194641113
so,0.24050107598304749
dm,0.23811626434326172
cd,0.23292550444602966
cv,0.22745877504348755
ar,0.22731666266918182
is,0.22636164724826813
bz,0.20202159881591797
bo,0.19928720593452454
zm,0.19690477848052979
er,0.19457796216011047
sr,0.18995484709739685
na,0.16791610419750214
br,0.15610870718955994
by,0.1540939211845398
bw,0.1537523865699768
tm,0.1535676121711731
mp,0.15096963942050934
eu,0.14953383803367615
tc,0.1493668556213379
dz,0.14881283044815063
ai,0.14650851488113403
gr,0.14522796869277954
bq,0.14331385493278503
nl,0.14331385493278503
tz,0.13999399542808533
hr,0.13796041905879974
dj,0.13461224734783173
lu,0.13288040459156036
om,0.13280273973941803
tv,0.13122904300689697
ba,0.1302202343940735
vu,0.12714770436286926
cw,0.11618029326200485
pn,0.11221195012331009
il,0.11011867225170135
py,0.10708215087652206
pk,0.10502339899539948
kw,0.10485197603702545
ms,0.10029561817646027
fk,0.09766128659248352
sd,0.09544581174850464
be,0.09356580674648285
vg,0.08881529420614243
ky,0.0879017785191536
gb-nir,0.08708763122558594
gb,0.08708763122558594
sh,0.08708763122558594
nz,0.08633413910865784
cg,0.08464185893535614
sy,0.08399038761854172
tf,0.08010141551494598
mn,0.07506098598241806
gs,0.07497678697109222
fj,0.07219170778989792
au,0.07176219671964645
hm,0.07176219671964645
af,0.06990588456392288
ck,0.06968957930803299
ye,0.06927450001239777
eg,0.06924362480640411
pg,0.06414135545492172
kp,0.058583155274391174
bf,0.05676645413041115
bl,0.055534571409225464
fr,0.055534571409225464
gf,0.055534571409225464
gp,0.055534571409225464
mf,0.055534571409225464
mq,0.055534571409225464
nc,0.055534571409225464
pm,0.055534571409225464
re,0.055534571409225464
yt,0.055534571409225464
bj,0.04952681064605713
gw,0.04851558059453964
it,0.04793309420347214
td,0.04659024626016617
mu,0.04635586217045784
ro,0.04400340095162392
tj,0.043811194598674774
et,0.04312360659241676
ht,0.040446680039167404
ne,0.03804387152194977
cu,0.0377817377448082
de,0.036892570555210114
cr,0.036108531057834625
iq,0.03488968312740326
sz,0.03176043927669525
ng,0.028267260640859604
hu,0.025405138731002808
fm,0.02443201094865799
mr,0.02286187745630741
ua,0.022578764706850052
km,0.018724776804447174
ao,0.014565115794539452
ml,0.007976461201906204
gb-wls,0.00585091020911932
gt,0.002991192042827606
ir,0.0018182694911956787
ie,0.0013588275760412216
cm,-0.00016506947576999664
io,-0.014134977012872696
za,-0.016208842396736145
pa,-0.017292611300945282
ee,-0.018975242972373962
tg,-0.019759491086006165
sn,-0.020418867468833923
mx,-0.024580834433436394
gn,-0.026853162795305252
kn,-0.030075453221797943
bb,-0.03386710584163666
do,-0.03809165954589844
es,-0.038928769528865814
cl,-0.04207704961299896
gq,-0.04209902137517929
ci,-0.042719289660453796
ad,-0.04775858670473099
sm,-0.05531878024339676
pt,-0.057039543986320496
aw,-0.058634109795093536
my,-0.059112995862960815
ly,-0.05932247266173363
li,-0.059622623026371
ki,-0.06365399807691574
nu,-0.06483783572912216
cy,-0.07254035025835037
lc,-0.07356002926826477
np,-0.07554545998573303
in,-0.08111631125211716
cf,-0.08133114129304886
sc,-0.08209115266799927
