Image,Similarity
va,0.5832533240318298
mm,0.5673130750656128
pl,0.5360762476921082
at,0.5273734331130981
gl,0.5144701600074768
nu,0.4805929660797119
mk,0.4794457256793976
kg,0.4782102108001709
hk,0.47032469511032104
bi,0.46571221947669983
es,0.4652535021305084
ch,0.4579993784427643
cg,0.45694100856781006
ie,0.45250052213668823
pf,0.4465952515602112
lb,0.44613656401634216
ml,0.4456399977207184
ec,0.4399568736553192
gq,0.43731117248535156
gg,0.4369514584541321
ir,0.43594369292259216
cl,0.43479835987091064
wf,0.4257778227329254
bn,0.4204384386539459
cz,0.4127947986125946
vc,0.41143423318862915
ge,0.40523120760917664
ci,0.4042046368122101
vn,0.3994539678096771
tl,0.3991602659225464
sn,0.3961934745311737
co,0.3951875865459442
cy,0.38601526618003845
dk,0.3838592767715454
tn,0.38299036026000977
gd,0.3801433742046356
pe,0.3788674771785736
gn,0.3761473000049591
gb-eng,0.37282228469848633
mt,0.37280476093292236
cn,0.37153100967407227
md,0.36864808201789856
km,0.36836904287338257
lr,0.36586514115333557
ng,0.35275959968566895
in,0.35260236263275146
ca,0.3482326865196228
it,0.34187155961990356
tr,0.3354080617427826
im,0.3310190439224243
hu,0.3282165229320526
sk,0.3245726525783539
lk,0.3219984471797943
ro,0.3180544078350067
sg,0.31208816170692444
td,0.31105124950408936
kw,0.3097536861896515
vi,0.30927717685699463
je,0.30759912729263306
pr,0.3046509027481079
bj,0.30451807379722595
bl,0.30194634199142456
fr,0.30194634199142456
gf,0.30194634199142456
gp,0.30194634199142456
mf,0.30194634199142456
mq,0.30194634199142456
nc,0.30194634199142456
pm,0.30194634199142456
re,0.30194634199142456
yt,0.30194634199142456
tj,0.2998485863208771
mx,0.29299113154411316
gi,0.2898930013179779
lv,0.27619683742523193
um,0.27126890420913696
us,0.27126890420913696
jp,0.27074992656707764
nf,0.26857489347457886
ad,0.26432353258132935
bh,0.2641698718070984
id,0.26203659176826477
gt,0.2602806091308594
ne,0.2592567205429077
sc,0.2577231526374817
be,0.2513201832771301
bg,0.25090163946151733
me,0.2472766935825348
ug,0.24235668778419495
ar,0.2373240739107132
mc,0.2261020839214325
pt,0.2222784459590912
si,0.2210921049118042
lt,0.2195369154214859
sm,0.2193514108657837
ye,0.2096303254365921
ve,0.20702463388442993
gw,0.20542451739311218
sd,0.2034943401813507
bm,0.2033817321062088
fo,0.19897499680519104
bq,0.19586990773677826
nl,0.19586990773677826
lu,0.19008886814117432
eg,0.18839387595653534
cf,0.18584251403808594
kr,0.18558324873447418
to,0.18122407793998718
ma,0.17896457016468048
om,0.17848289012908936
ki,0.1744655966758728
st,0.17197108268737793
cm,0.16287803649902344
py,0.16212323307991028
ru,0.16157180070877075
sy,0.15875697135925293
iq,0.14793656766414642
my,0.14609698951244354
cr,0.14532330632209778
bo,0.14221325516700745
il,0.12379516661167145
gb-nir,0.12166892737150192
gb,0.12166892737150192
sh,0.12166892737150192
al,0.11579103022813797
th,0.11552809178829193
kp,0.11546921730041504
uy,0.10660365223884583
dj,0.10594810545444489
as,0.10237395018339157
sr,0.10146695375442505
tw,0.09571126103401184
sl,0.094732366502285
zw,0.09360969066619873
do,0.09298654645681381
uz,0.09285581111907959
dz,0.08905980736017227
hr,0.08870400488376617
gh,0.08728428184986115
ae,0.08719171583652496
lc,0.0862077921628952
tg,0.08113512396812439
ba,0.08031544089317322
mg,0.0780360996723175
gb-sct,0.07208108901977539
fm,0.06310415267944336
gy,0.060663461685180664
gb-wls,0.054605837911367416
la,0.05405033379793167
bv,0.04733442887663841
no,0.04733442887663841
sj,0.04733442887663841
cu,0.04469965770840645
ga,0.04455053061246872
gr,0.03579569607973099
rs,0.033999547362327576
io,0.03345521166920662
fj,0.030844002962112427
af,0.026307716965675354
ua,0.02520274743437767
pa,0.018976952880620956
aq,0.018344098702073097
ax,0.003979850560426712
bb,0.002171549014747143
tk,-0.0036711087450385094
de,-0.006237201392650604
sz,-0.008427077904343605
er,-0.011525280773639679
mr,-0.015149390324950218
ag,-0.019373737275600433
et,-0.024459701031446457
am,-0.026100177317857742
tt,-0.033479176461696625
jm,-0.040841374546289444
az,-0.04165710508823395
ps,-0.04175718501210213
se,-0.04318176209926605
ls,-0.04479113966226578
mu,-0.04693878814578056
pw,-0.04737519845366478
by,-0.05026782304048538
ws,-0.05466105043888092
fi,-0.055330246686935425
hn,-0.06280546635389328
ni,-0.07554013282060623
br,-0.0760265663266182
rw,-0.07758373022079468
bf,-0.07794583588838577
eh,-0.07898429036140442
kn,-0.08863474428653717
mz,-0.09192266315221786
gm,-0.10345077514648438
za,-0.10565280169248581
qa,-0.10634921491146088
sx,-0.11838026344776154
pg,-0.11946230381727219
jo,-0.1211405023932457
sv,-0.12248745560646057
mv,-0.12249720096588135
np,-0.12856213748455048
ph,-0.1356189250946045
kh,-0.13624654710292816
ao,-0.14667828381061554
ht,-0.15250083804130554
bw,-0.16077423095703125
bz,-0.16377253830432892
aw,-0.16559463739395142
bd,-0.17311181128025055
ke,-0.186396524310112
dm,-0.190886989235878
mp,-0.19111283123493195
is,-0.19245056807994843
li,-0.20139488577842712
zm,-0.20736080408096313
so,-0.20968908071517944
bs,-0.2114071249961853
mw,-0.2384096384048462
ss,-0.2436477094888687
na,-0.24880598485469818
vu,-0.2756810784339905
tv,-0.2770501673221588
cv,-0.2931325137615204
cc,-0.32510167360305786
mo,-0.32732024788856506
ee,-0.32794538140296936
pk,-0.334473580121994
kz,-0.3547189235687256
cd,-0.36478129029273987
ck,-0.3764350712299347
ly,-0.39629998803138733
ai,-0.3963180482387543
fk,-0.39715179800987244
sa,-0.39984339475631714
