Image,Similarity
cu,0.49598294496536255
gr,0.47649136185646057
fm,0.45481815934181213
gb-eng,0.42820096015930176
fi,0.4242701530456543
sm,0.401258647441864
ee,0.39922064542770386
so,0.3987596929073334
gt,0.3901737332344055
kz,0.3874295651912689
cy,0.38471361994743347
fj,0.3808744549751282
fo,0.3720816671848297
ar,0.36609944701194763
aw,0.3566741645336151
tv,0.35192930698394775
lc,0.34446561336517334
ca,0.3409537672996521
gb-sct,0.33527299761772156
nf,0.30361905694007874
ge,0.2962286174297333
ng,0.2909122407436371
jp,0.279771089553833
pw,0.2703171968460083
cr,0.269167423248291
cd,0.2661880850791931
th,0.25411155819892883
ie,0.2444242686033249
mx,0.24179716408252716
kr,0.23791062831878662
gb-nir,0.23130962252616882
gb,0.23130962252616882
sh,0.23130962252616882
gg,0.2288711816072464
il,0.2236567735671997
xk,0.2225523293018341
mp,0.2204059511423111
ni,0.21923622488975525
vi,0.21094226837158203
dj,0.1969914734363556
dz,0.18318083882331848
ci,0.1796906292438507
mn,0.17936843633651733
za,0.17473751306533813
it,0.17260661721229553
ru,0.1701345443725586
je,0.16815514862537384
eu,0.15415969491004944
bs,0.1537523865699768
az,0.14818429946899414
sv,0.1423046588897705
pr,0.1405046284198761
bg,0.13661126792430878
tf,0.13638845086097717
bl,0.12781599164009094
fr,0.12781599164009094
gf,0.12781599164009094
gp,0.12781599164009094
mf,0.12781599164009094
mq,0.12781599164009094
nc,0.12781599164009094
pm,0.12781599164009094
re,0.12781599164009094
yt,0.12781599164009094
rw,0.1265525221824646
um,0.12594349682331085
us,0.12594349682331085
pe,0.12232422828674316
is,0.11900977790355682
uy,0.11743380129337311
io,0.10656443238258362
om,0.1044016107916832
ax,0.09673342108726501
si,0.09531983733177185
ga,0.09466328471899033
sk,0.09337760508060455
pa,0.0925980806350708
cz,0.08896666765213013
rs,0.08872474730014801
np,0.08617290109395981
cw,0.08399634063243866
sg,0.08150605857372284
sl,0.07996786385774612
km,0.07782068848609924
pl,0.07189042121171951
bv,0.07067809253931046
no,0.07067809253931046
sj,0.07067809253931046
va,0.06802615523338318
cx,0.06477481871843338
ck,0.06287121027708054
gl,0.05884217098355293
mt,0.0568714402616024
aq,0.056230440735816956
sr,0.05587484687566757
sb,0.055638402700424194
sc,0.052062686532735825
mh,0.05048294737935066
uz,0.04539915919303894
hn,0.044957950711250305
mc,0.0447005033493042
fk,0.03890123963356018
ky,0.03850181773304939
gy,0.03817138075828552
lu,0.03487545996904373
tz,0.0308648943901062
nz,0.029971029609441757
cl,0.027935728430747986
ls,0.02699580416083336
ms,0.02643389068543911
vg,0.0258739423006773
gs,0.022849295288324356
my,0.02243909239768982
se,0.02209925651550293
au,0.022034358233213425
hm,0.022034358233213425
ai,0.02197723463177681
gm,0.02140267938375473
mo,0.020157264545559883
tc,0.012360980734229088
mz,0.003748185932636261
ua,0.003034070134162903
gu,-0.002084821928292513
pn,-0.0021760687232017517
lr,-0.008466867730021477
tm,-0.011993460357189178
sa,-0.01400139182806015
dm,-0.015634292736649513
id,-0.021930798888206482
bi,-0.022678233683109283
mg,-0.03032895363867283
cv,-0.033086780458688736
er,-0.03438892215490341
ba,-0.03452233225107193
kp,-0.034924209117889404
pk,-0.038460198789834976
gb-wls,-0.047045499086380005
kh,-0.04711826145648956
tg,-0.05304740369319916
na,-0.05364206060767174
jm,-0.05382690578699112
bz,-0.057612478733062744
nr,-0.06121820956468582
sz,-0.06501692533493042
bb,-0.07094579935073853
lb,-0.0726965144276619
sn,-0.07759912312030792
br,-0.0838906541466713
cf,-0.10203606635332108
py,-0.1038900837302208
gi,-0.1052088588476181
vc,-0.10841895639896393
pf,-0.10868906229734421
ss,-0.1151597872376442
kn,-0.1158454567193985
bn,-0.1190943717956543
st,-0.11979665607213974
mr,-0.12157824635505676
gw,-0.12406115978956223
ag,-0.12459948658943176
vu,-0.12462672591209412
hr,-0.1268957108259201
as,-0.1308598518371582
ht,-0.1407797634601593
et,-0.14208482205867767
gd,-0.14305679500102997
mu,-0.14704912900924683
cg,-0.15040302276611328
ir,-0.1526755392551422
bd,-0.15461182594299316
ad,-0.15554918348789215
ph,-0.15836374461650848
ke,-0.16007012128829956
