Image,Similarity
xk,0.42693522572517395
gu,0.41202133893966675
aq,0.39772528409957886
mo,0.3854239284992218
hn,0.3581083416938782
so,0.326961874961853
sv,0.3251064717769623
as,0.32476168870925903
ni,0.31168898940086365
nr,0.31006690859794617
kh,0.30475887656211853
cv,0.30414819717407227
cx,0.2831307649612427
la,0.2716296315193176
ps,0.2706971764564514
mh,0.26512351632118225
mp,0.2613403797149658
ae,0.25313469767570496
bq,0.2528473138809204
nl,0.2528473138809204
il,0.2528363764286041
hr,0.2513001561164856
eh,0.24187162518501282
sd,0.23846465349197388
ht,0.23533056676387787
eu,0.2325402796268463
ag,0.2322075068950653
jo,0.2292751669883728
kz,0.22460632026195526
ye,0.22227618098258972
bl,0.22079554200172424
fr,0.22079554200172424
gf,0.22079554200172424
gp,0.22079554200172424
mf,0.22079554200172424
mq,0.22079554200172424
nc,0.22079554200172424
pm,0.22079554200172424
re,0.22079554200172424
yt,0.22079554200172424
ls,0.21783244609832764
bi,0.2170349359512329
gb-sct,0.21592888236045837
sl,0.21543458104133606
py,0.21254929900169373
bs,0.20202159881591797
do,0.20096942782402039
pw,0.20064885914325714
eg,0.20064663887023926
nz,0.19874919950962067
cw,0.19838112592697144
au,0.19686563313007355
hm,0.19686563313007355
ck,0.19604402780532837
lv,0.1939387321472168
af,0.18824928998947144
kw,0.18529419600963593
tf,0.1800142526626587
uy,0.17920424044132233
is,0.1779111623764038
bb,0.1777883768081665
it,0.17590099573135376
sb,0.17196200788021088
gt,0.17160344123840332
lu,0.17020811140537262
sy,0.16908057034015656
uz,0.16890564560890198
hu,0.1669710874557495
tj,0.1640687882900238
tv,0.16055233776569366
ch,0.15497396886348724
mn,0.15176256000995636
ms,0.14662063121795654
iq,0.14585112035274506
sa,0.14343325793743134
tn,0.14198045432567596
dk,0.13910719752311707
bd,0.13767969608306885
mx,0.12809161841869354
gs,0.12693805992603302
ss,0.12364622950553894
fm,0.11967860162258148
ng,0.11908336728811264
np,0.11693187057971954
mr,0.1166752427816391
cu,0.11659170687198639
ar,0.11589282751083374
ky,0.11563587188720703
ir,0.1156180202960968
pn,0.11546938866376877
tc,0.10752474516630173
vg,0.1068614199757576
aw,0.10590694099664688
ph,0.10390302538871765
sx,0.10267945379018784
fk,0.10134149342775345
ai,0.09690769761800766
pr,0.09621813893318176
ao,0.09599431604146957
at,0.09581991285085678
be,0.09401915967464447
cd,0.09223337471485138
rw,0.0898793414235115
ro,0.08400259166955948
ci,0.08350104093551636
fj,0.08053632080554962
se,0.07830699533224106
gq,0.07745024561882019
li,0.07579132914543152
ki,0.07425552606582642
pf,0.07056993991136551
dj,0.07037732005119324
ke,0.06891661137342453
hk,0.06462506949901581
ad,0.0643233209848404
td,0.06420016288757324
mv,0.06359750032424927
ga,0.06258668005466461
za,0.06048630550503731
pa,0.054637469351291656
pk,0.053466539829969406
na,0.05322207510471344
me,0.05140700936317444
io,0.04997674748301506
im,0.04964584857225418
az,0.042569320648908615
pe,0.0373147651553154
gb-nir,0.03702791780233383
gb,0.03702791780233383
sh,0.03702791780233383
lb,0.03305402398109436
dm,0.030754994601011276
qa,0.0284988135099411
ie,0.028094615787267685
gm,0.0248037651181221
mw,0.018221311271190643
ws,0.01173333078622818
cc,0.008137635886669159
jm,0.004656188189983368
pg,0.003064192831516266
cl,0.0027429796755313873
gn,-0.0015529543161392212
um,-0.004980728030204773
us,-0.004980728030204773
ax,-0.007505640387535095
ne,-0.007680933922529221
kg,-0.010626010596752167
