Image,Similarity
jp,0.868070662021637
gb-eng,0.7649557590484619
cy,0.7468129396438599
gg,0.7350901365280151
ge,0.6635661721229553
sm,0.6466174125671387
je,0.6353673338890076
vi,0.6308375597000122
fo,0.5606560111045837
nf,0.5378068685531616
va,0.520051896572113
kr,0.5159013867378235
sg,0.5053994059562683
gt,0.47151514887809753
ar,0.4709523320198059
lc,0.4548143446445465
lr,0.4254050850868225
ie,0.4215265214443207
pl,0.41871026158332825
fm,0.41314321756362915
mc,0.4068852663040161
sc,0.4015583097934723
gl,0.40135547518730164
mt,0.3954807221889496
cr,0.39225077629089355
id,0.3842768371105194
ng,0.37580302357673645
um,0.3614198565483093
us,0.3614198565483093
gi,0.35893383622169495
bt,0.3482326865196228
bw,0.3409537672996521
fi,0.33106932044029236
gr,0.322834312915802
nu,0.3189084231853485
rs,0.31463566422462463
fj,0.3139473795890808
mx,0.3133602738380432
cz,0.2950149178504944
bn,0.29295602440834045
uy,0.2778414785861969
km,0.2697315812110901
sk,0.26507559418678284
bh,0.26472726464271545
ci,0.26344752311706543
om,0.2620258033275604
cl,0.26144054532051086
th,0.25926733016967773
dz,0.25904786586761475
pe,0.2578926682472229
il,0.25092723965644836
wf,0.25033682584762573
gb-nir,0.23954373598098755
gb,0.23954373598098755
sh,0.23954373598098755
ee,0.23525303602218628
kp,0.22234515845775604
mg,0.22087930142879486
pf,0.21704065799713135
ru,0.21248078346252441
pw,0.21175718307495117
lb,0.20173649489879608
bg,0.196493998169899
gb-sct,0.19405904412269592
vc,0.19244930148124695
it,0.1908944696187973
pa,0.18803299963474274
cu,0.178995281457901
lu,0.16845791041851044
pr,0.16099584102630615
cf,0.1582217961549759
sr,0.15503567457199097
md,0.15411624312400818
er,0.15090668201446533
aw,0.14922334253787994
si,0.14532169699668884
my,0.13844528794288635
io,0.13343682885169983
gb-wls,0.12926487624645233
ki,0.12721343338489532
bl,0.12549275159835815
fr,0.12549275159835815
gf,0.12549275159835815
gp,0.12549275159835815
mf,0.12549275159835815
mq,0.12549275159835815
nc,0.12549275159835815
pm,0.12549275159835815
re,0.12549275159835815
yt,0.12549275159835815
at,0.12056772410869598
gd,0.11865133792161942
dj,0.1180121898651123
so,0.11605708301067352
bm,0.11169911921024323
