Image,Similarity
na,0.4728482663631439
kz,0.41721877455711365
so,0.40167585015296936
mh,0.35722410678863525
xk,0.3464928865432739
ni,0.32730668783187866
gb-sct,0.3002782464027405
fm,0.2999076843261719
mn,0.291526734828949
sv,0.2910030484199524
pw,0.2875293493270874
ar,0.2849796414375305
bw,0.2661880850791931
cx,0.2655594050884247
aw,0.2582973837852478
sb,0.24940405786037445
hn,0.2418517768383026
bs,0.23292550444602966
eu,0.2308787852525711
nr,0.23039689660072327
gr,0.22808565199375153
cv,0.22114771604537964
sm,0.21929185092449188
gu,0.2142486870288849
sl,0.21283096075057983
fj,0.20787842571735382
ga,0.20213583111763
il,0.19927620887756348
tv,0.19848480820655823
mp,0.1932862550020218
cr,0.18688492476940155
az,0.18411123752593994
er,0.18358463048934937
do,0.17785322666168213
tf,0.17684665322303772
uy,0.17400604486465454
ee,0.17308485507965088
mo,0.1716318428516388
ls,0.16863217949867249
tz,0.16599340736865997
cu,0.1655593067407608
uz,0.16526232659816742
cw,0.16487377882003784
gt,0.16402070224285126
kh,0.160934716463089
cy,0.15774710476398468
nz,0.14932960271835327
fi,0.1492404043674469
je,0.14575740694999695
is,0.14505620300769806
rw,0.14239256083965302
ck,0.14192496240139008
au,0.13432376086711884
hm,0.13432376086711884
aq,0.13423365354537964
lc,0.12969642877578735
ai,0.1295226663351059
hr,0.1286928355693817
jm,0.12579438090324402
lu,0.1219383180141449
tc,0.11966142803430557
dj,0.11774596571922302
ms,0.1165362223982811
ky,0.1150176152586937
fk,0.11495319753885269
np,0.11446766555309296
pn,0.11169032752513885
vi,0.1089598760008812
pa,0.10709723085165024
kr,0.1065131276845932
vg,0.10355827212333679
io,0.10321857035160065
jp,0.1000179722905159
gy,0.09787335991859436
fo,0.09638705849647522
nf,0.09637929499149323
ng,0.09592541307210922
bz,0.09223337471485138
gs,0.0909251719713211
kp,0.08350858092308044
se,0.08289320021867752
sr,0.08145210146903992
tm,0.08067259937524796
sc,0.07834210991859436
ca,0.07773236930370331
as,0.07576144486665726
sx,0.0723833292722702
dz,0.07212640345096588
ci,0.07034562528133392
sa,0.07014010846614838
py,0.06515106558799744
za,0.05656851828098297
bd,0.056452490389347076
sz,0.053029920905828476
mx,0.05239107459783554
om,0.04817052185535431
ss,0.045802079141139984
eh,0.04391394555568695
ie,0.040893688797950745
bq,0.034432947635650635
nl,0.034432947635650635
gb-wls,0.03268727660179138
um,0.030706066638231277
us,0.030706066638231277
pk,0.030685417354106903
ae,0.028654389083385468
it,0.022627130150794983
ps,0.021868787705898285
gb-nir,0.018808728083968163
gb,0.018808728083968163
sh,0.018808728083968163
jo,0.015888722613453865
mg,0.015224985778331757
my,0.01169657614082098
dm,0.005036663264036179
bl,0.0018864236772060394
fr,0.0018864236772060394
gf,0.0018864236772060394
gp,0.0018864236772060394
mf,0.0018864236772060394
mq,0.0018864236772060394
nc,0.0018864236772060394
pm,0.0018864236772060394
re,0.0018864236772060394
yt,0.0018864236772060394
gb-eng,-0.00026407092809677124
pe,-0.0029205717146396637
lr,-0.004740335047245026
ax,-0.007009642664343119
rs,-0.010002046823501587
ph,-0.012473780661821365
vu,-0.013277679681777954
sg,-0.014928311109542847
ht,-0.023946072906255722
mc,-0.028352782130241394
pl,-0.03155295550823212
mt,-0.03388545662164688
th,-0.03539362549781799
li,-0.03556755185127258
ne,-0.03710905835032463
ge,-0.03797333315014839
st,-0.044144660234451294
km,-0.04540933668613434
gg,-0.0467848926782608
ru,-0.04978277161717415
et,-0.053240519016981125
hu,-0.05728454515337944
ki,-0.059389352798461914
ws,-0.06258076429367065
bf,-0.06824258714914322
cc,-0.07091189175844193
bv,-0.0718359500169754
no,-0.0718359500169754
sj,-0.0718359500169754
id,-0.0723944902420044
cl,-0.07286607474088669
by,-0.07429850101470947
kw,-0.076437808573246
va,-0.07707709819078445
ba,-0.0780656635761261
eg,-0.07811105251312256
ke,-0.08270035684108734
sd,-0.08530314266681671
tw,-0.08560226857662201
gi,-0.08784182369709015
bg,-0.09125284105539322
ye,-0.09125695377588272
mw,-0.09143082797527313
ir,-0.09238381683826447
ua,-0.09571830183267593
tt,-0.09619218856096268
si,-0.09822845458984375
gw,-0.0984819233417511
iq,-0.09858301281929016
tk,-0.10102922469377518
tj,-0.10312919318675995
in,-0.1049492359161377
sy,-0.10583190619945526
bm,-0.1061730831861496
mu,-0.10726318508386612
ly,-0.11158274114131927
gh,-0.11565318703651428
br,-0.11716901510953903
tg,-0.1190500557422638
cz,-0.11934099346399307
gm,-0.12248797714710236
ao,-0.12721076607704163
mz,-0.1282050907611847
dk,-0.1286398023366928
cf,-0.12901648879051208
pf,-0.13433201611042023
sk,-0.1445102095603943
cg,-0.1470879465341568
gl,-0.14811581373214722
ag,-0.1527184396982193
to,-0.1535423994064331
lv,-0.1592065393924713
bo,-0.16153444349765778
pg,-0.16462209820747375
bb,-0.16563096642494202
qa,-0.17392531037330627
gq,-0.17624372243881226
zw,-0.1774730682373047
bi,-0.1780976802110672
la,-0.1792832612991333
bh,-0.18493345379829407
zm,-0.19083930552005768
lb,-0.19960695505142212
af,-0.20018452405929565
bn,-0.20265811681747437
