Image,Similarity
ml,0.5610207319259644
bj,0.5538074374198914
nu,0.510568380355835
sn,0.47746139764785767
ro,0.46331867575645447
td,0.4595531225204468
bt,0.45694100856781006
tk,0.4196029007434845
es,0.3983509838581085
be,0.3925436735153198
mm,0.3923609256744385
cl,0.3852449655532837
pt,0.37585872411727905
ad,0.36302345991134644
gq,0.3622334599494934
kg,0.3610752820968628
vn,0.3608943223953247
md,0.3605305552482605
gd,0.34669458866119385
mk,0.33414947986602783
ir,0.3340792655944824
gl,0.32502877712249756
ug,0.31505969166755676
ch,0.3108580708503723
cm,0.30774998664855957
tw,0.30694007873535156
ws,0.30527329444885254
kw,0.30091747641563416
it,0.29669833183288574
tl,0.29377901554107666
hk,0.2915104627609253
va,0.2904059588909149
cz,0.28566303849220276
vc,0.2792564928531647
ie,0.2736973166465759
st,0.27292969822883606
ua,0.2644059658050537
bl,0.2612888216972351
fr,0.2612888216972351
gf,0.2612888216972351
gp,0.2612888216972351
mf,0.2612888216972351
mq,0.2612888216972351
nc,0.2612888216972351
pm,0.2612888216972351
re,0.2612888216972351
yt,0.2612888216972351
bn,0.2557404339313507
bi,0.24719685316085815
pl,0.24688437581062317
tn,0.24541012942790985
de,0.24432316422462463
my,0.2426796853542328
me,0.24007046222686768
cn,0.23188315331935883
at,0.23184682428836823
gg,0.23143114149570465
lk,0.22864946722984314
mt,0.2264360934495926
um,0.2239813506603241
us,0.2239813506603241
im,0.21576422452926636
tr,0.21345534920692444
gn,0.2094903290271759
mx,0.20546336472034454
ec,0.20240294933319092
jm,0.19434815645217896
wf,0.1939873993396759
ge,0.17838719487190247
ga,0.1778128445148468
bh,0.1745089441537857
dk,0.1738577038049698
km,0.16845451295375824
zm,0.16638194024562836
ng,0.16168931126594543
pr,0.15768253803253174
pe,0.15525639057159424
zw,0.15481898188591003
kn,0.15109077095985413
gb-eng,0.1443452537059784
sr,0.14070312678813934
co,0.13869284093379974
lr,0.13463568687438965
cy,0.12888363003730774
pf,0.12840229272842407
kp,0.1264985203742981
lv,0.12589429318904877
rw,0.12492609769105911
ht,0.12478477507829666
ma,0.12403237074613571
do,0.1217733845114708
gy,0.12140384316444397
bm,0.11542508006095886
cf,0.11479884386062622
lt,0.11164442449808121
dz,0.10942281037569046
je,0.10543058067560196
az,0.10464701056480408
la,0.1021026074886322
ca,0.10152403265237808
vi,0.10036403685808182
bg,0.09720107913017273
lb,0.09673018008470535
gi,0.09433874487876892
tg,0.09289460629224777
cr,0.08997651934623718
to,0.08806529641151428
sg,0.08719176054000854
bs,0.08464185893535614
ve,0.0841970220208168
ci,0.08330569416284561
et,0.08254922926425934
ae,0.08046408742666245
mz,0.0791957899928093
af,0.07401396334171295
id,0.07226474583148956
ag,0.07082659006118774
mc,0.06928730010986328
gt,0.06665165722370148
al,0.06581881642341614
bb,0.06500095129013062
as,0.06310849636793137
mr,0.06225604936480522
ba,0.06194530427455902
uz,0.061075981706380844
ki,0.05919359624385834
li,0.05289924889802933
tt,0.05196474492549896
sz,0.04979751259088516
bv,0.047944094985723495
no,0.047944094985723495
sj,0.047944094985723495
tj,0.04628920182585716
si,0.04548795521259308
fo,0.036504387855529785
cc,0.036198437213897705
hu,0.03510497510433197
ph,0.033639077097177505
gb-sct,0.02973531186580658
aq,0.028949305415153503
ar,0.02726750075817108
na,0.026609884575009346
nf,0.01861785352230072
jp,0.01800622045993805
sk,0.011998215690255165
ss,0.008980706334114075
lc,0.005534425377845764
om,0.004600204527378082
sl,0.003136739134788513
in,-0.0033368347212672234
ru,-0.004846295341849327
gw,-0.006803430616855621
sc,-0.007727408781647682
sd,-0.008803957141935825
th,-0.009090574458241463
pg,-0.010857529938220978
pw,-0.011602167040109634
ne,-0.011985083110630512
ye,-0.014830583706498146
ps,-0.017519626766443253
er,-0.021898925304412842
mu,-0.029201053082942963
eg,-0.029219668358564377
ke,-0.029574178159236908
ax,-0.029582655057311058
gb-nir,-0.03663113713264465
gb,-0.03663113713264465
sh,-0.03663113713264465
mv,-0.03739124536514282
bo,-0.03801625967025757
gr,-0.0391952320933342
sy,-0.03985036164522171
se,-0.04309067502617836
eh,-0.044926717877388
bq,-0.05081768333911896
nl,-0.05081768333911896
qa,-0.05095979571342468
mo,-0.05305000767111778
jo,-0.05315291881561279
kh,-0.053739652037620544
am,-0.05680670589208603
gh,-0.06223677843809128
dm,-0.06399707496166229
sb,-0.06759114563465118
iq,-0.07094874233007431
bz,-0.07179135084152222
dj,-0.07283815741539001
il,-0.07540106773376465
mw,-0.07893840968608856
kr,-0.07910478115081787
ee,-0.08117091655731201
br,-0.08231191337108612
gb-wls,-0.08279899507761002
fi,-0.08494935184717178
cu,-0.0852620080113411
bd,-0.09324470162391663
hn,-0.09919138997793198
za,-0.09927049279212952
sm,-0.10393159091472626
mg,-0.10674083232879639
mh,-0.11229997873306274
ls,-0.11402741074562073
ni,-0.11443587392568588
pk,-0.11490722745656967
io,-0.11820775270462036
kz,-0.12103131413459778
ao,-0.1237693652510643
rs,-0.12955565750598907
lu,-0.12963856756687164
hr,-0.1329345703125
cv,-0.13381314277648926
py,-0.1341858208179474
fm,-0.1371457725763321
aw,-0.1411435306072235
uy,-0.14298947155475616
cd,-0.1470879465341568
cx,-0.14868074655532837
bw,-0.15040302276611328
sa,-0.15197554230690002
sv,-0.1527700424194336
by,-0.1567295491695404
mp,-0.17352280020713806
xk,-0.17922343313694
