Image,Similarity
pl,0.838377833366394
cz,0.8265659809112549
si,0.5170236229896545
bg,0.49476563930511475
ru,0.47795915603637695
sk,0.4753352999687195
km,0.4737043082714081
bt,0.43479835987091064
bl,0.43379032611846924
fr,0.43379032611846924
gf,0.43379032611846924
gp,0.43379032611846924
mf,0.43379032611846924
mq,0.43379032611846924
nc,0.43379032611846924
pm,0.43379032611846924
re,0.43379032611846924
yt,0.43379032611846924
gl,0.40549468994140625
om,0.40331342816352844
bn,0.4022027254104614
bj,0.3943326473236084
ie,0.39426666498184204
it,0.3929675221443176
pe,0.3878946304321289
cg,0.3852449655532837
gt,0.353080153465271
bm,0.3450337052345276
mx,0.3381252884864807
ir,0.3371443748474121
ng,0.3351867198944092
ro,0.3192983567714691
gi,0.31820327043533325
va,0.3167153596878052
nu,0.31221020221710205
um,0.3096972703933716
us,0.3096972703933716
sn,0.3095206022262573
at,0.30603718757629395
be,0.30548954010009766
hk,0.30042755603790283
ad,0.3002277910709381
td,0.29782140254974365
wf,0.29013922810554504
ci,0.2834562063217163
ch,0.2834371030330658
gg,0.2815825939178467
kg,0.27740439772605896
lr,0.27270564436912537
mm,0.2710796594619751
ge,0.2660769820213318
bi,0.26601144671440125
sm,0.26577097177505493
cy,0.26408055424690247
ca,0.26144054532051086
ml,0.2608712315559387
rw,0.25924983620643616
dz,0.25800621509552
fo,0.2578794062137604
gb-eng,0.2573266327381134
cf,0.25541216135025024
dk,0.25517910718917847
nf,0.25273218750953674
im,0.24490579962730408
je,0.24483689665794373
pr,0.2443874478340149
tn,0.23933735489845276
ar,0.23916149139404297
lc,0.23775123059749603
kw,0.23378469049930573
gb-wls,0.23302096128463745
az,0.22904106974601746
dj,0.22740821540355682
mk,0.22724582254886627
gq,0.2263011485338211
ht,0.22226881980895996
jp,0.22108298540115356
cn,0.21902185678482056
lb,0.21525238454341888
pf,0.21428535878658295
do,0.2110421359539032
vn,0.20851600170135498
gn,0.20735225081443787
tw,0.2000773847103119
cm,0.1910773515701294
es,0.19085830450057983
ws,0.18417194485664368
co,0.18248654901981354
vi,0.18206441402435303
kr,0.18078212440013885
md,0.1763872355222702
fm,0.16918855905532837
in,0.16453787684440613
vc,0.16350731253623962
ph,0.15908931195735931
mt,0.15765219926834106
tl,0.15633800625801086
ua,0.1558685302734375
gd,0.15053877234458923
ve,0.14862526953220367
as,0.14610368013381958
lv,0.14575079083442688
gr,0.14562788605690002
fi,0.1445106565952301
cr,0.14358128607273102
ec,0.13946518301963806
uz,0.13916388154029846
sd,0.13742569088935852
tr,0.1341981589794159
aq,0.13343395292758942
to,0.13034451007843018
il,0.13006217777729034
bb,0.11694003641605377
pt,0.11575683951377869
ye,0.11394794285297394
hu,0.10657632350921631
ae,0.10635766386985779
my,0.10581494122743607
ba,0.10489043593406677
eg,0.10351447761058807
kp,0.10261142253875732
gb-nir,0.10152386128902435
gb,0.10152386128902435
sh,0.10152386128902435
aw,0.10126524418592453
th,0.10052848607301712
me,0.09659509360790253
iq,0.09274716675281525
gb-sct,0.08937098830938339
lt,0.08390698581933975
sz,0.083145871758461
uy,0.08247030526399612
sy,0.08209674060344696
cu,0.07862325012683868
tj,0.07530157268047333
sr,0.07454681396484375
li,0.0745314508676529
ug,0.06481374055147171
af,0.06292296946048737
la,0.0621904656291008
ma,0.061286598443984985
lk,0.05865474045276642
so,0.04875696450471878
tk,0.04648734629154205
ni,0.04166167229413986
bh,0.04078260064125061
gw,0.033212676644325256
bw,0.027935728430747986
hn,0.027262747287750244
ls,0.025151049718260765
tt,0.02212221547961235
pa,0.017064861953258514
pg,0.015132732689380646
hr,0.014689136296510696
pw,0.011678554117679596
sv,0.0037791579961776733
bz,0.0027429796755313873
gy,0.0015527531504631042
bq,0.0012121200561523438
nl,0.0012121200561523438
ax,0.0008089300245046616
bv,8.593779057264328e-05
no,8.593779057264328e-05
sj,8.593779057264328e-05
fj,-0.006114766001701355
al,-0.011763311922550201
et,-0.011893033981323242
io,-0.013440866023302078
mp,-0.01582977920770645
sc,-0.01914381980895996
ne,-0.02560277283191681
kn,-0.02795223891735077
sl,-0.034532297402620316
zw,-0.037149958312511444
py,-0.03982704132795334
bs,-0.04207704961299896
sb,-0.04421587288379669
lu,-0.04683190584182739
na,-0.048108071088790894
xk,-0.051932986825704575
tg,-0.05728153884410858
se,-0.05742812156677246
ao,-0.061145491898059845
qa,-0.06419142335653305
st,-0.06644974648952484
cd,-0.07286607474088669
is,-0.07607603073120117
za,-0.08687081933021545
ga,-0.08921359479427338
bd,-0.09078417718410492
mz,-0.10512261092662811
er,-0.10940457880496979
kh,-0.11772648990154266
ag,-0.12311933189630508
bo,-0.12465961277484894
mr,-0.1252003163099289
jm,-0.12668633460998535
kz,-0.12725913524627686
am,-0.13475707173347473
mv,-0.13688158988952637
gh,-0.1440906524658203
dm,-0.15001116693019867
np,-0.15159830451011658
fk,-0.1592452973127365
de,-0.1594308763742447
ai,-0.16003361344337463
gm,-0.16003453731536865
by,-0.166012704372406
br,-0.16687141358852386
mu,-0.16748233139514923
mg,-0.17576582729816437
ps,-0.18188916146755219
jo,-0.18400685489177704
ck,-0.19027221202850342
sg,-0.19242197275161743
ke,-0.19523514807224274
ee,-0.19542276859283447
rs,-0.1965315043926239
tc,-0.19973434507846832
ms,-0.20146287977695465
eh,-0.2063647210597992
gs,-0.20829114317893982
tv,-0.20887356996536255
cv,-0.21138516068458557
ki,-0.21352922916412354
sa,-0.21439698338508606
mn,-0.22069703042507172
pn,-0.22978751361370087
mh,-0.23180142045021057
au,-0.23533964157104492
hm,-0.23533964157104492
vg,-0.23611794412136078
ky,-0.23735411465168
nz,-0.2471437007188797
cx,-0.25041061639785767
gu,-0.2551638185977936
ss,-0.2661275863647461
mo,-0.2758415639400482
