Image,Similarity
tl,0.9034866690635681
ma,0.8648653030395508
kg,0.8484665751457214
me,0.8436817526817322
vn,0.8370797634124756
tr,0.7920783758163452
al,0.7839752435684204
im,0.7670133113861084
wf,0.7641233205795288
qa,0.7336429953575134
mk,0.7182583808898926
hk,0.7080394625663757
tn,0.7051345705986023
to,0.6993023753166199
tw,0.6949682235717773
es,0.6674462556838989
bh,0.6551172137260437
pt,0.6310955286026001
ws,0.6216806769371033
lk,0.615733802318573
bm,0.5645295977592468
ch,0.5201136469841003
de,0.5157667994499207
cm,0.5043855905532837
ao,0.4669364392757416
by,0.4577431082725525
dk,0.45281100273132324
zw,0.4372214078903198
tt,0.4340309500694275
td,0.4206092059612274
pg,0.40570083260536194
ug,0.3983202278614044
lv,0.3944224715232849
kp,0.3879786729812622
md,0.3797992467880249
be,0.3782983422279358
mw,0.3757718503475189
ro,0.373817503452301
bt,0.37153100967407227
at,0.36804187297821045
gi,0.3655252158641815
ml,0.3423961400985718
sc,0.32929712533950806
id,0.3263065814971924
ad,0.32162415981292725
ve,0.32124775648117065
af,0.3212119936943054
am,0.32009732723236084
er,0.31958118081092834
ec,0.31947997212409973
gb-wls,0.3177046775817871
gh,0.3171907365322113
bj,0.31662607192993164
gn,0.3110009431838989
li,0.3107541501522064
nu,0.3086244463920593
gd,0.3079867660999298
co,0.3066900074481964
ge,0.3042869567871094
lt,0.2783842086791992
bo,0.2737307846546173
bv,0.25888222455978394
no,0.25888222455978394
sj,0.25888222455978394
pf,0.24837446212768555
mm,0.2434585690498352
pl,0.24195748567581177
ki,0.2404082715511322
sx,0.2383214235305786
bn,0.23785720765590668
ke,0.23385442793369293
cg,0.23188315331935883
mt,0.23154498636722565
gb-nir,0.23065641522407532
gb,0.23065641522407532
sh,0.23065641522407532
gl,0.2236613631248474
cl,0.21902185678482056
pe,0.2174529731273651
sn,0.21674127876758575
my,0.215894877910614
mc,0.21542611718177795
vc,0.207606703042984
sg,0.20408836007118225
la,0.2003249078989029
bd,0.1915147304534912
lr,0.19021455943584442
ht,0.18708106875419617
eg,0.18430794775485992
gg,0.18244054913520813
cz,0.17898279428482056
sz,0.17513872683048248
bf,0.17470970749855042
ly,0.17264431715011597
vu,0.17157988250255585
lb,0.16590964794158936
pr,0.16362622380256653
kn,0.16032224893569946
ph,0.15909695625305176
iq,0.15705496072769165
ye,0.15688467025756836
sy,0.15420979261398315
sd,0.15379846096038818
sr,0.1529838740825653
tk,0.1519191563129425
om,0.1495029330253601
tg,0.14860491454601288
mu,0.14508217573165894
gb-eng,0.14229515194892883
rs,0.1410841941833496
bi,0.13920122385025024
sk,0.1373845636844635
cf,0.1369803547859192
kh,0.13663092255592346
gq,0.13489532470703125
mv,0.1270582377910614
gm,0.12625958025455475
ax,0.10974515974521637
mg,0.1071939691901207
va,0.10699637234210968
ss,0.0969596803188324
np,0.09686072915792465
bb,0.0967378169298172
ag,0.09149426221847534
jp,0.08845628798007965
km,0.08776896446943283
ca,0.08599501103162766
um,0.08501675724983215
us,0.08501675724983215
je,0.08147808909416199
ir,0.0798986554145813
mz,0.07821469753980637
tj,0.07122740149497986
hu,0.06395483016967773
ne,0.061157744377851486
hr,0.05649369955062866
ba,0.05545683205127716
cr,0.05378638207912445
do,0.052050650119781494
gw,0.046408191323280334
th,0.03470129519701004
kw,0.02245316281914711
bl,0.02124982327222824
fr,0.02124982327222824
gf,0.02124982327222824
gp,0.02124982327222824
mf,0.02124982327222824
mq,0.02124982327222824
nc,0.02124982327222824
pm,0.02124982327222824
re,0.02124982327222824
yt,0.02124982327222824
na,0.020859111100435257
ru,0.006335221230983734
st,0.004827439785003662
py,-0.00020900368690490723
si,-0.00045048724859952927
bq,-0.003138408064842224
nl,-0.003138408064842224
in,-0.006096770986914635
et,-0.0068213678896427155
pa,-0.00689426064491272
dm,-0.011263158172369003
jm,-0.03881167620420456
zm,-0.046038493514060974
gy,-0.050938382744789124
mx,-0.05531250685453415
bg,-0.0569135881960392
is,-0.05692126601934433
vi,-0.0610567182302475
jo,-0.06641635298728943
fo,-0.07157651335000992
ua,-0.07742904126644135
as,-0.0784199982881546
it,-0.08050304651260376
mr,-0.08713001012802124
cy,-0.0871710404753685
za,-0.09125015139579773
kr,-0.11011352390050888
ci,-0.1117028221487999
bz,-0.12297797948122025
ie,-0.13920551538467407
eh,-0.13984176516532898
lu,-0.14194951951503754
tc,-0.14237043261528015
gs,-0.14294113218784332
vg,-0.15440542995929718
pn,-0.1544118970632553
az,-0.15518982708454132
ky,-0.1567596048116684
au,-0.1576175093650818
hm,-0.1576175093650818
dz,-0.1603010892868042
io,-0.16157712042331696
ai,-0.16304586827754974
ps,-0.16647130250930786
nz,-0.1704956293106079
se,-0.17194029688835144
ae,-0.1726757287979126
ck,-0.17542903125286102
pk,-0.17798611521720886
fk,-0.1838161200284958
ms,-0.19582122564315796
br,-0.19866451621055603
ga,-0.2102169245481491
tz,-0.2118758261203766
cu,-0.21678870916366577
ee,-0.23852898180484772
cc,-0.2418627142906189
