Image,Similarity
ec,0.857819139957428
gw,0.5995730757713318
lt,0.5456838607788086
ve,0.5252143740653992
mm,0.47599685192108154
bj,0.4226173758506775
bn,0.4170099198818207
bt,0.3951875865459442
sk,0.34602659940719604
ba,0.3338150084018707
pl,0.3335251212120056
gd,0.3280319571495056
es,0.32068049907684326
cz,0.3190988004207611
bg,0.3138011693954468
vc,0.3132769763469696
vn,0.30873510241508484
cn,0.3066900074481964
sx,0.3036741614341736
kg,0.301347941160202
ug,0.30122560262680054
tl,0.30116504430770874
mk,0.29833683371543884
ao,0.2859908640384674
to,0.28097042441368103
bf,0.2807876467704773
mg,0.2786185145378113
me,0.2782180905342102
gi,0.2723146080970764
wf,0.27172309160232544
pg,0.2714468538761139
md,0.27055296301841736
si,0.2693108916282654
ma,0.26646795868873596
mv,0.266433984041214
ru,0.26607295870780945
hk,0.264969140291214
tr,0.25574806332588196
ml,0.2517402768135071
km,0.24761904776096344
in,0.24640807509422302
tn,0.24628469347953796
im,0.2452172487974167
lb,0.24520808458328247
lk,0.24288219213485718
pf,0.24192553758621216
gn,0.22763869166374207
td,0.2275482416152954
ch,0.22723692655563354
at,0.21479038894176483
al,0.212294802069664
ro,0.20828932523727417
pt,0.2051682472229004
sn,0.20337000489234924
la,0.19423627853393555
bm,0.19342398643493652
iq,0.19299514591693878
cm,0.18983285129070282
ad,0.1881452351808548
bh,0.1850704848766327
cl,0.18248654901981354
bo,0.18161936104297638
sy,0.17878437042236328
om,0.17766499519348145
bi,0.17759421467781067
be,0.1762787252664566
va,0.17553351819515228
eg,0.1739150881767273
pr,0.17296969890594482
gl,0.16993065178394318
gq,0.1688617616891861
ye,0.16521435976028442
sd,0.16037048399448395
zw,0.1580815613269806
sm,0.15181371569633484
dk,0.14955320954322815
cg,0.13869284093379974
gh,0.1326616406440735
ir,0.13201548159122467
ne,0.13051281869411469
cf,0.13041497766971588
lv,0.12827861309051514
ki,0.1281646490097046
tt,0.11880236864089966
gb-wls,0.11735232174396515
za,0.11546657234430313
qa,0.11306396871805191
py,0.11240282654762268
sc,0.11239909380674362
ge,0.10441296547651291
pe,0.10366115719079971
nu,0.09796387702226639
