Image,Similarity
cw,0.5202288031578064
rw,0.5007156133651733
mh,0.4621392488479614
xk,0.44639256596565247
gu,0.38990694284439087
mo,0.3881426751613617
nr,0.37472739815711975
eu,0.35202720761299133
ni,0.34591299295425415
ph,0.3439124822616577
so,0.3418431878089905
hn,0.33375829458236694
kh,0.33320459723472595
ht,0.3287090063095093
sv,0.3267878293991089
il,0.32412493228912354
mu,0.3183218836784363
as,0.30697864294052124
bz,0.30414819717407227
ls,0.30247625708580017
mp,0.30227506160736084
ua,0.2984527349472046
li,0.29439234733581543
mn,0.28242480754852295
gb-sct,0.2807803452014923
tf,0.27729862928390503
aw,0.2757098376750946
sb,0.27225470542907715
kz,0.26618894934654236
cx,0.2500600218772888
aq,0.24799978733062744
ss,0.22953584790229797
bs,0.22745877504348755
ps,0.2263316512107849
cd,0.22114771604537964
sl,0.21970604360103607
pw,0.21888069808483124
uy,0.21804922819137573
ee,0.21716226637363434
uz,0.2158064991235733
eh,0.21304559707641602
ga,0.20346158742904663
pk,0.20063582062721252
tv,0.2005445510149002
az,0.19752299785614014
fm,0.19616615772247314
jo,0.19405460357666016
is,0.18833032250404358
cu,0.18663127720355988
io,0.17012707889080048
ar,0.15399131178855896
bd,0.14943140745162964
cr,0.14269401133060455
fj,0.1373380720615387
ke,0.13656124472618103
ky,0.13214151561260223
ms,0.1311899870634079
ae,0.13040030002593994
hr,0.12531141936779022
se,0.12355604767799377
ag,0.12238716334104538
na,0.11298047751188278
fk,0.10900572687387466
do,0.10843195021152496
jm,0.10566320270299911
sr,0.10210441052913666
vg,0.10203305631875992
lv,0.10193035006523132
kw,0.10129328817129135
sa,0.09828561544418335
mc,0.09610395133495331
nz,0.09372130036354065
mw,0.09218569099903107
ck,0.09137816727161407
tm,0.08823037892580032
pn,0.08757415413856506
au,0.08545854687690735
hm,0.08545854687690735
gs,0.08154644817113876
np,0.08145815134048462
et,0.08117957413196564
dj,0.08106854557991028
ai,0.07750999927520752
bq,0.0767931416630745
nl,0.0767931416630745
tj,0.07261887192726135
tk,0.0715651884675026
tc,0.07095571607351303
lc,0.07036188244819641
er,0.06954099237918854
dm,0.06482270359992981
ki,0.0616573765873909
lu,0.06031488627195358
my,0.060039617121219635
tz,0.050355151295661926
um,0.045146018266677856
us,0.045146018266677856
ir,0.03478718549013138
ws,0.0343889445066452
gt,0.032554805278778076
py,0.0314248725771904
ax,0.03039935976266861
de,0.030127137899398804
sg,0.029516346752643585
kp,0.026901667937636375
br,0.02646072581410408
gy,0.01625954732298851
dk,0.015033621340990067
gb-nir,0.01251283474266529
gb,0.01251283474266529
sh,0.01251283474266529
cc,0.009029000997543335
gr,0.006051957607269287
pf,0.005093768239021301
th,0.004167132079601288
mz,-0.0006998106837272644
kn,-0.0007246658205986023
id,-0.0008769407868385315
st,-0.003574281930923462
rs,-0.013737216591835022
mr,-0.014186831191182137
fi,-0.014540962874889374
ng,-0.01532013714313507
bi,-0.01538502424955368
hu,-0.02124648168683052
dz,-0.024486660957336426
lr,-0.02481425553560257
af,-0.031539008021354675
lb,-0.03194711357355118
bw,-0.033086780458688736
gq,-0.04180240258574486
ye,-0.04677405208349228
bl,-0.048351582139730453
fr,-0.048351582139730453
gf,-0.048351582139730453
gp,-0.048351582139730453
mf,-0.048351582139730453
mq,-0.048351582139730453
nc,-0.048351582139730453
pm,-0.048351582139730453
re,-0.048351582139730453
yt,-0.048351582139730453
it,-0.04982830584049225
sd,-0.05058078095316887
zm,-0.05501642823219299
tg,-0.055247899144887924
gl,-0.058844372630119324
qa,-0.05939432978630066
eg,-0.0655180960893631
ci,-0.06872320920228958
mx,-0.07395345717668533
la,-0.07436655461788177
ie,-0.07723771780729294
tw,-0.08212125301361084
za,-0.0858210027217865
mt,-0.08585615456104279
pa,-0.08714644610881805
bb,-0.08769228309392929
bv,-0.08928356319665909
no,-0.08928356319665909
sj,-0.08928356319665909
sy,-0.09123758226633072
tt,-0.09445987641811371
pr,-0.09724454581737518
ch,-0.09987372905015945
sz,-0.10473792254924774
sx,-0.10714863240718842
fo,-0.11022486537694931
sc,-0.11115162819623947
nf,-0.11246609687805176
vi,-0.11774134635925293
iq,-0.11960636079311371
je,-0.12149334698915482
ly,-0.12222177535295486
by,-0.12245555222034454
cy,-0.12715184688568115
kr,-0.13125964999198914
sm,-0.1318148970603943
cg,-0.13381314277648926
bh,-0.13662856817245483
gh,-0.13856548070907593
at,-0.1395018994808197
ne,-0.14099307358264923
tn,-0.14582538604736328
pe,-0.1584720015525818
tr,-0.15911470353603363
jp,-0.1618456393480301
gb-wls,-0.1625741422176361
pt,-0.1650787591934204
gg,-0.1685003638267517
bm,-0.1689077764749527
mv,-0.1690446436405182
vu,-0.1702733039855957
bo,-0.17179250717163086
im,-0.17422805726528168
pg,-0.1763075590133667
gm,-0.17734535038471222
am,-0.18115967512130737
ca,-0.18422532081604004
gb-eng,-0.18960288166999817
hk,-0.19288486242294312
cm,-0.19432075321674347
al,-0.20177501440048218
in,-0.20271381735801697
me,-0.20278899371623993
ba,-0.2086518108844757
es,-0.20930179953575134
be,-0.21058602631092072
cl,-0.21138516068458557
si,-0.21190476417541504
ge,-0.21592631936073303
ao,-0.22147154808044434
gi,-0.22391563653945923
ad,-0.22398507595062256
zw,-0.2308206558227539
om,-0.23183394968509674
lk,-0.2379690408706665
va,-0.23811431229114532
