Image,Similarity
eu,0.5463669896125793
gu,0.5276597738265991
cv,0.5202288031578064
nr,0.4362276792526245
sb,0.43544360995292664
rw,0.4275519549846649
mh,0.4222431778907776
tf,0.4118971526622772
li,0.3948555886745453
xk,0.3845168352127075
mn,0.3722207248210907
pk,0.3676782548427582
vg,0.36261463165283203
ms,0.36185920238494873
ky,0.36153921484947205
nz,0.3615247309207916
sa,0.34486478567123413
tm,0.3448430299758911
au,0.34335312247276306
hm,0.34335312247276306
gs,0.3344060480594635
pn,0.3319512903690338
ht,0.3307967483997345
ph,0.3233731687068939
fk,0.30997660756111145
kh,0.3060436546802521
mo,0.30593132972717285
ck,0.3022121787071228
ss,0.29451504349708557
cc,0.28897157311439514
tc,0.287509560585022
mu,0.2820107638835907
ai,0.27293267846107483
ke,0.2727126479148865
aw,0.2715560495853424
ee,0.260152667760849
cx,0.2500052750110626
cu,0.22347195446491241
zm,0.2152816355228424
mp,0.21371690928936005
gm,0.20834678411483765
tg,0.20308008790016174
ua,0.1987989991903305
bz,0.19838112592697144
ag,0.19518718123435974
tv,0.19297000765800476
kz,0.18772904574871063
tz,0.18767106533050537
mz,0.18263748288154602
bd,0.17307350039482117
kn,0.16808924078941345
cd,0.16487377882003784
na,0.15812638401985168
ly,0.15802961587905884
jm,0.14750388264656067
mw,0.1465730220079422
np,0.13557502627372742
so,0.1324588656425476
qa,0.1312883049249649
ls,0.13027173280715942
ws,0.12344000488519669
et,0.120765820145607
jo,0.11950700730085373
bs,0.11618029326200485
ao,0.10364574939012527
tk,0.1019197553396225
sv,0.10114822536706924
vu,0.09904149919748306
am,0.09653659164905548
eh,0.08851860463619232
de,0.08561711013317108
bw,0.08399634063243866
gb-sct,0.08361461758613586
il,0.08305715024471283
dm,0.0822303295135498
hn,0.07922198623418808
az,0.07459220290184021
mr,0.07083650678396225
ps,0.06659788638353348
br,0.06466028094291687
is,0.06263650208711624
pw,0.0618785098195076
mv,0.060655418783426285
fi,0.060516417026519775
aq,0.060476820915937424
gb-nir,0.055983055382966995
gb,0.055983055382966995
sh,0.055983055382966995
za,0.05232875049114227
ni,0.043963223695755005
io,0.041450392454862595
as,0.036212511360645294
tt,0.03507068753242493
pg,0.022737575694918633
th,0.00957682728767395
tw,0.007841545157134533
ae,0.006480768322944641
my,0.004869498312473297
er,0.004214784130454063
bv,0.0026693735271692276
no,0.0026693735271692276
sj,0.0026693735271692276
dj,-0.008913341909646988
af,-0.013115118257701397
sx,-0.013507410883903503
kp,-0.01594444178044796
sr,-0.018312683328986168
cr,-0.02270491234958172
bb,-0.028347095474600792
zw,-0.0286443792283535
st,-0.035326357930898666
uy,-0.0384230762720108
al,-0.04157166928052902
uz,-0.042105354368686676
sz,-0.04241516813635826
lc,-0.05476684868335724
fj,-0.05643472820520401
gy,-0.06074787676334381
ru,-0.061297349631786346
ax,-0.06161274015903473
hr,-0.06718382239341736
