Image,Similarity
gu,0.6303920745849609
mo,0.5152457356452942
nr,0.5022860765457153
xk,0.4815984070301056
eu,0.4796910583972931
bs,0.45879071950912476
kz,0.44972556829452515
sa,0.4228692650794983
cc,0.41104376316070557
mh,0.39815258979797363
nz,0.3814880847930908
ms,0.36863192915916443
tm,0.35505640506744385
au,0.3527875542640686
hm,0.3527875542640686
tc,0.3527604937553406
vg,0.3464370369911194
pn,0.3366438150405884
gs,0.3326560854911804
ga,0.33004289865493774
ai,0.32899925112724304
ck,0.3287641704082489
pk,0.3270660638809204
ky,0.3256905972957611
sl,0.3237614929676056
fk,0.31311675906181335
so,0.31307241320610046
sb,0.30892953276634216
hn,0.3041360080242157
tz,0.30230963230133057
sv,0.30192261934280396
mn,0.2890893220901489
bz,0.2831307649612427
tf,0.28295964002609253
ni,0.28141048550605774
ae,0.2724665403366089
cd,0.2655594050884247
tv,0.2588539123535156
cv,0.2500600218772888
cw,0.2500052750110626
jo,0.2311226725578308
ba,0.22431322932243347
bd,0.22149553894996643
zm,0.21915602684020996
mp,0.2152380794286728
ss,0.2131168097257614
pw,0.20635932683944702
is,0.1971428394317627
aq,0.19679607450962067
dm,0.1956990659236908
ps,0.19363127648830414
eh,0.1926410049200058
la,0.19073887169361115
jm,0.1841048300266266
kh,0.1796943098306656
ly,0.17860740423202515
et,0.16243337094783783
se,0.1568879336118698
za,0.1480746567249298
as,0.13881786167621613
ao,0.13803082704544067
mr,0.13459894061088562
na,0.12740251421928406
py,0.12279698997735977
pg,0.12193091958761215
gy,0.1218581423163414
hr,0.1185198426246643
sx,0.11565285176038742
gb-sct,0.10867968201637268
mv,0.09686561673879623
ke,0.09350285679101944
ht,0.08996574580669403
sy,0.08964012563228607
ax,0.08559700101613998
bq,0.08323222398757935
nl,0.08323222398757935
rw,0.07558625936508179
bw,0.06477481871843338
er,0.06453683972358704
af,0.06355471163988113
az,0.06063210964202881
uz,0.054802585393190384
mw,0.05129353329539299
eg,0.04466432332992554
vu,0.0445936843752861
gr,0.04335343837738037
iq,0.04230622202157974
bj,0.04128408804535866
ye,0.03942295163869858
st,0.030553288757801056
li,0.03000251203775406
ag,0.024687297642230988
lu,0.02386242151260376
sd,0.023389078676700592
gw,0.022357817739248276
kn,0.022113393992185593
ls,0.02089710906147957
fj,0.0099748894572258
kw,0.007255483418703079
br,0.004346169531345367
io,0.000985216349363327
do,-0.0036283021327108145
aw,-0.0047528184950351715
bf,-0.004978019744157791
bb,-0.011273986659944057
np,-0.016140658408403397
fm,-0.024853020906448364
qa,-0.024871591478586197
sr,-0.03217366337776184
ph,-0.03252597898244858
ee,-0.035410426557064056
km,-0.035492345690727234
gh,-0.036098137497901917
cu,-0.041920214891433716
co,-0.05294441431760788
ar,-0.053874701261520386
by,-0.06153620406985283
dj,-0.062324486672878265
sz,-0.06376729160547256
be,-0.06481051445007324
gm,-0.06515844166278839
bv,-0.06813227385282516
no,-0.06813227385282516
sj,-0.06813227385282516
bo,-0.06954997777938843
il,-0.07431870698928833
pa,-0.07912927865982056
dz,-0.08081737160682678
ki,-0.0855104923248291
fi,-0.0858018547296524
ec,-0.08855576068162918
tt,-0.09235631674528122
ve,-0.09678293764591217
gq,-0.09956438839435577
ir,-0.10046639293432236
gb-nir,-0.10093511641025543
gb,-0.10093511641025543
sh,-0.10093511641025543
tj,-0.1010323017835617
uy,-0.10396836698055267
ws,-0.11119154840707779
ne,-0.1139041930437088
lv,-0.11552439630031586
hu,-0.1210516095161438
sm,-0.12157272547483444
kp,-0.12489182502031326
cm,-0.12741923332214355
tg,-0.12925268709659576
mu,-0.13071151077747345
ro,-0.13398171961307526
td,-0.13432903587818146
gb-wls,-0.1362432837486267
bl,-0.13973794877529144
fr,-0.13973794877529144
gf,-0.13973794877529144
gp,-0.13973794877529144
mf,-0.13973794877529144
mq,-0.13973794877529144
nc,-0.13973794877529144
pm,-0.13973794877529144
re,-0.13973794877529144
yt,-0.13973794877529144
lt,-0.1405058354139328
cr,-0.14140558242797852
mg,-0.14378926157951355
cg,-0.14868074655532837
lc,-0.15443480014801025
