Image,Similarity
uz,0.5888204574584961
fm,0.49855875968933105
gb-sct,0.49603450298309326
ar,0.4935530424118042
ni,0.4739539921283722
so,0.4600653350353241
ls,0.4556317627429962
sm,0.43108290433883667
rw,0.4262787997722626
il,0.4154137372970581
aw,0.4106045663356781
sv,0.39984720945358276
sl,0.3884735405445099
hn,0.3851349353790283
lc,0.3756580948829651
in,0.37515369057655334
nf,0.3744336664676666
kz,0.3677464723587036
az,0.3538142144680023
gt,0.35172930359840393
ae,0.34612324833869934
tv,0.3450644612312317
pw,0.34220343828201294
ng,0.3388404846191406
pl,0.32067006826400757
uy,0.3165821433067322
tj,0.30610039830207825
ci,0.30210283398628235
hu,0.3019728660583496
lu,0.2999376654624939
om,0.29972967505455017
gr,0.2982217073440552
fj,0.2887269854545593
sb,0.27966031432151794
ie,0.275692343711853
mg,0.25188425183296204
sd,0.25109606981277466
ps,0.24853280186653137
cu,0.24231979250907898
ne,0.23606222867965698
bq,0.2341860979795456
nl,0.2341860979795456
ye,0.22965827584266663
cl,0.22740821540355682
ir,0.2229253053665161
cy,0.22084715962409973
aq,0.21697629988193512
bg,0.21393489837646484
mt,0.212266743183136
mo,0.20456913113594055
eg,0.19868144392967224
bw,0.1969914734363556
sk,0.19576147198677063
eh,0.1917901635169983
kw,0.18824729323387146
se,0.1881403923034668
mp,0.18538904190063477
jm,0.18527851998806
bi,0.179937481880188
py,0.17980322241783142
as,0.17907863855361938
iq,0.17889542877674103
gl,0.17814019322395325
sy,0.17586736381053925
si,0.16920390725135803
xk,0.16017161309719086
vi,0.15699802339076996
cz,0.1536000370979309
hr,0.15176014602184296
cf,0.15008214116096497
ua,0.14641845226287842
fo,0.1463107466697693
kr,0.1430366039276123
ru,0.14221817255020142
io,0.13655143976211548
sa,0.13461461663246155
bs,0.13461224734783173
it,0.1345437914133072
lb,0.1341225951910019
ga,0.13108126819133759
va,0.12755966186523438
gb-eng,0.12280075252056122
gg,0.121819868683815
pf,0.121802419424057
ca,0.1180121898651123
cd,0.11774596571922302
st,0.11446575075387955
gw,0.11286981403827667
tm,0.11153779923915863
cr,0.10867829620838165
bt,0.10594810545444489
mn,0.10561242699623108
mx,0.10455052554607391
gq,0.0983605831861496
bn,0.09382076561450958
jp,0.09277354180812836
at,0.0923144519329071
is,0.0815320536494255
cv,0.08106854557991028
br,0.08056353032588959
lr,0.07506708800792694
bz,0.07037732005119324
ms,0.062262725085020065
au,0.06031467765569687
hm,0.06031467765569687
fk,0.05968014895915985
km,0.059190236032009125
fi,0.058797791600227356
do,0.05331692472100258
ai,0.051396116614341736
bl,0.044710949063301086
fr,0.044710949063301086
gf,0.044710949063301086
gp,0.044710949063301086
mf,0.044710949063301086
mq,0.044710949063301086
nc,0.044710949063301086
pm,0.044710949063301086
re,0.044710949063301086
yt,0.044710949063301086
je,0.04429784044623375
na,0.04334775730967522
gy,0.04096050560474396
jo,0.04065306484699249
nz,0.04018813371658325
ck,0.03883383795619011
um,0.03619515523314476
us,0.03619515523314476
gs,0.033948805183172226
np,0.03345772624015808
bo,0.03330984711647034
tc,0.030260955914855003
nu,0.027616944164037704
pn,0.023495811969041824
vg,0.023197881877422333
gb-wls,0.022718610242009163
sr,0.021301977336406708
ge,0.019827276468276978
nr,0.01885424740612507
gi,0.01685301400721073
gb-nir,0.015374552458524704
gb,0.015374552458524704
sh,0.015374552458524704
pe,0.014909477904438972
ky,0.013610723428428173
gu,0.011069389060139656
kp,0.009988220408558846
eu,0.002771493047475815
pa,-0.007773492485284805
bf,-0.008152930065989494
cw,-0.008913341909646988
tf,-0.010265023447573185
ax,-0.014294356107711792
gn,-0.028950002044439316
tg,-0.028976237401366234
vc,-0.02950931526720524
kh,-0.03196994215250015
mu,-0.03260185569524765
lv,-0.032705649733543396
ph,-0.03744262456893921
pk,-0.03883892297744751
sx,-0.04358277469873428
gh,-0.05114435777068138
dk,-0.053316690027713776
dz,-0.05338740348815918
cc,-0.05534340813755989
gm,-0.05640660971403122
mm,-0.061538081616163254
cx,-0.062324486672878265
bd,-0.06438234448432922
th,-0.06453810632228851
dm,-0.07017605006694794
cg,-0.07283815741539001
mh,-0.07317295670509338
ch,-0.084256611764431
za,-0.08597391843795776
mr,-0.09183131903409958
et,-0.09719932079315186
rs,-0.11046470701694489
sg,-0.11320676654577255
mz,-0.12093809247016907
ht,-0.12546655535697937
pr,-0.1304508000612259
by,-0.1344650834798813
ss,-0.136327862739563
co,-0.13753168284893036
ba,-0.13928523659706116
sn,-0.14487946033477783
sc,-0.15270622074604034
bb,-0.15312454104423523
ke,-0.15362566709518433
ml,-0.15558364987373352
la,-0.15575642883777618
ec,-0.15905825793743134
gd,-0.16650578379631042
tk,-0.16826750338077545
bv,-0.18043220043182373
no,-0.18043220043182373
sj,-0.18043220043182373
bm,-0.1860290765762329
sz,-0.18769419193267822
ad,-0.19081595540046692
vu,-0.19099777936935425
ee,-0.1922840178012848
bh,-0.19604988396167755
md,-0.20270878076553345
ki,-0.20646312832832336
ug,-0.20679622888565063
