Image,Similarity
lv,0.6484227180480957
at,0.5695935487747192
ch,0.4867720901966095
hk,0.481138676404953
kg,0.468380868434906
tn,0.46483278274536133
mt,0.46417152881622314
cn,0.45281100273132324
im,0.4508722126483917
tr,0.44233617186546326
tl,0.4332713782787323
wf,0.4313162565231323
vn,0.42979490756988525
hu,0.41610708832740784
me,0.39839181303977966
ye,0.38941866159439087
bt,0.3838592767715454
mk,0.3783074915409088
sd,0.36958399415016174
bq,0.3676333725452423
nl,0.3676333725452423
pf,0.3645593225955963
es,0.36310067772865295
eg,0.36234408617019653
gq,0.36198270320892334
pe,0.35892513394355774
kw,0.3397457003593445
mm,0.3288353979587555
lb,0.3264228403568268
bl,0.32603007555007935
fr,0.32603007555007935
gf,0.32603007555007935
gp,0.32603007555007935
mf,0.32603007555007935
mq,0.32603007555007935
nc,0.32603007555007935
pm,0.32603007555007935
re,0.32603007555007935
yt,0.32603007555007935
to,0.3259897232055664
pt,0.3242150545120239
bm,0.32260334491729736
ma,0.3209249675273895
tj,0.313673198223114
ir,0.31355905532836914
py,0.3083048164844513
bh,0.30067962408065796
lr,0.3002334237098694
iq,0.2983573079109192
hr,0.29607468843460083
sy,0.2933180332183838
id,0.28952252864837646
sg,0.2824283838272095
pl,0.2789068818092346
it,0.2700129747390747
do,0.2680792212486267
gl,0.26741671562194824
bi,0.26489830017089844
tw,0.2632710933685303
lu,0.26071780920028687
mc,0.2594059109687805
cl,0.25517910718917847
ro,0.2516886293888092
je,0.2511289119720459
al,0.25070735812187195
td,0.24155454337596893
lk,0.2413615882396698
ci,0.23962339758872986
in,0.23894186317920685
ki,0.2378997802734375
la,0.23490861058235168
as,0.2331080436706543
ws,0.2278871238231659
ne,0.22566165030002594
ie,0.22072860598564148
ad,0.21403047442436218
mx,0.21347731351852417
qa,0.21319542825222015
kp,0.2128978669643402
ml,0.21054472029209137
be,0.20950019359588623
gn,0.20425108075141907
nu,0.1999165564775467
sn,0.1961599588394165
bo,0.18885959684848785
ec,0.17804746329784393
af,0.17671597003936768
ae,0.17554926872253418
cg,0.1738577038049698
um,0.17350947856903076
us,0.17350947856903076
bn,0.17074620723724365
gi,0.16331593692302704
cz,0.16271549463272095
ps,0.1617940217256546
ng,0.15728655457496643
md,0.15524889528751373
hn,0.15340770781040192
rs,0.15287868678569794
cf,0.15125802159309387
ge,0.15043270587921143
co,0.14955320954322815
tt,0.14804741740226746
sc,0.14544972777366638
sx,0.14350590109825134
kh,0.14343386888504028
gh,0.1418905258178711
bz,0.13910719752311707
pa,0.1367998868227005
ht,0.13664735853672028
cm,0.13657280802726746
ag,0.1339985877275467
am,0.13190177083015442
pr,0.13181021809577942
vi,0.1259675920009613
gg,0.12175112217664719
ph,0.12171448767185211
eh,0.11887991428375244
uy,0.1176927238702774
ug,0.11718256026506424
gb-wls,0.11362563818693161
gt,0.11229562014341354
bj,0.1120821163058281
kr,0.1104046106338501
ar,0.10889288783073425
bv,0.10596751421689987
no,0.10596751421689987
sj,0.10596751421689987
il,0.10561776906251907
km,0.10140533745288849
gd,0.101061150431633
si,0.0966527983546257
by,0.09357612580060959
gb-nir,0.09121403843164444
gb,0.09121403843164444
sh,0.09121403843164444
vc,0.0875571221113205
va,0.08726353943347931
ve,0.08649058640003204
sk,0.08490114659070969
uz,0.08446502685546875
de,0.08271089196205139
jo,0.08060391247272491
np,0.07764413207769394
cy,0.07615464925765991
ls,0.07013244181871414
sl,0.06968788057565689
ao,0.06433932483196259
gb-eng,0.06235721334815025
sv,0.06026659533381462
aq,0.05046042054891586
io,0.05024731904268265
nf,0.044217586517333984
bb,0.042949095368385315
ca,0.042750485241413116
my,0.042271826416254044
ni,0.04058045521378517
li,0.03964141756296158
jp,0.031467970460653305
bf,0.026956431567668915
tk,0.025752216577529907
sz,0.024890854954719543
mu,0.021642327308654785
er,0.01683967560529709
cv,0.015033621340990067
et,0.009919092059135437
mw,0.009891372174024582
pg,0.006916895508766174
lt,-0.0005611348897218704
zw,-0.004045203328132629
gw,-0.010373145341873169
mv,-0.01039675809442997
ru,-0.010746873915195465
ba,-0.01089202519506216
mg,-0.011839417740702629
sm,-0.013614507392048836
bg,-0.013877708464860916
cr,-0.01754390075802803
sr,-0.019238993525505066
bd,-0.019874751567840576
gb-sct,-0.02398081123828888
ua,-0.028247326612472534
na,-0.030517902225255966
gm,-0.03167691454291344
fm,-0.03322315961122513
is,-0.043942891061306
tg,-0.05057995393872261
dj,-0.053316690027713776
om,-0.05845757946372032
mp,-0.05884299427270889
fj,-0.06260023266077042
mr,-0.07488860189914703
ke,-0.07992096990346909
se,-0.08040082454681396
ga,-0.08234453201293945
th,-0.08509291708469391
ss,-0.09131032228469849
gr,-0.0924254059791565
mh,-0.09577023983001709
ai,-0.09652405977249146
st,-0.09755769371986389
kn,-0.09807689487934113
so,-0.09928887337446213
lc,-0.10180611908435822
tc,-0.10416212677955627
gy,-0.10615608841180801
fk,-0.10942210257053375
az,-0.11013054847717285
za,-0.11088207364082336
pn,-0.11205434054136276
gs,-0.11617092043161392
au,-0.11821921169757843
hm,-0.11821921169757843
ms,-0.12117376923561096
vu,-0.12280692160129547
ky,-0.12471213936805725
ly,-0.12732721865177155
cd,-0.1286398023366928
aw,-0.13006344437599182
nz,-0.13344350457191467
ck,-0.13527187705039978
vg,-0.1353808045387268
jm,-0.1473545879125595
rw,-0.14915569126605988
xk,-0.15447892248630524
cu,-0.1565314382314682
pw,-0.1590302735567093
mn,-0.16341495513916016
tf,-0.16533438861370087
dm,-0.1718975305557251
br,-0.17604587972164154
nr,-0.18868882954120636
mz,-0.19797685742378235
bs,-0.20303331315517426
gu,-0.20656907558441162
dz,-0.213044673204422
mo,-0.21345162391662598
ax,-0.22910287976264954
sb,-0.24192552268505096
tv,-0.24400454759597778
cx,-0.246369406580925
zm,-0.264077752828598
cw,-0.2693297863006592
fo,-0.2776162624359131
tz,-0.2934403121471405
eu,-0.2961236536502838
pk,-0.2968846261501312
sa,-0.3366225063800812
kz,-0.33946314454078674
cc,-0.3396797478199005
ee,-0.34173107147216797
fi,-0.3920883238315582
tm,-0.3967433571815491
bw,-0.4931761920452118
