Image,Similarity
co,0.857819139957428
mm,0.5321184992790222
lt,0.5277647376060486
ve,0.4835568070411682
gw,0.47290006279945374
bt,0.4399568736553192
bn,0.4039594531059265
bj,0.3807161748409271
gd,0.37984535098075867
es,0.34701910614967346
mk,0.33072248101234436
kg,0.3272141218185425
tl,0.3255000114440918
vc,0.32470035552978516
vn,0.32207581400871277
cn,0.31947997212409973
ml,0.3043171763420105
sk,0.30396875739097595
md,0.3020987808704376
me,0.29698634147644043
ug,0.2912513315677643
wf,0.28830018639564514
pl,0.28371691703796387
lk,0.28196024894714355
hk,0.27670037746429443
mv,0.27437400817871094
gn,0.2736266851425171
lb,0.2720629572868347
cz,0.27164265513420105
ma,0.2711832821369171
bg,0.27108636498451233
tr,0.26334699988365173
to,0.2625844478607178
at,0.26029887795448303
td,0.25975996255874634
sn,0.2594287693500519
tn,0.25915440917015076
gi,0.2556914985179901
ch,0.24853284657001495
ba,0.24633680284023285
va,0.241008922457695
al,0.24050216376781464
ro,0.2398556023836136
im,0.23968935012817383
in,0.2387034296989441
pf,0.236165851354599
gq,0.23494701087474823
si,0.22061800956726074
cm,0.21346555650234222
la,0.21000589430332184
bi,0.2096252292394638
pt,0.2068633884191513
nu,0.20452314615249634
ru,0.20339031517505646
cg,0.20240294933319092
km,0.20203755795955658
gl,0.20148517191410065
bh,0.19875451922416687
ad,0.1986279934644699
be,0.19081908464431763
ao,0.19044530391693115
mg,0.18614043295383453
bm,0.18587759137153625
pr,0.18352152407169342
bf,0.18173155188560486
bo,0.1793505847454071
dk,0.17804746329784393
ir,0.1744551956653595
pg,0.1709313690662384
zw,0.16850721836090088
mr,0.1611853986978531
sx,0.15988047420978546
iq,0.1562582552433014
sy,0.15618082880973816
lv,0.15339770913124084
eg,0.14864759147167206
ye,0.14722703397274017
sc,0.14258112013339996
cl,0.13946518301963806
sd,0.13889414072036743
ge,0.1361391842365265
ne,0.13530270755290985
sm,0.1285826563835144
gh,0.12639784812927246
gg,0.12556323409080505
cf,0.12267348915338516
vi,0.11705802381038666
mt,0.11497476696968079
pe,0.1109388917684555
ki,0.10858246684074402
lr,0.10563764721155167
py,0.10259518772363663
om,0.10107338428497314
tt,0.10049024224281311
hu,0.09863844513893127
bb,0.09057841449975967
gb-eng,0.08651237189769745
am,0.0859399139881134
af,0.08397039771080017
cy,0.07980179786682129
qa,0.07906705141067505
bv,0.07739036530256271
no,0.07739036530256271
sj,0.07739036530256271
tw,0.07688526809215546
ci,0.07621113955974579
ie,0.07386399805545807
tj,0.07055369764566422
kw,0.06870412826538086
