Image,Similarity
mz,0.5534809827804565
th,0.4576086401939392
fi,0.42105531692504883
bw,0.39922064542770386
rs,0.34555038809776306
ua,0.30260127782821655
cr,0.30064865946769714
de,0.2708917260169983
fo,0.26641443371772766
cw,0.260152667760849
aw,0.24813640117645264
ca,0.23525303602218628
eu,0.220866397023201
jp,0.21798653900623322
cv,0.21716226637363434
lc,0.2085086852312088
li,0.20807617902755737
kz,0.20571334660053253
gb-eng,0.20441901683807373
tz,0.17896278202533722
mn,0.17334027588367462
cd,0.17308485507965088
vi,0.16786301136016846
np,0.16484907269477844
sr,0.16086700558662415
gg,0.15985609591007233
tk,0.15858574211597443
uy,0.15736238658428192
cu,0.1533263474702835
fm,0.14833757281303406
ht,0.1456749588251114
mc,0.1441078782081604
xk,0.14142242074012756
tv,0.14027830958366394
so,0.13211190700531006
kn,0.12902918457984924
gt,0.12584462761878967
my,0.12576918303966522
fj,0.11720824241638184
az,0.11168761551380157
kr,0.10981428623199463
cy,0.10896527022123337
mx,0.10823750495910645
nr,0.10813465714454651
ge,0.10641104727983475
pw,0.10401204973459244
ph,0.09831402450799942
tm,0.0952594131231308
er,0.09138426929712296
ag,0.08909746259450912
sg,0.08875169605016708
sb,0.08649814873933792
je,0.0856703668832779
ru,0.08205145597457886
um,0.07799297571182251
us,0.07799297571182251
tf,0.07595260441303253
mh,0.07022574543952942
am,0.06929853558540344
gu,0.0674733817577362
pk,0.06388604640960693
id,0.06338782608509064
mp,0.06259603053331375
pe,0.053467877209186554
nf,0.05315975844860077
io,0.051813267171382904
bb,0.049263276159763336
zw,0.04137830063700676
rw,0.039020612835884094
ly,0.03850652277469635
dz,0.03363410383462906
ng,0.02396220713853836
gr,0.0201055109500885
sm,0.012439928948879242
ws,0.011887732893228531
ug,0.00625215470790863
lr,0.0014946646988391876
ky,-0.0013506142422556877
vg,-0.0040115248411893845
bg,-0.005565568804740906
sa,-0.007772721350193024
ax,-0.009539365768432617
zm,-0.00973435863852501
it,-0.010110368952155113
na,-0.010137557983398438
ck,-0.010845213197171688
ie,-0.015474401414394379
se,-0.016590744256973267
sz,-0.017759382724761963
bs,-0.018975242972373962
bl,-0.01914261095225811
fr,-0.01914261095225811
gf,-0.01914261095225811
gp,-0.01914261095225811
mf,-0.01914261095225811
mq,-0.01914261095225811
nc,-0.01914261095225811
pm,-0.01914261095225811
re,-0.01914261095225811
yt,-0.01914261095225811
nz,-0.020355504006147385
au,-0.021192517131567
hm,-0.021192517131567
ga,-0.02178509533405304
ci,-0.022108381614089012
ss,-0.022593200206756592
ki,-0.023809894919395447
et,-0.026386812329292297
gs,-0.03056102618575096
cc,-0.03144168481230736
mw,-0.03204497694969177
gb-nir,-0.03260916471481323
gb,-0.03260916471481323
sh,-0.03260916471481323
sk,-0.03521853685379028
cx,-0.035410426557064056
sc,-0.038366273045539856
mo,-0.04056870937347412
pn,-0.04383721202611923
ke,-0.0448380708694458
ms,-0.047087762504816055
mv,-0.05354929342865944
gy,-0.054178740829229355
pr,-0.05532997101545334
va,-0.05707584321498871
tw,-0.05948907881975174
dm,-0.06437604874372482
is,-0.0643821731209755
fk,-0.06492283940315247
br,-0.06596017628908157
mt,-0.06754912436008453
gd,-0.06945210695266724
lt,-0.0715574324131012
si,-0.07311797142028809
gb-sct,-0.07498215138912201
tc,-0.07766880095005035
kp,-0.07843305915594101
cf,-0.07998277246952057
tg,-0.0804760530591011
kh,-0.08067582547664642
cg,-0.08117091655731201
bd,-0.08128915727138519
al,-0.08459590375423431
vu,-0.0914272591471672
bz,-0.09265641123056412
sn,-0.09647589921951294
mr,-0.09689652919769287
mu,-0.0989241674542427
md,-0.09956687688827515
pa,-0.09960407763719559
il,-0.10080741345882416
ai,-0.10542529076337814
qa,-0.10782074183225632
tt,-0.10821645706892014
ad,-0.11643590778112411
bh,-0.11712635308504105
ar,-0.12246474623680115
vc,-0.12999117374420166
be,-0.13252851366996765
nu,-0.13682065904140472
ro,-0.153066486120224
jm,-0.1535564810037613
ve,-0.16034388542175293
gl,-0.16211684048175812
gn,-0.1633814126253128
cm,-0.16653749346733093
bn,-0.16729792952537537
bv,-0.16787773370742798
no,-0.16787773370742798
sj,-0.16787773370742798
td,-0.16794328391551971
om,-0.17432820796966553
cz,-0.17766445875167847
gb-wls,-0.17888960242271423
ml,-0.1802779734134674
ma,-0.18314146995544434
af,-0.18404772877693176
dj,-0.1922840178012848
za,-0.19396603107452393
cl,-0.19542276859283447
st,-0.21274346113204956
bm,-0.22624939680099487
aq,-0.22632050514221191
bj,-0.22751295566558838
mg,-0.23785309493541718
cn,-0.23852898180484772
to,-0.24421894550323486
gi,-0.2453739196062088
bi,-0.25223425030708313
ls,-0.25969627499580383
tr,-0.2605242431163788
do,-0.26405197381973267
km,-0.2647184729576111
la,-0.2656077742576599
pl,-0.2699354887008667
lk,-0.2714669406414032
ni,-0.27283087372779846
im,-0.27403202652931213
ba,-0.2782980501651764
pt,-0.27860164642333984
kg,-0.28486353158950806
mk,-0.29546672105789185
tl,-0.3025743365287781
me,-0.3046669363975525
bf,-0.3129253685474396
wf,-0.3135678768157959
vn,-0.31457075476646423
pg,-0.32139870524406433
lb,-0.32171979546546936
ao,-0.3259546756744385
bt,-0.32794538140296936
by,-0.332510381937027
sv,-0.33426761627197266
tn,-0.33923810720443726
dk,-0.34173107147216797
ec,-0.3449910879135132
hk,-0.34881266951560974
mm,-0.3512553572654724
sx,-0.3623926341533661
pf,-0.3636443018913269
co,-0.37251463532447815
