Image,Similarity
ph,0.3600660562515259
li,0.3585440516471863
kw,0.351073294878006
ht,0.3231370151042938
mn,0.30315396189689636
ir,0.29880931973457336
gq,0.28553861379623413
ae,0.269051730632782
ag,0.25151553750038147
kn,0.24217429757118225
zm,0.22319035232067108
tm,0.2158423662185669
ws,0.19375453889369965
pk,0.1769714206457138
mv,0.17390871047973633
nr,0.16573111712932587
gu,0.16321448981761932
cx,0.16243337094783783
cc,0.1601916253566742
ua,0.15914230048656464
hn,0.15573225915431976
sb,0.15032660961151123
mz,0.14744722843170166
sa,0.14730527997016907
de,0.14577524363994598
al,0.14344348013401031
ps,0.14115862548351288
eh,0.14099633693695068
tc,0.14075134694576263
mr,0.13565680384635925
la,0.13432082533836365
jo,0.13228920102119446
mh,0.1261497288942337
tw,0.12349899113178253
ai,0.12267203629016876
eu,0.12126301229000092
ga,0.1212337464094162
cw,0.120765820145607
qa,0.1198519915342331
sv,0.11476977169513702
rw,0.11312548816204071
lv,0.11137695610523224
tt,0.10809653997421265
vg,0.10661070793867111
ky,0.10031390935182571
tk,0.0906132161617279
gs,0.08838436752557755
me,0.08829005062580109
ms,0.08692549914121628
bv,0.08650611340999603
no,0.08650611340999603
sj,0.08650611340999603
mo,0.0851227268576622
lk,0.08335422724485397
as,0.08293145895004272
cg,0.08254922926425934
fk,0.08126271516084671
cv,0.08117957413196564
cf,0.0782613605260849
ke,0.07652978599071503
az,0.06803616136312485
ni,0.06573030352592468
uz,0.062410108745098114
sl,0.05997220799326897
pn,0.05909857898950577
im,0.058915141969919205
sy,0.0584842711687088
tn,0.058209873735904694
br,0.053256869316101074
ec,0.05272926762700081
ug,0.05196688696742058
gi,0.05157925933599472
nz,0.04927049204707146
ch,0.04787060618400574
ls,0.04762474074959755
to,0.04664437100291252
jm,0.0463542602956295
dm,0.045623596757650375
si,0.044668540358543396
iq,0.043890368193387985
bs,0.04312360659241676
do,0.04238225519657135
vn,0.04198197275400162
co,0.04161587357521057
st,0.04160872474312782
bm,0.0395498126745224
is,0.03886555880308151
pt,0.03847804293036461
au,0.03741975501179695
hm,0.03741975501179695
es,0.03738214820623398
ss,0.031701065599918365
at,0.03156771510839462
lb,0.03050611913204193
my,0.02969762682914734
ye,0.029340673238039017
tr,0.02871529757976532
mm,0.02812330797314644
eg,0.027842454612255096
tz,0.02655036374926567
kh,0.026336193084716797
hk,0.023259948939085007
tf,0.021561698988080025
np,0.020059524103999138
tl,0.019675418734550476
ma,0.01820829138159752
pf,0.014202320948243141
ve,0.012961413711309433
pr,0.012721635401248932
sd,0.011331599205732346
dk,0.009919092059135437
bj,0.009162146598100662
ck,0.00857570581138134
mw,0.006226135417819023
pg,-9.92901623249054e-05
na,-0.0032817255705595016
cn,-0.0068213678896427155
cl,-0.011893033981323242
aq,-0.016407597810029984
cm,-0.01772930659353733
bg,-0.019795995205640793
se,-0.022038383409380913
bt,-0.024459701031446457
wf,-0.026061326265335083
ee,-0.026386812329292297
hr,-0.02922719344496727
bz,-0.029930509626865387
lt,-0.030037924647331238
ax,-0.03131340816617012
mk,-0.036993611603975296
af,-0.0374428816139698
so,-0.04083571210503578
bq,-0.04360150173306465
nl,-0.04360150173306465
sk,-0.04406542703509331
pl,-0.04488274082541466
er,-0.045401282608509064
gy,-0.04656147211790085
cz,-0.04736177623271942
ao,-0.04755420610308647
bi,-0.04811079427599907
ru,-0.05004558712244034
zw,-0.052538059651851654
aw,-0.05270231515169144
cd,-0.053240519016981125
be,-0.057196859270334244
bh,-0.058076366782188416
il,-0.058643776923418045
am,-0.05957016348838806
xk,-0.06157102435827255
gb-nir,-0.06164093315601349
gb,-0.06164093315601349
sh,-0.06164093315601349
sz,-0.0653141438961029
bd,-0.06585890054702759
gr,-0.06933222711086273
gl,-0.07009883970022202
za,-0.07094276696443558
kg,-0.07829995453357697
tv,-0.0803782194852829
tj,-0.08433397114276886
gb-sct,-0.09025686979293823
kz,-0.09125321358442307
ly,-0.09142405539751053
hu,-0.09165593981742859
io,-0.09329693019390106
dj,-0.09719932079315186
nu,-0.09813608229160309
cu,-0.09932688623666763
pe,-0.0997096598148346
sr,-0.10246030986309052
mp,-0.10280388593673706
py,-0.1054493635892868
ba,-0.11123275011777878
dz,-0.11137935519218445
bl,-0.11730922758579254
fr,-0.11730922758579254
gf,-0.11730922758579254
gp,-0.11730922758579254
mf,-0.11730922758579254
mq,-0.11730922758579254
nc,-0.11730922758579254
pm,-0.11730922758579254
re,-0.11730922758579254
yt,-0.11730922758579254
ar,-0.11852677166461945
bn,-0.11926369369029999
pa,-0.12066690623760223
gh,-0.12093950808048248
gm,-0.12217666953802109
ci,-0.12715573608875275
um,-0.12743836641311646
us,-0.12743836641311646
sx,-0.1308557391166687
th,-0.13099883496761322
mt,-0.13108673691749573
bo,-0.13327525556087494
it,-0.1353602409362793
tg,-0.13787153363227844
kp,-0.1381782740354538
bw,-0.14208482205867767
kr,-0.14484867453575134
in,-0.1465134471654892
fj,-0.1530572772026062
sn,-0.1588296890258789
lc,-0.15983325242996216
uy,-0.16060349345207214
lr,-0.161065936088562
fi,-0.1721755862236023
ml,-0.17571887373924255
ne,-0.17895285785198212
fm,-0.18156273663043976
ki,-0.18228226900100708
ie,-0.18331557512283325
cr,-0.18544606864452362
td,-0.18552559614181519
gd,-0.1864800900220871
va,-0.18946945667266846
vc,-0.1910209357738495
gw,-0.19235606491565704
mx,-0.19367669522762299
gn,-0.1941058337688446
vu,-0.195262610912323
gb-wls,-0.20048271119594574
ro,-0.20244088768959045
nf,-0.21245162189006805
je,-0.21362192928791046
mu,-0.217547208070755
ge,-0.21890375018119812
ad,-0.22101527452468872
mc,-0.22137419879436493
km,-0.22613708674907684
mg,-0.23556067049503326
bb,-0.2358044981956482
md,-0.23783038556575775
pw,-0.24170613288879395
fo,-0.24439653754234314
id,-0.24583230912685394
sc,-0.24803532660007477
om,-0.2519395053386688
ng,-0.2539992332458496
lu,-0.2541583180427551
rs,-0.2589998245239258
sg,-0.26109713315963745
cy,-0.2682115435600281
gb-eng,-0.26892489194869995
jp,-0.2718823552131653
by,-0.28201353549957275
gg,-0.28781741857528687
gt,-0.2944053113460541
ca,-0.30579352378845215
bf,-0.30637452006340027
vi,-0.31069836020469666
sm,-0.3192752003669739
