Image,Similarity
gu,0.701145589351654
nr,0.6817689538002014
nz,0.5608781576156616
cw,0.5463669896125793
tf,0.5352734327316284
au,0.5302507877349854
hm,0.5302507877349854
ms,0.5294340252876282
mn,0.5217177867889404
gs,0.5090562105178833
ky,0.5034118890762329
vg,0.50262051820755
pn,0.4984269440174103
fk,0.4862042963504791
tc,0.48573625087738037
cx,0.4796910583972931
ck,0.4748815894126892
ai,0.4741124212741852
sb,0.4727761745452881
xk,0.44943732023239136
sa,0.43215087056159973
mh,0.4279214143753052
tv,0.4027343690395355
tm,0.38751429319381714
mo,0.3784107267856598
mp,0.3624418079853058
cv,0.35202720761299133
so,0.35185015201568604
kz,0.35102444887161255
tz,0.296384334564209
ly,0.2894524335861206
pk,0.28483515977859497
aw,0.2838425040245056
ht,0.2560153901576996
li,0.2547304630279541
sv,0.23702111840248108
is,0.2357461303472519
bz,0.2325402796268463
ph,0.23207643628120422
cd,0.2308787852525711
cc,0.22915339469909668
ee,0.220866397023201
hn,0.20337817072868347
ni,0.18536031246185303
np,0.18434889614582062
kh,0.1752883493900299
ss,0.1667536199092865
bw,0.15415969491004944
zm,0.15371784567832947
mv,0.15231959521770477
bs,0.14953383803367615
za,0.1472739279270172
ke,0.14417773485183716
sx,0.14025399088859558
br,0.13639959692955017
vu,0.13089916110038757
aq,0.12665881216526031
et,0.12126301229000092
kn,0.12119293212890625
gm,0.1207137331366539
ls,0.12025849521160126
bd,0.1197429969906807
na,0.11952262371778488
jo,0.11628325283527374
rw,0.11078117787837982
pg,0.10256072878837585
ao,0.09765665978193283
eh,0.09199871122837067
cu,0.0887572169303894
qa,0.08247748762369156
ps,0.07732057571411133
dm,0.07561516761779785
ag,0.07233688235282898
la,0.06962993741035461
fi,0.06909609586000443
fm,0.06718091666698456
ae,0.06677306443452835
mw,0.06368382275104523
io,0.05833382532000542
fj,0.057080432772636414
az,0.0466916449368
gb-sct,0.04435008019208908
gr,0.03812352940440178
mr,0.0378432422876358
pw,0.03279788792133331
as,0.02600698173046112
se,0.02573429048061371
sl,0.02059328556060791
dj,0.002771493047475815
ws,0.0013591796159744263
ru,-0.0018828622996807098
tt,-0.0038217157125473022
mz,-0.01327359676361084
sz,-0.015408952720463276
si,-0.015648631379008293
uy,-0.017076753079891205
il,-0.020404309034347534
