Image,Similarity
fo,0.6883031725883484
dz,0.4709211587905884
fm,0.4529270827770233
bw,0.4242701530456543
ee,0.42105531692504883
th,0.4059300124645233
ru,0.390816330909729
sm,0.38782933354377747
gt,0.3872635066509247
aw,0.3616979718208313
cy,0.3469798266887665
lc,0.3448253870010376
ca,0.33106932044029236
fj,0.32913637161254883
bg,0.32242560386657715
so,0.3161837160587311
cu,0.3160819113254547
jp,0.31519147753715515
si,0.3016364276409149
gr,0.28942543268203735
sk,0.28826475143432617
vi,0.2851598262786865
rs,0.2605893611907959
uy,0.2603324353694916
gb-eng,0.25179988145828247
tv,0.24544081091880798
gg,0.2402486801147461
mx,0.2368069291114807
ie,0.23258352279663086
cr,0.232234388589859
kz,0.23151949048042297
ng,0.22906596958637238
kr,0.2277921736240387
va,0.2262105941772461
je,0.22618570923805237
nf,0.22161397337913513
lr,0.21730947494506836
it,0.21135926246643066
pr,0.21115031838417053
bl,0.2059934139251709
fr,0.2059934139251709
gf,0.2059934139251709
gp,0.2059934139251709
mf,0.2059934139251709
mq,0.2059934139251709
nc,0.2059934139251709
pm,0.2059934139251709
re,0.2059934139251709
yt,0.2059934139251709
ar,0.20460060238838196
um,0.18815359473228455
us,0.18815359473228455
cz,0.18294958770275116
my,0.18074879050254822
pe,0.1637580543756485
gb-sct,0.16083256900310516
il,0.15475669503211975
cd,0.1492404043674469
io,0.1478206366300583
ci,0.14717288315296173
cl,0.1445106565952301
sg,0.1405675858259201
pa,0.136878103017807
mn,0.13245487213134766
pl,0.12939614057540894
gl,0.11686771363019943
mz,0.11307664215564728
mp,0.11132310330867767
xk,0.11079058796167374
ge,0.10535430908203125
mc,0.10392780601978302
km,0.09825024008750916
lt,0.09156773239374161
tf,0.07613310217857361
aq,0.07571256160736084
ve,0.07260838150978088
eu,0.06909609586000443
ba,0.06891903281211853
bi,0.0680462047457695
om,0.06542842090129852
cw,0.060516417026519775
pw,0.05971871316432953
dj,0.058797791600227356
id,0.04792460799217224
am,0.03881307691335678
pk,0.03194970637559891
gd,0.026522129774093628
be,0.02397819608449936
sr,0.009831424802541733
sn,0.008340179920196533
rw,0.0047158896923065186
bj,0.0045712292194366455
ua,0.003910467028617859
za,-0.0031356588006019592
bn,-0.003877602517604828
lb,-0.004825916141271591
ag,-0.005112282931804657
do,-0.010186243802309036
gm,-0.011219598352909088
cv,-0.014540962874889374
tz,-0.018904339522123337
sz,-0.018912093713879585
gb-nir,-0.018960868939757347
gb,-0.018960868939757347
sh,-0.018960868939757347
bb,-0.025825921446084976
mm,-0.027433915063738823
sc,-0.02846653386950493
gi,-0.029788333922624588
ad,-0.040675289928913116
ni,-0.048372313380241394
gu,-0.049357928335666656
gb-wls,-0.04987172782421112
az,-0.050172775983810425
lu,-0.05030056834220886
bz,-0.054253119975328445
bt,-0.055330246686935425
sb,-0.05839744210243225
ck,-0.05924684554338455
tg,-0.06357015669345856
nu,-0.06360679119825363
co,-0.06866990029811859
pf,-0.07142037153244019
ki,-0.071451835334301
ec,-0.08236847817897797
mo,-0.08489758521318436
cg,-0.08494935184717178
cx,-0.0858018547296524
cf,-0.09346948564052582
fk,-0.09518053382635117
as,-0.09574252367019653
na,-0.09918096661567688
ro,-0.10172106325626373
tm,-0.10345876216888428
zw,-0.10430142283439636
gw,-0.11121737211942673
mv,-0.1112213060259819
ky,-0.11295665055513382
kn,-0.11329387873411179
cm,-0.11955641955137253
sl,-0.12164908647537231
nr,-0.12337971478700638
vg,-0.12391521781682968
vu,-0.12566159665584564
sv,-0.12608319520950317
mg,-0.1267402023077011
ls,-0.1286310851573944
ug,-0.12993189692497253
mr,-0.1322057843208313
vc,-0.1325993537902832
ms,-0.13281013071537018
tk,-0.13416749238967896
md,-0.1356762945652008
sa,-0.1367197483778
mt,-0.13813501596450806
gs,-0.1383190155029297
td,-0.1398698091506958
ph,-0.14218351244926453
er,-0.14264851808547974
la,-0.14292828738689423
kp,-0.1435803920030594
ml,-0.1437460035085678
au,-0.14544859528541565
hm,-0.14544859528541565
uz,-0.14551664888858795
pn,-0.1472020000219345
bv,-0.15018020570278168
no,-0.15018020570278168
sj,-0.15018020570278168
ai,-0.15066486597061157
mh,-0.15256662666797638
mu,-0.15263502299785614
ht,-0.15552203357219696
nz,-0.15734298527240753
wf,-0.16163872182369232
ch,-0.16358964145183563
li,-0.16385987401008606
gn,-0.1671932190656662
tt,-0.16784697771072388
et,-0.1721755862236023
hn,-0.1726239025592804
ly,-0.17303073406219482
tc,-0.17421738803386688
ws,-0.17652460932731628
in,-0.1773674190044403
bm,-0.17766503989696503
tw,-0.17805683612823486
br,-0.17879149317741394
kh,-0.1812877058982849
sx,-0.1853230893611908
bs,-0.1897132247686386
