Image,Similarity
tv,0.7483280897140503
fm,0.6655719876289368
so,0.5916484594345093
ar,0.5685226917266846
gt,0.536558985710144
io,0.5312168598175049
sm,0.4902341961860657
gb-sct,0.4732881188392639
ng,0.4708252549171448
ie,0.46275657415390015
gr,0.462730348110199
lu,0.4582367539405823
cy,0.4461939036846161
il,0.443970650434494
aw,0.42672109603881836
ni,0.425140380859375
uy,0.4195753335952759
nf,0.3924591541290283
sl,0.38436776399612427
bw,0.3808744549751282
vi,0.3752572536468506
fo,0.37230008840560913
sg,0.371915727853775
kz,0.35144364833831787
ci,0.35051995515823364
je,0.34873804450035095
kr,0.3459107577800751
mx,0.3427514135837555
lc,0.34140267968177795
fi,0.32913637161254883
it,0.32852745056152344
mc,0.32519394159317017
sv,0.3228279948234558
hn,0.3166065216064453
ca,0.3139473795890808
dj,0.2887269854545593
bl,0.2834544777870178
fr,0.2834544777870178
gf,0.2834544777870178
gp,0.2834544777870178
mf,0.2834544777870178
mq,0.2834544777870178
nc,0.2834544777870178
pm,0.2834544777870178
re,0.2834544777870178
yt,0.2834544777870178
uz,0.28297799825668335
jp,0.2800828814506531
gb-eng,0.27821382880210876
cu,0.2757466435432434
py,0.2729414999485016
pw,0.2715499997138977
fk,0.26888906955718994
ai,0.26709187030792236
bq,0.2669040858745575
nl,0.2669040858745575
ck,0.26527470350265503
ls,0.26125890016555786
id,0.25551649928092957
tc,0.25296396017074585
aq,0.2526364326477051
dz,0.2507127821445465
ky,0.24431832134723663
va,0.24348141252994537
hu,0.24179303646087646
lr,0.2391902506351471
gl,0.2377527356147766
mp,0.2369254231452942
au,0.23054340481758118
hm,0.23054340481758118
ms,0.22344708442687988
gg,0.22179271280765533
vg,0.22174419462680817
pn,0.22022560238838196
nz,0.209328293800354
gs,0.20870041847229004
cd,0.20787842571735382
rs,0.2072562575340271
tf,0.20652946829795837
um,0.20571200549602509
us,0.20571200549602509
cr,0.1942576915025711
pe,0.19064673781394958
mn,0.18967294692993164
hr,0.1600053906440735
xk,0.15992434322834015
