Image,Similarity
ms,0.9172638654708862
ky,0.9038729667663574
ai,0.9017667770385742
gs,0.8886122107505798
tc,0.8876246213912964
vg,0.8782740831375122
nz,0.8710945844650269
pn,0.8655204772949219
au,0.8466796875
hm,0.8466796875
ck,0.7758795619010925
tv,0.5713971257209778
tf,0.5433182716369629
eu,0.4862042963504791
gu,0.42506739497184753
nr,0.41067802906036377
bm,0.35248950123786926
mn,0.34541088342666626
cx,0.31311675906181335
cw,0.30997660756111145
sa,0.30180853605270386
fj,0.26888906955718994
sx,0.26424601674079895
tm,0.2560093402862549
ao,0.2478438764810562
sb,0.2458752691745758
io,0.23854666948318481
xk,0.22496463358402252
pg,0.22487202286720276
vu,0.22481131553649902
ly,0.21402405202388763
is,0.21128693222999573
np,0.20928022265434265
mh,0.20917291939258575
pk,0.20883864164352417
tz,0.18738698959350586
gm,0.17252959311008453
so,0.16205450892448425
qa,0.15027408301830292
iq,0.1501883566379547
cc,0.15015918016433716
ss,0.14952710270881653
sv,0.14800937473773956
sy,0.1467958390712738
ls,0.13696056604385376
ke,0.13376352190971375
hn,0.12417889386415482
kz,0.12375818192958832
mo,0.12127982079982758
li,0.1183805987238884
bf,0.11730746179819107
cd,0.11495319753885269
mv,0.11335588991641998
cv,0.10900572687387466
mp,0.1087886244058609
eg,0.10679394751787186
bd,0.10474644601345062
sd,0.10435696691274643
pa,0.10209737718105316
bz,0.10134149342775345
hr,0.10094115138053894
ae,0.10083367675542831
bs,0.09766128659248352
ru,0.09461544454097748
ye,0.09319771826267242
kh,0.09232043474912643
za,0.09013379365205765
ni,0.08813229203224182
et,0.08126271516084671
aw,0.0807199776172638
ht,0.07955782115459442
zm,0.0792301669716835
si,0.07563342154026031
gb-wls,0.07534400373697281
by,0.07148504257202148
py,0.06721707433462143
uy,0.06649060547351837
se,0.06117590144276619
dj,0.05968014895915985
dm,0.05405031517148018
gb-sct,0.05276301130652428
eh,0.052734375
as,0.052324920892715454
jo,0.05092601850628853
kn,0.0509146973490715
to,0.046950824558734894
ve,0.04179241508245468
ph,0.03963155299425125
ps,0.03955339640378952
bw,0.03890123963356018
br,0.038583628833293915
cu,0.036315687000751495
om,0.0335768423974514
mw,0.029959851875901222
gi,0.029887957498431206
bg,0.02328546531498432
aq,0.021284012123942375
jm,0.018093114718794823
la,0.017836561426520348
mg,0.01706206053495407
ba,0.016828762367367744
kp,0.016707584261894226
sk,0.01642029546201229
gb-nir,0.01637214981019497
gb,0.01637214981019497
sh,0.01637214981019497
bq,0.011932887136936188
nl,0.011932887136936188
bv,0.006369436159729958
no,0.006369436159729958
sj,0.006369436159729958
ax,0.005017615854740143
na,0.00231024413369596
gh,0.0016224663704633713
il,0.0006343051791191101
bo,-0.00015805475413799286
co,-0.003372875042259693
rw,-0.0034301714040338993
sl,-0.008075524121522903
pw,-0.009380040690302849
tj,-0.010578010231256485
lt,-0.011458677239716053
er,-0.012509563006460667
am,-0.013261482119560242
gw,-0.016390148550271988
sm,-0.019904017448425293
th,-0.02259974367916584
al,-0.026943733915686607
in,-0.028414331376552582
az,-0.030459564179182053
cf,-0.036843441426754
tt,-0.03799653798341751
lu,-0.03885664790868759
sz,-0.04088737443089485
fm,-0.04574611783027649
mr,-0.052283480763435364
lv,-0.0564006008207798
uz,-0.057107433676719666
af,-0.057135213166475296
cr,-0.06075747311115265
ma,-0.06450095772743225
ee,-0.06492283940315247
ne,-0.07068908959627151
tg,-0.0736040249466896
km,-0.07606340199708939
cz,-0.0805845782160759
hu,-0.08455854654312134
gr,-0.0880858302116394
zw,-0.09138604253530502
pl,-0.09404944628477097
lc,-0.09502160549163818
fi,-0.09518053382635117
cm,-0.10611332952976227
dk,-0.10942210257053375
ag,-0.11043895781040192
ec,-0.11622980237007141
ws,-0.1169385015964508
mu,-0.11709912121295929
bb,-0.12093885242938995
im,-0.1253940761089325
gy,-0.12619392573833466
pf,-0.12667274475097656
lb,-0.1267681121826172
sr,-0.12751558423042297
me,-0.12783505022525787
mz,-0.1317509114742279
bh,-0.13530497252941132
ug,-0.13793277740478516
kw,-0.13988104462623596
tw,-0.14685319364070892
kr,-0.14799194037914276
ar,-0.1505197137594223
ga,-0.15077552199363708
tr,-0.1525338888168335
jp,-0.15563617646694183
ir,-0.15645593404769897
pt,-0.1572297215461731
cl,-0.1592452973127365
wf,-0.16010062396526337
sc,-0.16279302537441254
rs,-0.17275641858577728
bn,-0.1743835210800171
mt,-0.176650732755661
nf,-0.17672386765480042
pr,-0.1786200851202011
dz,-0.17875243723392487
cn,-0.1838161200284958
do,-0.18661850690841675
tl,-0.18807192146778107
lk,-0.1881019026041031
lr,-0.19059361517429352
bi,-0.19367863237857819
tn,-0.20179148018360138
st,-0.20311908423900604
gq,-0.20902952551841736
at,-0.21483214199543
bj,-0.22019445896148682
my,-0.22274565696716309
ki,-0.2244577705860138
fo,-0.2252696007490158
gb-eng,-0.23060287535190582
vn,-0.2407829463481903
gl,-0.2441038191318512
hk,-0.24738982319831848
ca,-0.24912218749523163
de,-0.25193557143211365
ge,-0.2539782226085663
gt,-0.25962162017822266
es,-0.2641286253929138
ua,-0.2743754982948303
tk,-0.27537965774536133
ch,-0.28211358189582825
be,-0.284001886844635
nu,-0.2925170958042145
mk,-0.29396483302116394
ad,-0.29464879631996155
vi,-0.2952868640422821
mm,-0.29655149579048157
gd,-0.29832831025123596
bl,-0.30045026540756226
fr,-0.30045026540756226
gf,-0.30045026540756226
gp,-0.30045026540756226
mf,-0.30045026540756226
mq,-0.30045026540756226
nc,-0.30045026540756226
pm,-0.30045026540756226
re,-0.30045026540756226
yt,-0.30045026540756226
gg,-0.3060891926288605
um,-0.3069928288459778
us,-0.3069928288459778
kg,-0.3081510066986084
je,-0.3082793951034546
mx,-0.30918148159980774
cy,-0.3112490177154541
ng,-0.32762160897254944
pe,-0.329228937625885
ci,-0.33243539929389954
it,-0.3344898223876953
md,-0.3378351330757141
td,-0.33901458978652954
gn,-0.347114235162735
ro,-0.35210955142974854
vc,-0.35735172033309937
ie,-0.367963969707489
id,-0.3785708546638489
mc,-0.3888857364654541
bt,-0.39715179800987244
