Image,Similarity
fi,0.6883031725883484
cy,0.5828145742416382
ca,0.5606560111045837
jp,0.5243635177612305
gb-eng,0.5064590573310852
gg,0.4926890730857849
sm,0.48225218057632446
fm,0.4818990230560303
gt,0.4814554452896118
va,0.4643365740776062
vi,0.43975532054901123
dz,0.4396260380744934
je,0.4250938892364502
ar,0.4044463038444519
ie,0.38713526725769043
ge,0.3762906789779663
nf,0.37450098991394043
fj,0.37230008840560913
bw,0.3720816671848297
sg,0.36835506558418274
ng,0.357869416475296
lc,0.3542923629283905
lr,0.3502079248428345
th,0.3451836407184601
cr,0.3422733545303345
sk,0.3362140655517578
pl,0.3338707685470581
uy,0.32814082503318787
cu,0.31648358702659607
gl,0.31024473905563354
kr,0.30827727913856506
um,0.29859843850135803
us,0.29859843850135803
mc,0.29549604654312134
ru,0.28866493701934814
gr,0.2841392457485199
mx,0.2825056314468384
rs,0.2784498333930969
it,0.2742904722690582
ee,0.26641443371772766
ci,0.26513969898223877
il,0.26324617862701416
cl,0.2578794062137604
id,0.2566037178039551
aw,0.2533954083919525
cz,0.2524140775203705
so,0.2506384551525116
pr,0.24924902617931366
bg,0.24453552067279816
gb-sct,0.24398009479045868
bl,0.23739252984523773
fr,0.23739252984523773
gf,0.23739252984523773
gp,0.23739252984523773
mf,0.23739252984523773
mq,0.23739252984523773
nc,0.23739252984523773
pm,0.23739252984523773
re,0.23739252984523773
yt,0.23739252984523773
pe,0.23054790496826172
si,0.22779113054275513
bi,0.21925538778305054
sc,0.2017306685447693
bt,0.19897499680519104
io,0.19314628839492798
km,0.19289018213748932
my,0.18057896196842194
om,0.1783064305782318
pa,0.16873449087142944
lb,0.15485449135303497
nu,0.15059641003608704
dj,0.1463107466697693
pw,0.1455988883972168
pf,0.1422301083803177
gi,0.14067068696022034
bn,0.13636897504329681
lu,0.12662003934383392
tv,0.12539872527122498
sr,0.11602956801652908
gb-nir,0.11190090328454971
gb,0.11190090328454971
sh,0.11190090328454971
kz,0.10543419420719147
cd,0.09638705849647522
wf,0.09617054462432861
sn,0.09100373089313507
mt,0.08527112007141113
mm,0.08474145829677582
gd,0.07072020322084427
ki,0.06838096678256989
aq,0.06548145413398743
ad,0.05734008550643921
mg,0.04905223473906517
