Image,Similarity
so,0.6400227546691895
ar,0.6386774778366089
ni,0.6296918988227844
fm,0.5789962410926819
il,0.5726964473724365
sl,0.5654048323631287
hn,0.5480319261550903
uz,0.5383550524711609
sv,0.5361067056655884
as,0.5039540529251099
dj,0.49603450298309326
cu,0.4922052025794983
lu,0.4747200906276703
fj,0.4732881188392639
gr,0.47269871830940247
ls,0.46436914801597595
aw,0.4510384798049927
kz,0.43009114265441895
aq,0.426553338766098
bi,0.419426292181015
gt,0.41380739212036133
bq,0.4114217460155487
nl,0.4114217460155487
ng,0.39551979303359985
sm,0.38647305965423584
tv,0.38368943333625793
hu,0.3785421848297119
pw,0.3704524636268616
ie,0.36904671788215637
py,0.35143133997917175
ps,0.3391580283641815
ae,0.33870476484298706
tj,0.3378836214542389
bw,0.33527299761772156
uy,0.33163681626319885
kw,0.3291887640953064
cy,0.3255560100078583
ir,0.3235757350921631
jm,0.3210662007331848
nf,0.3159012198448181
xk,0.3072754442691803
cd,0.3002782464027405
bs,0.2973370850086212
cr,0.2950761318206787
lc,0.2919234037399292
rw,0.2900342345237732
eh,0.2861865162849426
cv,0.2807803452014923
ga,0.27137330174446106
pf,0.26865601539611816
hr,0.26805171370506287
mp,0.267964243888855
mo,0.26687562465667725
gb-eng,0.26191291213035583
ci,0.2526133060455322
fo,0.24398009479045868
sd,0.24049481749534607
lb,0.23330366611480713
at,0.230013906955719
io,0.22612100839614868
it,0.22510552406311035
ye,0.22221708297729492
kh,0.21831035614013672
gq,0.21663597226142883
bz,0.21592888236045837
jo,0.21515439450740814
gb-nir,0.21500544250011444
gb,0.21500544250011444
sh,0.21500544250011444
in,0.21353867650032043
gg,0.2129269540309906
mh,0.2089156061410904
sg,0.2042386680841446
az,0.19656914472579956
dz,0.1956573873758316
ca,0.19405904412269592
tf,0.18008896708488464
pl,0.17965136468410492
vi,0.17575423419475555
eg,0.17557074129581451
um,0.1719948947429657
us,0.1719948947429657
sy,0.17120563983917236
bl,0.16606226563453674
fr,0.16606226563453674
gf,0.16606226563453674
gp,0.16606226563453674
mf,0.16606226563453674
mq,0.16606226563453674
nc,0.16606226563453674
pm,0.16606226563453674
re,0.16606226563453674
yt,0.16606226563453674
ne,0.16431964933872223
mx,0.1622956395149231
gl,0.16195353865623474
fi,0.16083256900310516
mt,0.15668033063411713
sb,0.15008951723575592
mn,0.14749769866466522
mc,0.14538541436195374
iq,0.14418189227581024
lr,0.14408141374588013
va,0.13668975234031677
is,0.13292941451072693
jp,0.12848567962646484
sr,0.12125896662473679
pa,0.1207602247595787
km,0.11945310235023499
cx,0.10867968201637268
je,0.10735255479812622
kp,0.10483989119529724
ge,0.1020958349108696
pr,0.09638753533363342
ck,0.09508175402879715
se,0.0911945179104805
gu,0.08951354026794434
cl,0.08937098830938339
cw,0.08361461758613586
bt,0.07208108901977539
id,0.06786340475082397
gy,0.06397121399641037
cf,0.055697232484817505
kr,0.05348975956439972
fk,0.05276301130652428
th,0.046882953494787216
eu,0.04435008019208908
cz,0.04339298605918884
np,0.040984466671943665
cg,0.02973531186580658
my,0.02461399883031845
ss,0.022458702325820923
mg,0.021281452849507332
ua,0.01543225347995758
do,0.014498502016067505
st,0.012627139687538147
lv,0.01199093833565712
ky,0.009818624705076218
sa,0.009431309998035431
ms,0.008447154425084591
si,0.0053359270095825195
pe,0.005003992468118668
rs,0.00434604287147522
na,0.0010372437536716461
vg,-0.0018970782402902842
nr,-0.005480378866195679
ai,-0.005897954106330872
au,-0.00716044008731842
hm,-0.00716044008731842
mm,-0.008129596710205078
ki,-0.011601485311985016
ba,-0.013628682121634483
tk,-0.01576852798461914
pn,-0.018040381371974945
gs,-0.02051783911883831
ht,-0.02136921137571335
sc,-0.023901352658867836
dk,-0.02398081123828888
gm,-0.024996895343065262
nz,-0.02872559055685997
bv,-0.0348283052444458
no,-0.0348283052444458
sj,-0.0348283052444458
ch,-0.037167683243751526
tg,-0.03873608261346817
bg,-0.040674760937690735
ax,-0.042979322373867035
tc,-0.04695267975330353
er,-0.04928427189588547
sk,-0.05123453959822655
pk,-0.05891403555870056
la,-0.059085115790367126
ru,-0.06237773597240448
om,-0.062407977879047394
sz,-0.07054522633552551
sx,-0.0730932429432869
ee,-0.07498215138912201
nu,-0.07986018061637878
et,-0.09025686979293823
bd,-0.09804970026016235
za,-0.09989533573389053
gi,-0.10383232682943344
bo,-0.10476244240999222
ph,-0.10768328607082367
hk,-0.11500705778598785
bn,-0.13148066401481628
gw,-0.13262534141540527
mu,-0.13439877331256866
bm,-0.13493865728378296
br,-0.13788063824176788
wf,-0.14061535894870758
tm,-0.14776501059532166
ag,-0.14823681116104126
tn,-0.15370047092437744
gh,-0.15933339297771454
ke,-0.16516950726509094
ug,-0.16525116562843323
gb-wls,-0.17672103643417358
bf,-0.17726509273052216
dm,-0.17824701964855194
sn,-0.18120399117469788
gd,-0.1821635216474533
es,-0.1832677721977234
mr,-0.19406366348266602
bh,-0.2004586011171341
ec,-0.2067161202430725
gn,-0.20740635693073273
vc,-0.2120886892080307
mk,-0.21662719547748566
ad,-0.2178482711315155
af,-0.21909888088703156
co,-0.22022533416748047
ml,-0.2232360690832138
ro,-0.2261408567428589
li,-0.22851309180259705
bj,-0.23248566687107086
im,-0.25470709800720215
bb,-0.25863996148109436
cm,-0.2626112103462219
by,-0.268279492855072
kg,-0.2687334716320038
tr,-0.2771291732788086
be,-0.2827085852622986
tw,-0.28366777300834656
lk,-0.28538674116134644
cc,-0.286923885345459
td,-0.28933578729629517
mz,-0.3005109429359436
tz,-0.31000396609306335
vu,-0.31138867139816284
vn,-0.3204326927661896
to,-0.3245266079902649
md,-0.3249374032020569
pt,-0.33696383237838745
mw,-0.34360307455062866
ws,-0.3456929922103882
kn,-0.3457290530204773
pg,-0.35511788725852966
ve,-0.3621880114078522
tl,-0.3695217967033386
am,-0.3712310791015625
zw,-0.3717271089553833
mv,-0.37790602445602417
de,-0.38103264570236206
zm,-0.3822104334831238
ao,-0.39955055713653564
cn,-0.400847464799881
tt,-0.4083174467086792
me,-0.41859713196754456
qa,-0.44981783628463745
lt,-0.45801445841789246
ly,-0.495705783367157
ma,-0.5301204323768616
al,-0.5552493333816528
