Image,Similarity
om,0.5040822625160217
by,0.46938350796699524
ao,0.3384520411491394
cn,0.3177046775817871
pg,0.27053043246269226
wf,0.26702171564102173
bm,0.26601073145866394
sc,0.26250994205474854
bf,0.26101070642471313
gh,0.26092222332954407
qa,0.25223851203918457
tl,0.25208842754364014
ma,0.24570825695991516
pl,0.2442210614681244
mw,0.23374220728874207
vu,0.23345476388931274
cl,0.23302096128463745
bo,0.2310282588005066
to,0.23032207787036896
tr,0.2284187227487564
gi,0.22454124689102173
cz,0.22359752655029297
kg,0.21931162476539612
kp,0.21860544383525848
bh,0.2024221271276474
vn,0.20069673657417297
al,0.19957932829856873
gw,0.19677066802978516
mk,0.1955830454826355
zw,0.19368577003479004
bd,0.19312670826911926
me,0.18852564692497253
tw,0.1872188150882721
sx,0.18286296725273132
er,0.18163800239562988
km,0.18103228509426117
az,0.1799350082874298
lk,0.17919112741947174
mg,0.17834608256816864
pt,0.17730826139450073
bn,0.1763232946395874
im,0.1761711835861206
cm,0.1681409776210785
jp,0.16125723719596863
be,0.15651904046535492
in,0.15135173499584198
ne,0.14926369488239288
ke,0.14878162741661072
ws,0.1475573480129242
bj,0.14656934142112732
ly,0.14556193351745605
ge,0.14446942508220673
gb-nir,0.13617925345897675
gb,0.13617925345897675
sh,0.13617925345897675
na,0.13506585359573364
gl,0.1305007040500641
hk,0.13026735186576843
ca,0.12926487624645233
mu,0.12924538552761078
tt,0.12826216220855713
es,0.12458603829145432
tn,0.12235599011182785
ai,0.1192644014954567
td,0.1185522973537445
eg,0.11813753843307495
co,0.11735232174396515
gm,0.1155349388718605
dk,0.11362563818693161
sr,0.11293694376945496
sy,0.10815473645925522
tc,0.10468199849128723
gn,0.10455198585987091
ru,0.10382634401321411
iq,0.10228689014911652
sk,0.10039453208446503
mt,0.10036107897758484
ro,0.09803006052970886
sd,0.09738735854625702
ax,0.09433665126562119
md,0.09304752200841904
ye,0.09054815024137497
ss,0.08944648504257202
dm,0.0886370912194252
sm,0.08811850845813751
ad,0.08693459630012512
gb-eng,0.08646011352539062
st,0.08637851476669312
ba,0.08626524358987808
pa,0.08455739170312881
nu,0.08245871216058731
gs,0.0796920508146286
pe,0.07649700343608856
sz,0.07629614323377609
fk,0.07534400373697281
tg,0.07474680244922638
ml,0.07394189387559891
ms,0.0723583772778511
au,0.07139842212200165
hm,0.07139842212200165
nz,0.06924397498369217
pn,0.06549278646707535
ec,0.06544726341962814
de,0.06363728642463684
kh,0.0632852241396904
gy,0.06212994456291199
ky,0.060864076018333435
vg,0.06000126153230667
gg,0.05940418690443039
lr,0.05620552599430084
is,0.05465349555015564
bt,0.054605837911367416
bv,0.05384723097085953
no,0.05384723097085953
sj,0.05384723097085953
je,0.0519581064581871
tj,0.049196526408195496
hr,0.047889456152915955
af,0.047432009130716324
ve,0.04334687441587448
cr,0.04323304817080498
um,0.043176811188459396
us,0.043176811188459396
bb,0.04012370854616165
cf,0.03856513276696205
bg,0.038290638476610184
cy,0.03754614293575287
kr,0.037447310984134674
vc,0.037271156907081604
sn,0.036761119961738586
ch,0.035614680498838425
jm,0.034789830446243286
cd,0.03268727660179138
lt,0.03254038840532303
do,0.03201230242848396
ck,0.028741322457790375
si,0.02310927025973797
dj,0.022718610242009163
fo,0.022619016468524933
py,0.02051626145839691
vi,0.01653657853603363
hu,0.011712990701198578
va,0.010132206603884697
lv,0.009624311700463295
br,0.00954299047589302
bs,0.00585091020911932
lu,0.001127585768699646
tz,-0.0018108631484210491
bl,-0.01123383641242981
fr,-0.01123383641242981
gf,-0.01123383641242981
gp,-0.01123383641242981
mf,-0.01123383641242981
mq,-0.01123383641242981
nc,-0.01123383641242981
pm,-0.01123383641242981
re,-0.01123383641242981
yt,-0.01123383641242981
np,-0.011550698429346085
za,-0.01313517615199089
ug,-0.013325922191143036
ki,-0.014698207378387451
my,-0.019836757332086563
kn,-0.020805105566978455
se,-0.023336483165621758
gd,-0.025564901530742645
am,-0.02787945047020912
mx,-0.029776308685541153
li,-0.031623102724552155
dz,-0.034338776022195816
bq,-0.034681037068367004
nl,-0.034681037068367004
sb,-0.038056280463933945
at,-0.038515955209732056
pf,-0.039715200662612915
tf,-0.04042195528745651
ls,-0.04595518857240677
jo,-0.046755511313676834
ci,-0.04701891168951988
bw,-0.047045499086380005
fi,-0.04987172782421112
it,-0.05487118661403656
id,-0.056512825191020966
mz,-0.05842113494873047
zm,-0.06162095069885254
ph,-0.06260696053504944
cc,-0.06351196020841599
nf,-0.06556255370378494
lc,-0.07160839438438416
pk,-0.07405513525009155
pw,-0.07515983283519745
ae,-0.07829172909259796
pr,-0.07933472096920013
tk,-0.08150788396596909
cg,-0.08279899507761002
th,-0.08351500332355499
uz,-0.08403109014034271
rw,-0.08605483174324036
il,-0.08725248277187347
la,-0.08760977536439896
sg,-0.08811303973197937
io,-0.08819377422332764
ht,-0.0885440856218338
nr,-0.09198873490095139
mh,-0.09498795866966248
ga,-0.09692102670669556
lb,-0.09697040915489197
ie,-0.09713616222143173
ar,-0.09801152348518372
xk,-0.09864933788776398
mm,-0.10117676854133606
rs,-0.10507837682962418
gr,-0.10539235919713974
cw,-0.10751928389072418
gt,-0.10770733654499054
eh,-0.10939542949199677
uy,-0.10981902480125427
as,-0.11250609159469604
tm,-0.11347310990095139
cu,-0.1151924729347229
mc,-0.12481430172920227
bi,-0.12631767988204956
mp,-0.127671480178833
eu,-0.12852653861045837
sv,-0.1297970563173294
ng,-0.13230197131633759
gu,-0.13601525127887726
cx,-0.1362432837486267
mn,-0.13737672567367554
ps,-0.1393188238143921
hn,-0.14137808978557587
sa,-0.14167237281799316
ni,-0.14518418908119202
mv,-0.14534933865070343
ir,-0.14894980192184448
bz,-0.15037697553634644
ua,-0.15989068150520325
aq,-0.16215842962265015
cv,-0.1625741422176361
fj,-0.1629488319158554
tv,-0.17114663124084473
gb-sct,-0.17672103643417358
sl,-0.17717629671096802
ee,-0.17888960242271423
kz,-0.1796739101409912
mr,-0.18133462965488434
fm,-0.18837542831897736
gq,-0.19385667145252228
et,-0.20048271119594574
aw,-0.21309499442577362
so,-0.22359012067317963
kw,-0.22731825709342957
mo,-0.23834475874900818
ag,-0.27182498574256897
