Image,Similarity
gb-nir,1.000058650970459
sh,1.000058650970459
ge,0.540043294429779
gb-eng,0.5166510939598083
cu,0.38826823234558105
kp,0.30626267194747925
gg,0.2983483076095581
cr,0.29483163356781006
wf,0.27717193961143494
pf,0.26470983028411865
sc,0.26040512323379517
ke,0.2488979697227478
ca,0.23954373598098755
sr,0.23915249109268188
bw,0.23130962252616882
cn,0.23065641522407532
er,0.22766579687595367
tr,0.22189275920391083
kh,0.2179313600063324
gb-sct,0.21500544250011444
il,0.21247415244579315
bi,0.2088058590888977
pr,0.2052568793296814
bh,0.19901694357395172
tw,0.19798603653907776
ss,0.19653187692165375
cf,0.19049832224845886
bm,0.1893039047718048
kg,0.18228405714035034
bd,0.18222880363464355
tl,0.18157947063446045
lb,0.18125125765800476
gm,0.1784629076719284
to,0.16838712990283966
np,0.1678611785173416
jm,0.16642354428768158
es,0.16373060643672943
qa,0.1633836179971695
ls,0.16149893403053284
jp,0.1610175222158432
hr,0.15253418684005737
sg,0.14492781460285187
ar,0.14421036839485168
ax,0.14358080923557281
by,0.1423031985759735
tj,0.1422361135482788
pl,0.14192838966846466
ir,0.14049725234508514
id,0.14039386808872223
mw,0.14011014997959137
gi,0.13949832320213318
dm,0.1388128697872162
cy,0.13783122599124908
gb-wls,0.13617925345897675
ws,0.13472463190555573
im,0.13187336921691895
mt,0.13179464638233185
as,0.12977012991905212
mc,0.1289716213941574
pt,0.12840071320533752
ma,0.12783710658550262
tn,0.1267457902431488
lr,0.12522293627262115
bt,0.12166892737150192
tg,0.12060859054327011
sv,0.12008903175592422
th,0.11711534112691879
py,0.1169261708855629
my,0.11661002784967422
hk,0.11619025468826294
om,0.11270839720964432
sm,0.11214560270309448
fo,0.11190090328454971
vn,0.11162868142127991
gh,0.11156914383172989
at,0.11054269224405289
cm,0.11027675122022629
ne,0.10967597365379333
pe,0.10666854679584503
gl,0.10390795022249222
is,0.10358438640832901
mk,0.10281464457511902
cl,0.10152386128902435
ni,0.09975996613502502
de,0.0996474176645279
hn,0.09701074659824371
af,0.09700536727905273
bq,0.09400089085102081
nl,0.09400089085102081
eg,0.0924915298819542
ga,0.09171779453754425
dk,0.09121403843164444
az,0.08996760100126266
st,0.08801387250423431
lu,0.08787549287080765
bs,0.08708763122558594
mx,0.0852290615439415
iq,0.08476796746253967
bj,0.08247333765029907
hu,0.08091132342815399
bv,0.08085945248603821
no,0.08085945248603821
sj,0.08085945248603821
sy,0.08053997159004211
me,0.08023320138454437
al,0.08001092076301575
gt,0.07936007529497147
be,0.07598710805177689
gy,0.07566715776920319
sd,0.07427438348531723
sx,0.0735849067568779
bo,0.07196599990129471
li,0.07190351188182831
lk,0.07146425545215607
eh,0.06936002522706985
km,0.06775861978530884
mp,0.06756158918142319
gr,0.0672924742102623
ro,0.06722050905227661
jo,0.06542208045721054
ye,0.06511442363262177
ad,0.0635899230837822
td,0.06238734349608421
pw,0.06209487468004227
bb,0.05635135620832443
kw,0.056216444820165634
cw,0.055983055382966995
aq,0.05374433845281601
kr,0.052594203501939774
bl,0.05227534472942352
fr,0.05227534472942352
gf,0.05227534472942352
gp,0.05227534472942352
mf,0.05227534472942352
mq,0.05227534472942352
nc,0.05227534472942352
pm,0.05227534472942352
re,0.05227534472942352
yt,0.05227534472942352
zw,0.05035863071680069
lc,0.04806097596883774
dz,0.04734291881322861
gq,0.046064943075180054
ao,0.04554884135723114
ph,0.04525696113705635
in,0.04335097596049309
gn,0.04304483160376549
pg,0.042500562965869904
vi,0.04199720174074173
cz,0.03889893740415573
mg,0.03867604210972786
tk,0.03837691247463226
pa,0.0380704365670681
ie,0.03751256689429283
bz,0.03702791780233383
nf,0.034713760018348694
je,0.03453360125422478
it,0.03443252295255661
sl,0.0341082327067852
ml,0.03306398168206215
ps,0.03274998068809509
ht,0.031376101076602936
va,0.030211299657821655
um,0.02900831587612629
us,0.02900831587612629
fj,0.026307694613933563
ba,0.02573154866695404
tf,0.024556681513786316
ky,0.024186041206121445
tt,0.023557215929031372
mh,0.02302148938179016
io,0.02271852269768715
kn,0.02199154905974865
rs,0.02182011678814888
nu,0.02178548276424408
ci,0.021731192246079445
xk,0.021547239273786545
ng,0.021413836628198624
ae,0.01940888911485672
sn,0.018990255892276764
cd,0.018808728083968163
za,0.016783321276307106
fk,0.01637214981019497
dj,0.015374552458524704
ki,0.012773007154464722
cv,0.01251283474266529
vg,0.01173023134469986
uz,0.011648185551166534
mu,0.011594798415899277
ug,0.010519042611122131
ai,0.009176457300782204
rw,0.005819201469421387
ck,-0.0005612715613096952
mz,-0.000665249302983284
md,-0.0007734857499599457
tc,-0.0022703162394464016
sz,-0.010171612724661827
bn,-0.010216586291790009
fm,-0.011883486062288284
vu,-0.012023309245705605
pn,-0.016584334895014763
se,-0.017545685172080994
br,-0.018155813217163086
fi,-0.018960868939757347
sk,-0.019716160371899605
na,-0.019735166803002357
bf,-0.022719670087099075
uy,-0.023046260699629784
au,-0.0258294939994812
hm,-0.0258294939994812
gd,-0.027641501277685165
gs,-0.028512410819530487
ms,-0.028696209192276
nz,-0.02978608012199402
ee,-0.03260916471481323
cg,-0.03663113713264465
ua,-0.03819052502512932
so,-0.042450372129678726
vc,-0.04469887539744377
ag,-0.04849604517221451
aw,-0.050614286214113235
co,-0.05353294312953949
ru,-0.05894073471426964
ec,-0.06016506254673004
nr,-0.06032293289899826
sb,-0.06083434820175171
et,-0.06164093315601349
eu,-0.06402967125177383
si,-0.07309666275978088
kz,-0.07356405258178711
gw,-0.09021258354187012
tz,-0.09030717611312866
tv,-0.09044539928436279
mn,-0.09054375439882278
pk,-0.09437830746173859
cx,-0.10093511641025543
bg,-0.11130095273256302
am,-0.11458437144756317
ve,-0.12053770571947098
mm,-0.1295931190252304
gu,-0.13000650703907013
sa,-0.13501209020614624
ch,-0.15878567099571228
lv,-0.16248807311058044
lt,-0.17221027612686157
mr,-0.18830494582653046
la,-0.19049802422523499
mo,-0.1907055675983429
ly,-0.19998618960380554
zm,-0.21261341869831085
cc,-0.2230766862630844
tm,-0.23867538571357727
mv,-0.24009528756141663
do,-0.27379077672958374
