Image,Similarity
gb-eng,0.8291133642196655
ge,0.7509804964065552
ca,0.7350901365280151
jp,0.6440367102622986
cy,0.6402464509010315
vi,0.5298125743865967
va,0.513858437538147
je,0.5127608776092529
lr,0.5060626268386841
sm,0.504477858543396
fo,0.4926890730857849
sg,0.4739188849925995
nf,0.44648221135139465
bt,0.4369514584541321
ie,0.42356255650520325
pl,0.4170324504375458
gt,0.40754857659339905
gl,0.39062070846557617
cr,0.38790658116340637
mc,0.3811659812927246
ar,0.37873512506484985
mt,0.3781930208206177
id,0.37509480118751526
ng,0.36896976828575134
nu,0.362857460975647
sc,0.34724390506744385
kr,0.32893237471580505
lc,0.3235820531845093
fm,0.30826589465141296
bh,0.3077142536640167
gb-nir,0.2983483076095581
gb,0.2983483076095581
sh,0.2983483076095581
th,0.29529449343681335
mx,0.2945561408996582
wf,0.29403865337371826
cz,0.29361310601234436
cl,0.2815825939178467
bn,0.2798098623752594
om,0.27313849329948425
pf,0.2659618854522705
uy,0.2642824649810791
um,0.2614777088165283
us,0.2614777088165283
ci,0.26060789823532104
pe,0.26038694381713867
kg,0.2575979232788086
mk,0.25725096464157104
rs,0.25573739409446716
km,0.2551673650741577
sk,0.25317299365997314
gi,0.2529180645942688
bi,0.24619600176811218
vc,0.2461833655834198
lb,0.2433425486087799
fi,0.2402486801147461
pr,0.23881438374519348
sr,0.2359447479248047
cg,0.23143114149570465
bw,0.2288711816072464
cu,0.22270789742469788
fj,0.22179271280765533
kp,0.21903827786445618
gb-sct,0.2129269540309906
il,0.20445863902568817
mg,0.20211800932884216
dz,0.20189671218395233
it,0.19883251190185547
cf,0.19551147520542145
md,0.1953538954257965
ml,0.19322629272937775
gr,0.1911465972661972
gd,0.18280808627605438
cn,0.18244054913520813
gn,0.18078237771987915
pw,0.1795690655708313
bg,0.17905478179454803
ru,0.1695539951324463
my,0.16686441004276276
ee,0.15985609591007233
es,0.15939567983150482
at,0.15906503796577454
sn,0.1581437736749649
ki,0.15448039770126343
pa,0.15396173298358917
bl,0.1501312553882599
fr,0.1501312553882599
gf,0.1501312553882599
gp,0.1501312553882599
mf,0.1501312553882599
mq,0.1501312553882599
nc,0.1501312553882599
pm,0.1501312553882599
re,0.1501312553882599
yt,0.1501312553882599
lk,0.14545899629592896
vn,0.14417535066604614
tr,0.1430083066225052
lu,0.14201407134532928
mm,0.14060410857200623
io,0.1404755711555481
ro,0.13927395641803741
tl,0.1366422474384308
cm,0.1311943531036377
ad,0.12609931826591492
ec,0.12556323409080505
hk,0.12489254772663116
to,0.1237303614616394
bm,0.12283574789762497
dj,0.121819868683815
dk,0.12175112217664719
er,0.12125446647405624
si,0.10821875929832458
td,0.1060345470905304
ga,0.09806568175554276
bj,0.09653670340776443
az,0.0938708484172821
co,0.08709681034088135
ax,0.08173981308937073
gy,0.07789032906293869
im,0.06977325677871704
tw,0.059947337955236435
gb-wls,0.05940418690443039
ba,0.054440587759017944
