Image,Similarity
bo,0.8920004367828369
by,0.6827817559242249
ne,0.5763405561447144
eg,0.5589163899421692
bf,0.5269051790237427
iq,0.5231092572212219
ye,0.5095401406288147
st,0.5059577226638794
py,0.4990271329879761
sd,0.49901798367500305
sy,0.47818487882614136
ao,0.45926159620285034
sx,0.45632171630859375
pg,0.4451808035373688
vu,0.44475850462913513
mw,0.43962037563323975
es,0.43664366006851196
tj,0.4308827519416809
in,0.4297674298286438
bq,0.42797034978866577
nl,0.42797034978866577
gw,0.4278746545314789
hr,0.4254963994026184
hu,0.4171597361564636
tl,0.39681029319763184
eh,0.396121084690094
lu,0.39222389459609985
me,0.3885285258293152
mu,0.3631153404712677
lk,0.3580741882324219
jo,0.35428547859191895
ps,0.35330963134765625
kg,0.3473435640335083
mg,0.3450790047645569
vn,0.33945736289024353
ma,0.33121299743652344
pt,0.326143741607666
cn,0.3171907365322113
gm,0.308093786239624
jm,0.29633209109306335
mk,0.2944888174533844
ga,0.28990423679351807
ke,0.2877233326435089
tr,0.2708699107170105
gb-wls,0.26092222332954407
ax,0.2601301074028015
ss,0.25846144556999207
ly,0.24944950640201569
bs,0.2472306787967682
al,0.24670857191085815
qa,0.2432396560907364
lv,0.24166102707386017
za,0.23943820595741272
tg,0.23889374732971191
to,0.23864105343818665
ls,0.23836255073547363
wf,0.23591680824756622
tn,0.2337811440229416
hk,0.22885684669017792
tt,0.22577711939811707
cc,0.22577489912509918
ba,0.2195001095533371
ae,0.2174740433692932
sc,0.21517932415008545
cm,0.2105514258146286
at,0.2039300799369812
im,0.20238569378852844
sv,0.1940556913614273
ki,0.19317041337490082
br,0.19032607972621918
gy,0.18665966391563416
ml,0.18549373745918274
bh,0.1829226166009903
kp,0.18214748799800873
dm,0.181651771068573
af,0.18028554320335388
om,0.18001055717468262
td,0.17848318815231323
bd,0.1755218803882599
as,0.1751546561717987
zm,0.17055407166481018
id,0.16860611736774445
nu,0.16540493071079254
se,0.16390280425548553
kh,0.16145846247673035
sn,0.1604292392730713
pf,0.16036540269851685
ch,0.16010849177837372
gn,0.1563894897699356
hn,0.15404891967773438
vc,0.15136206150054932
md,0.14979258179664612
dk,0.1418905258178711
ro,0.1376728117465973
co,0.1326616406440735
ec,0.12639784812927246
er,0.11886496841907501
zw,0.11807359755039215
lb,0.11746948957443237
na,0.11493085324764252
be,0.11338363587856293
mr,0.11324495077133179
gb-nir,0.11156914383172989
gb,0.11156914383172989
sh,0.11156914383172989
sl,0.10789301991462708
km,0.10680432617664337
bm,0.10572405159473419
bj,0.09930793941020966
de,0.09325709939002991
ni,0.0924898236989975
do,0.09097865223884583
bt,0.08728428184986115
tw,0.07886692881584167
tz,0.07700071483850479
sz,0.07619991153478622
tc,0.0728527083992958
mc,0.06400440633296967
ai,0.06154325604438782
sg,0.05839398503303528
ad,0.05778879672288895
bv,0.05605892091989517
no,0.05605892091989517
sj,0.05605892091989517
uz,0.054214030504226685
is,0.04447042942047119
gi,0.04370879381895065
sa,0.04200219362974167
pn,0.04182124137878418
cf,0.039939045906066895
ws,0.031852878630161285
tm,0.02988482639193535
mv,0.02697347104549408
pa,0.019930057227611542
gq,0.010281257331371307
vg,0.010077003389596939
va,0.002844317350536585
bb,0.002557162195444107
au,0.0023215487599372864
hm,0.0023215487599372864
fk,0.0016224663704633713
tk,0.0014141276478767395
ms,0.0010385625064373016
gs,0.00019824807532131672
aq,-0.003031715750694275
nz,-0.003928514197468758
bi,-0.005339019000530243
ky,-0.006911958567798138
ge,-0.012411058880388737
bn,-0.01708047091960907
mh,-0.018746554851531982
ck,-0.021529879420995712
gd,-0.024806030094623566
pk,-0.027624446898698807
mt,-0.027701128274202347
kn,-0.03333817422389984
cx,-0.036098137497901917
ir,-0.03657443821430206
pw,-0.0385734848678112
sr,-0.0401010662317276
kw,-0.043018657714128494
nr,-0.04697402939200401
ar,-0.047021493315696716
dj,-0.05114435777068138
bz,-0.05218365788459778
np,-0.05297946184873581
il,-0.061166584491729736
cg,-0.06223677843809128
mm,-0.06631182134151459
dz,-0.06700444966554642
ug,-0.06832925230264664
az,-0.06982371211051941
pe,-0.07114177197217941
la,-0.07164192199707031
gl,-0.07603977620601654
tf,-0.07753749191761017
lr,-0.08028668165206909
my,-0.08062150329351425
lt,-0.08841773867607117
pr,-0.0914544016122818
je,-0.09167258441448212
gg,-0.09327943623065948
sb,-0.09860330075025558
