Image,Similarity
kw,0.9284446239471436
ir,0.8606927990913391
at,0.7578836679458618
ae,0.7224953770637512
hu,0.6159716248512268
ps,0.5951900482177734
ye,0.5901837348937988
bq,0.5729262828826904
nl,0.5729262828826904
sd,0.5722081065177917
eg,0.563371479511261
eh,0.5566962957382202
lv,0.5511871576309204
sl,0.5475493669509888
iq,0.5124117732048035
uz,0.5120214819908142
in,0.487712025642395
as,0.4841368794441223
tj,0.4832419455051422
sy,0.48292648792266846
hn,0.47865843772888184
pf,0.4684719741344452
lb,0.4605589509010315
py,0.45406681299209595
bt,0.43731117248535156
ne,0.43123266100883484
mm,0.40723758935928345
ch,0.404501736164093
sv,0.40392181277275085
jo,0.4029601216316223
hr,0.3959488570690155
ni,0.37846481800079346
bi,0.3639615774154663
cg,0.3622334599494934
dk,0.36198270320892334
ar,0.35034430027008057
ls,0.32535552978515625
hk,0.32370874285697937
es,0.3102307915687561
lu,0.30788516998291016
do,0.30568546056747437
wf,0.3009031116962433
et,0.28553861379623413
tn,0.2815347909927368
pl,0.26896166801452637
aq,0.26421570777893066
il,0.2545369267463684
nu,0.24888525903224945
mk,0.2424628585577011
cf,0.23781296610832214
ec,0.23494701087474823
ie,0.23134204745292664
kg,0.23127640783786774
gi,0.23017258942127228
cl,0.2263011485338211
va,0.22059425711631775
tl,0.2184762954711914
gl,0.2171383798122406
gb-sct,0.21663597226142883
ag,0.21444237232208252
ph,0.2074442207813263
vn,0.2066287100315094
ml,0.19586412608623505
la,0.19012802839279175
ng,0.18755504488945007
bn,0.18743859231472015
st,0.18592649698257446
lk,0.1813703328371048
tr,0.17939969897270203
im,0.17651896178722382
ci,0.17385774850845337
gn,0.17232507467269897
ga,0.17201896011829376
mt,0.17191818356513977
bj,0.17110033333301544
co,0.1688617616891861
pt,0.16616041958332062
sn,0.15899378061294556
bm,0.15655602514743805
ht,0.15432806313037872
me,0.1539333611726761
ua,0.15171101689338684
bv,0.15139524638652802
no,0.15139524638652802
sj,0.15139524638652802
ro,0.15074506402015686
it,0.1483314484357834
tk,0.14725574851036072
bo,0.14672799408435822
sg,0.14404170215129852
td,0.14187997579574585
vc,0.1352716088294983
cn,0.13489532470703125
ad,0.13406698405742645
pr,0.132680743932724
md,0.12902876734733582
bl,0.12883155047893524
fr,0.12883155047893524
gf,0.12883155047893524
gp,0.12883155047893524
mf,0.12883155047893524
mq,0.12883155047893524
nc,0.12883155047893524
pm,0.12883155047893524
re,0.12883155047893524
yt,0.12883155047893524
gr,0.12693242728710175
cz,0.12390569597482681
si,0.11785203218460083
lr,0.11725317686796188
mc,0.11586703360080719
je,0.11435486376285553
um,0.11338552087545395
us,0.11338552087545395
rw,0.11245957762002945
af,0.11241340637207031
cy,0.10319367796182632
gd,0.10282150655984879
gt,0.10254812240600586
dj,0.0983605831861496
