Image,Similarity
fm,0.6198161840438843
ar,0.6100599765777588
so,0.5407298803329468
gt,0.5112442970275879
ni,0.5101026892662048
bw,0.47649136185646057
gb-sct,0.47269871830940247
fj,0.462730348110199
ng,0.4464845657348633
cy,0.44436559081077576
aw,0.44434189796447754
sm,0.4373297095298767
sl,0.4327835142612457
sv,0.42899465560913086
ie,0.4192335903644562
lc,0.40721210837364197
nf,0.4046746790409088
uz,0.40322721004486084
hn,0.40305569767951965
lu,0.3940730690956116
kz,0.3445296287536621
tv,0.3422945737838745
ca,0.322834312915802
ci,0.31717145442962646
jp,0.31477272510528564
it,0.31444627046585083
je,0.2985416650772095
dj,0.2982217073440552
fi,0.28942543268203735
vi,0.28760403394699097
bq,0.28574925661087036
nl,0.28574925661087036
kr,0.28479304909706116
fo,0.2841392457485199
mx,0.28302329778671265
hu,0.2727111577987671
py,0.27204346656799316
gb-eng,0.2698391377925873
io,0.2622089982032776
bl,0.26193922758102417
fr,0.26193922758102417
gf,0.26193922758102417
gp,0.26193922758102417
mf,0.26193922758102417
mq,0.26193922758102417
nc,0.26193922758102417
pm,0.26193922758102417
re,0.26193922758102417
yt,0.26193922758102417
mp,0.25626611709594727
dz,0.2527310848236084
sg,0.25084570050239563
cu,0.23772773146629333
pw,0.23665936291217804
il,0.23421096801757812
cd,0.22808565199375153
ls,0.22582779824733734
aq,0.20950676500797272
kw,0.20832791924476624
um,0.20244574546813965
us,0.20244574546813965
xk,0.20105516910552979
va,0.19659370183944702
mc,0.19470563530921936
gg,0.1911465972661972
in,0.19007810950279236
pl,0.18306949734687805
at,0.17805981636047363
ae,0.17747214436531067
gl,0.17650270462036133
ir,0.1762503981590271
ps,0.16207095980644226
hr,0.1595417857170105
mt,0.15702275931835175
pe,0.15335491299629211
ga,0.15310688316822052
lr,0.15205997228622437
cz,0.14585058391094208
cl,0.14562788605690002
bs,0.14522796869277954
eh,0.13883642852306366
as,0.13727641105651855
pa,0.1365693211555481
ge,0.13197576999664307
is,0.13074758648872375
gq,0.12693242728710175
ne,0.12520629167556763
km,0.12303933501243591
id,0.1147509291768074
rw,0.1133558452129364
cr,0.11290238797664642
si,0.11278805881738663
bi,0.11148707568645477
az,0.10932303965091705
lb,0.10682330280542374
mn,0.10585017502307892
do,0.10437982529401779
pr,0.1038094311952591
sd,0.10294589400291443
bv,0.0986718088388443
no,0.0986718088388443
sj,0.0986718088388443
ye,0.09744210541248322
jo,0.08916736394166946
iq,0.08638371527194977
sy,0.08618489652872086
tj,0.08396641165018082
my,0.08127900213003159
mo,0.071770578622818
eg,0.06966553628444672
bg,0.06962064653635025
gb-nir,0.0672924742102623
gb,0.0672924742102623
