Image,Similarity
bf,0.6196702122688293
co,0.5995730757713318
bo,0.4735416769981384
ec,0.47290006279945374
gh,0.4278746545314789
mg,0.42682287096977234
ba,0.4087577760219574
in,0.3851550221443176
vc,0.3775605857372284
by,0.37435245513916016
gn,0.3670830726623535
vu,0.36184293031692505
ne,0.35799795389175415
ao,0.3493824303150177
sx,0.34689250588417053
lt,0.3269769549369812
om,0.32641923427581787
st,0.3082147538661957
km,0.3073887825012207
bn,0.301939994096756
pg,0.29871177673339844
mm,0.26019981503486633
tg,0.24459587037563324
cc,0.23875224590301514
es,0.23221692442893982
gy,0.23025499284267426
iq,0.2293672114610672
gd,0.22890323400497437
md,0.22642962634563446
sy,0.21641114354133606
td,0.21329209208488464
eg,0.21298551559448242
lu,0.21108287572860718
tm,0.20983299612998962
py,0.20542775094509125
bt,0.20542451739311218
tj,0.20536665618419647
za,0.20273882150650024
nu,0.20177842676639557
ml,0.20112255215644836
va,0.19923479855060577
ki,0.19806592166423798
ye,0.1978560835123062
gb-wls,0.19677066802978516
sc,0.1961435228586197
sd,0.19578438997268677
bj,0.19270694255828857
sm,0.1899578720331192
ve,0.18797023594379425
jm,0.18536421656608582
ro,0.18407315015792847
sn,0.18071645498275757
ug,0.1792254000902176
zw,0.16587921977043152
mk,0.1618528813123703
be,0.16080841422080994
hu,0.15967372059822083
vn,0.15907734632492065
sa,0.15854497253894806
ly,0.1562613844871521
zm,0.152701273560524
br,0.1459328979253769
kg,0.1432894915342331
ad,0.14310860633850098
gm,0.1406489610671997
bq,0.12038692831993103
nl,0.12038692831993103
ci,0.11982828378677368
lk,0.11650945246219635
dj,0.11286981403827667
me,0.11134374141693115
tz,0.10955841839313507
pe,0.09340815246105194
ch,0.08333425223827362
hr,0.07873346656560898
bb,0.07555579394102097
ga,0.06736955046653748
nf,0.06572479009628296
bg,0.06423914432525635
tl,0.06270961463451385
pa,0.053193267434835434
sl,0.052722424268722534
se,0.0523066446185112
hk,0.0521526113152504
ma,0.050578564405441284
pl,0.04972969368100166
bs,0.04851558059453964
kr,0.047583386301994324
cn,0.046408191323280334
af,0.044144682586193085
mw,0.04307062178850174
tn,0.04003789275884628
sz,0.038285993039608
sr,0.036606770008802414
cz,0.03656937554478645
cl,0.033212676644325256
lb,0.033121027052402496
mr,0.03234681487083435
tc,0.030374184250831604
gg,0.027746032923460007
jo,0.027688603848218918
pf,0.026408854871988297
mv,0.02592337131500244
ax,0.02592325210571289
sk,0.02427581697702408
ai,0.02331674098968506
cy,0.022383004426956177
cx,0.022357817739248276
ke,0.02222292870283127
tt,0.022081203758716583
vi,0.021720856428146362
dm,0.019551429897546768
pn,0.01812116801738739
id,0.01720999926328659
