Image,Similarity
tn,0.7775106430053711
kg,0.737488329410553
vn,0.7325146794319153
ch,0.7198410034179688
me,0.7082390785217285
cn,0.7080394625663757
im,0.6946355104446411
tl,0.6669474840164185
mk,0.60658198595047
es,0.6056529879570007
tr,0.6005424857139587
ma,0.5946691632270813
wf,0.5914215445518494
at,0.5752162337303162
mm,0.4999021291732788
al,0.49361005425453186
pt,0.483589231967926
lv,0.4824129343032837
dk,0.481138676404953
bt,0.47032469511032104
tw,0.4584197402000427
lk,0.4366343021392822
to,0.43649905920028687
qa,0.42079243063926697
be,0.41295838356018066
la,0.40702497959136963
bh,0.4067123830318451
bi,0.39695942401885986
ws,0.3884100317955017
bm,0.3823755085468292
td,0.37908098101615906
ug,0.372481107711792
ro,0.3684711158275604
pe,0.3652496337890625
sd,0.3442073464393616
ye,0.34234628081321716
pf,0.340689092874527
hu,0.33843404054641724
id,0.3382553458213806
ml,0.331833153963089
gq,0.32370874285697937
lb,0.3224528431892395
eg,0.31962308287620544
ad,0.31579524278640747
sy,0.31530821323394775
pl,0.31494957208633423
bl,0.3140663206577301
fr,0.3140663206577301
gf,0.3140663206577301
gp,0.3140663206577301
mf,0.3140663206577301
mq,0.3140663206577301
nc,0.3140663206577301
pm,0.3140663206577301
re,0.3140663206577301
yt,0.3140663206577301
nu,0.31384268403053284
gn,0.31253838539123535
iq,0.3068353235721588
cl,0.30042755603790283
ir,0.2929893136024475
tt,0.29230889678001404
cg,0.2915104627609253
sn,0.2913917899131775
tj,0.2912212908267975
pr,0.2888588607311249
ki,0.286590576171875
gl,0.28612035512924194
mt,0.285285621881485
sg,0.2815643548965454
ao,0.28135961294174194
de,0.27723515033721924
ec,0.27670037746429443
bv,0.2712855637073517
no,0.2712855637073517
sj,0.2712855637073517
md,0.27013692259788513
mc,0.2693948745727539
af,0.2660931348800659
co,0.264969140291214
bq,0.2625355124473572
nl,0.2625355124473572
cm,0.2597086727619171
do,0.2565770149230957
am,0.2550015151500702
kw,0.2541382908821106
gd,0.253278523683548
lr,0.24809852242469788
by,0.24646732211112976
kp,0.24515683948993683
ag,0.242885559797287
bo,0.2291022688150406
gh,0.22885684669017792
it,0.22833582758903503
ve,0.21951614320278168
bj,0.2121468335390091
cz,0.21023811399936676
py,0.20887739956378937
kh,0.2088697850704193
va,0.20827828347682953
ht,0.20464272797107697
sc,0.20435167849063873
my,0.20030105113983154
um,0.2002263367176056
us,0.2002263367176056
bn,0.19662612676620483
ci,0.19371676445007324
as,0.1810949593782425
ge,0.17982865869998932
hr,0.17679689824581146
vc,0.1762566715478897
sz,0.17384891211986542
pg,0.169137105345726
zw,0.16214996576309204
in,0.16101938486099243
ne,0.15462017059326172
ie,0.1519637405872345
mw,0.14882178604602814
rs,0.14600718021392822
lt,0.143021360039711
sx,0.13828754425048828
gm,0.13714125752449036
gi,0.13659189641475677
sk,0.13603582978248596
lu,0.13587716221809387
li,0.1353350281715393
km,0.13098807632923126
gb-wls,0.13026735186576843
mx,0.1273803412914276
gg,0.12489254772663116
tk,0.1163998544216156
gb-nir,0.11619025468826294
gb,0.11619025468826294
