Image,Similarity
py,0.7879809141159058
bq,0.7776837348937988
nl,0.7776837348937988
eg,0.7302525639533997
ye,0.7243487238883972
hu,0.7117127180099487
sd,0.7048656940460205
lu,0.6847505569458008
iq,0.6847460269927979
sy,0.6244807839393616
hn,0.6217427849769592
tj,0.6098251938819885
sv,0.609693169593811
ne,0.6041660904884338
ps,0.5897722840309143
eh,0.5812395811080933
ae,0.5760329365730286
sl,0.5755207538604736
ni,0.5597742199897766
in,0.5554654598236084
at,0.5429390072822571
as,0.5382580161094666
bo,0.5076034665107727
lv,0.4590606093406677
ls,0.4580516219139099
kw,0.4364016056060791
pf,0.4363619089126587
jo,0.42904800176620483
uz,0.4278579354286194
ar,0.42764776945114136
gh,0.4254963994026184
il,0.40752941370010376
gq,0.3959488570690155
ir,0.3939262628555298
sx,0.3934633731842041
lb,0.3404920995235443
do,0.3304559588432312
aq,0.3237079381942749
dk,0.29607468843460083
gb-sct,0.26805171370506287
bi,0.25172945857048035
bz,0.2513001561164856
gm,0.24251656234264374
kh,0.23047876358032227
ga,0.22859643399715424
ch,0.22619391977787018
by,0.20692765712738037
wf,0.20241032540798187
is,0.20016993582248688
za,0.19417136907577515
so,0.19086235761642456
fm,0.17967993021011353
sg,0.17719830572605133
hk,0.17679689824581146
pa,0.17676444351673126
tn,0.17628541588783264
mg,0.1710868775844574
km,0.17086930572986603
sm,0.16742901504039764
mh,0.16581270098686218
id,0.1633903682231903
bf,0.161824569106102
fj,0.1600053906440735
gr,0.1595417857170105
gb-nir,0.15253418684005737
gb,0.15253418684005737
sh,0.15253418684005737
dj,0.15176014602184296
mp,0.15150824189186096
xk,0.146070197224617
ba,0.1454346776008606
es,0.14500974118709564
mc,0.14364838600158691
ai,0.14106573164463043
bv,0.13816995918750763
no,0.13816995918750763
sj,0.13816995918750763
bs,0.13796041905879974
tr,0.13726434111595154
je,0.13504186272621155
tf,0.13380160927772522
cd,0.1286928355693817
mt,0.12824946641921997
cv,0.12531141936779022
ki,0.12518812716007233
gl,0.11917322129011154
cx,0.1185198426246643
ss,0.11794836819171906
pl,0.11787673085927963
sc,0.1159396767616272
pr,0.11260174214839935
kp,0.11251291632652283
pw,0.10971046984195709
gi,0.108253613114357
kg,0.10807866603136063
tl,0.106597900390625
ie,0.10624513030052185
gt,0.10479637235403061
cy,0.10126684606075287
fk,0.10094115138053894
bm,0.09974908828735352
ao,0.09691309928894043
tc,0.09666277468204498
ng,0.09618033468723297
bt,0.08870400488376617
io,0.08596400916576385
lr,0.08529490232467651
mu,0.08386930078268051
na,0.08345595747232437
st,0.08208726346492767
se,0.08036287873983383
tv,0.07920964807271957
gw,0.07873346656560898
uy,0.07768914103507996
nr,0.07306856662034988
cu,0.07246150821447372
ms,0.07019062340259552
pg,0.06899973750114441
kr,0.06762302666902542
lk,0.06762267649173737
bh,0.06607744097709656
ax,0.06566224247217178
mk,0.06091773509979248
vn,0.057196274399757385
cn,0.05649369955062866
gu,0.056353189051151276
im,0.056029729545116425
bl,0.05425557494163513
fr,0.05425557494163513
gf,0.05425557494163513
gp,0.05425557494163513
mf,0.05425557494163513
mq,0.05425557494163513
nc,0.05425557494163513
pm,0.05425557494163513
re,0.05425557494163513
yt,0.05425557494163513
nf,0.05323425680398941
kz,0.052620939910411835
dz,0.05215955898165703
pn,0.05072543025016785
la,0.04974733293056488
jm,0.04966531693935394
af,0.04813114553689957
gb-wls,0.047889456152915955
it,0.04784315824508667
mm,0.047364991158246994
bd,0.04677998274564743
dm,0.04527847841382027
au,0.04511959105730057
hm,0.04511959105730057
me,0.04508715867996216
ci,0.04479313641786575
cf,0.041856542229652405
to,0.041749007999897
pt,0.04110310971736908
er,0.04005539044737816
nz,0.039208751171827316
um,0.03536669909954071
us,0.03536669909954071
mo,0.03500258922576904
gy,0.03215504437685013
ky,0.031226692721247673
gs,0.02863256074488163
co,0.02853662148118019
tt,0.028482969850301743
ec,0.028304003179073334
mn,0.020793933421373367
ke,0.01989167183637619
qa,0.01787818968296051
cl,0.014689136296510696
ck,0.012543367221951485
vg,0.01078109536319971
mw,0.010552763938903809
mx,0.00916832685470581
mr,0.003952212631702423
pe,0.002690559718757868
rw,-0.0006407275795936584
np,-0.003485303372144699
cm,-0.0040173158049583435
va,-0.00674474285915494
ph,-0.010879813693463802
lc,-0.017572298645973206
vu,-0.021145202219486237
ge,-0.022946210578083992
eu,-0.023507244884967804
aw,-0.0247592031955719
bj,-0.024804674088954926
vi,-0.025014661252498627
et,-0.02922719344496727
cr,-0.038277413696050644
cz,-0.03917080909013748
ma,-0.0421035960316658
jp,-0.043475374579429626
my,-0.057557933032512665
ag,-0.05813518911600113
ro,-0.06311049312353134
sa,-0.06321899592876434
sb,-0.06526824831962585
cw,-0.06718382239341736
pk,-0.06941631436347961
gg,-0.07252462953329086
gb-eng,-0.07373848557472229
om,-0.07383642345666885
tw,-0.07585708796977997
ca,-0.07852001488208771
ad,-0.07929666340351105
br,-0.08021147549152374
tg,-0.08142541348934174
gn,-0.08355007320642471
