Image,Similarity
bq,0.956899106502533
nl,0.956899106502533
ye,0.9020493626594543
py,0.8846729397773743
sd,0.8820205330848694
lu,0.8718276619911194
eg,0.8642622232437134
at,0.8416286110877991
iq,0.8185697793960571
tj,0.8146227598190308
ne,0.8015980124473572
sy,0.7958826422691345
in,0.7942890524864197
ps,0.7555827498435974
hr,0.7117127180099487
eh,0.6978392004966736
hn,0.6714705228805542
ae,0.6705759763717651
sl,0.6609265208244324
as,0.6244251728057861
kw,0.6189343929290771
uz,0.6162134408950806
gq,0.6159716248512268
lv,0.6060570478439331
sv,0.5815238952636719
ni,0.5791959762573242
bo,0.5732616186141968
jo,0.5501001477241516
ir,0.5498835444450378
ar,0.5422772169113159
pf,0.5357660055160522
ls,0.5031641721725464
lb,0.4986827075481415
bi,0.4362448751926422
ch,0.43454980850219727
il,0.4193236231803894
gh,0.4171597361564636
dk,0.41610708832740784
do,0.3893709182739258
sg,0.38069629669189453
aq,0.37910592555999756
gb-sct,0.3785421848297119
gm,0.35116541385650635
ie,0.33897215127944946
hk,0.33843404054641724
id,0.33569592237472534
bt,0.3282165229320526
mc,0.32286104559898376
ng,0.306924968957901
dj,0.3019728660583496
tn,0.28007271885871887
fm,0.2791326940059662
mm,0.27431774139404297
gr,0.2727111577987671
wf,0.266981840133667
ci,0.2664761543273926
sx,0.2634773254394531
es,0.25343865156173706
mt,0.24963751435279846
gt,0.2446739822626114
fj,0.24179303646087646
it,0.24115535616874695
va,0.24037905037403107
pa,0.23850002884864807
ki,0.23841693997383118
mg,0.2320268452167511
la,0.22728395462036133
gl,0.22513988614082336
cy,0.22041741013526917
bl,0.2179172933101654
fr,0.2179172933101654
gf,0.2179172933101654
gp,0.2179172933101654
mf,0.2179172933101654
mq,0.2179172933101654
nc,0.2179172933101654
pm,0.2179172933101654
re,0.2179172933101654
yt,0.2179172933101654
so,0.21667422354221344
je,0.21543778479099274
bf,0.21238771080970764
mk,0.20216104388237
sm,0.1964370608329773
pl,0.19579699635505676
kg,0.1951303780078888
km,0.19333522021770477
lr,0.18951816856861115
nf,0.18704934418201447
pr,0.1802617907524109
by,0.17570799589157104
nu,0.16942960023880005
bz,0.1669710874557495
gw,0.15967372059822083
bv,0.15925469994544983
no,0.15925469994544983
sj,0.15925469994544983
um,0.15789632499217987
us,0.15789632499217987
cf,0.15508528053760529
vn,0.15345852077007294
tr,0.14456090331077576
im,0.13909780979156494
ba,0.13341030478477478
tl,0.1313581019639969
kh,0.13070112466812134
kr,0.12381657212972641
io,0.12283177673816681
ga,0.1181204617023468
is,0.11731024831533432
sc,0.11677690595388412
mx,0.11585381627082825
za,0.11505105346441269
mu,0.10995437949895859
lk,0.10969336330890656
cl,0.10657632350921631
