Image,Similarity
ar,0.6908615827560425
ni,0.617760419845581
fm,0.6136947274208069
uy,0.587451696395874
sv,0.5770901441574097
gb-sct,0.5726964473724365
ls,0.5455776453018188
sl,0.5412442088127136
hn,0.5328323245048523
uz,0.5128396153450012
so,0.5021587610244751
lu,0.4995098114013672
pf,0.4922919273376465
as,0.48982638120651245
gt,0.48025721311569214
lb,0.46691271662712097
cu,0.4563688635826111
sm,0.45344626903533936
fj,0.443970650434494
bq,0.43844783306121826
nl,0.43844783306121826
cy,0.42660075426101685
py,0.42240607738494873
hu,0.4193236231803894
ng,0.41595661640167236
dj,0.4154137372970581
ir,0.41525429487228394
tj,0.4119485914707184
hr,0.40752941370010376
ie,0.4060743749141693
aw,0.3960379362106323
nf,0.38376402854919434
aq,0.36453256011009216
lc,0.36323368549346924
bi,0.3624477982521057
kw,0.35112789273262024
kz,0.33409738540649414
pw,0.32934069633483887
cv,0.32412493228912354
ae,0.317796915769577
kr,0.31405895948410034
at,0.3120405673980713
in,0.30402377247810364
ps,0.3014855682849884
tv,0.29661548137664795
je,0.29597559571266174
rw,0.2915744483470917
eh,0.2796514630317688
mp,0.27756792306900024
ci,0.2746460735797882
sg,0.2699659764766693
ne,0.2672315835952759
fo,0.26324617862701416
gq,0.2545369267463684
mx,0.25439730286598206
vi,0.2539568841457367
bz,0.2528363764286041
ca,0.25092723965644836
ga,0.25066161155700684
ye,0.24850571155548096
gb-eng,0.24340222775936127
pl,0.243106871843338
it,0.24235039949417114
sd,0.242083340883255
gr,0.23421096801757812
lr,0.23005080223083496
eg,0.22818559408187866
um,0.2274467945098877
us,0.2274467945098877
cr,0.22427091002464294
bw,0.2236567735671997
kh,0.22288618981838226
gl,0.22242967784404755
mt,0.21434389054775238
gb-nir,0.21247415244579315
gb,0.21247415244579315
sh,0.21247415244579315
dz,0.2095135897397995
jp,0.2066132128238678
mc,0.20450372993946075
gg,0.20445863902568817
pa,0.20224271714687347
cd,0.19927620887756348
iq,0.1915609985589981
va,0.1903407871723175
do,0.18919780850410461
bl,0.18662287294864655
fr,0.18662287294864655
gf,0.18662287294864655
gp,0.18662287294864655
mf,0.18662287294864655
mq,0.18662287294864655
nc,0.18662287294864655
pm,0.18662287294864655
re,0.18662287294864655
yt,0.18662287294864655
pr,0.17354917526245117
io,0.17259937524795532
ge,0.17238645255565643
xk,0.15744610130786896
fi,0.15475669503211975
mh,0.1511658877134323
sy,0.14755690097808838
jo,0.14081613719463348
km,0.13849914073944092
id,0.13327249884605408
cl,0.13006217777729034
tf,0.1259320080280304
cf,0.12540382146835327
pe,0.12528672814369202
bt,0.12379516661167145
az,0.11819709092378616
is,0.11516708880662918
bs,0.11011867225170135
se,0.1065981388092041
dk,0.10561776906251907
mn,0.0966537743806839
lv,0.09509528428316116
gi,0.08453746140003204
cw,0.08305715024471283
mo,0.06907349824905396
cz,0.06632165610790253
ki,0.05427004396915436
si,0.05106654390692711
st,0.048230692744255066
mg,0.04818204045295715
gy,0.04570493847131729
sc,0.04149835556745529
kp,0.03618094325065613
rs,0.028099246323108673
sr,0.02776242047548294
np,0.0213770754635334
jm,0.01638445258140564
ua,0.013313457369804382
sk,0.01079290360212326
my,0.009854009374976158
za,0.008173341862857342
ai,0.0062094926834106445
sb,0.005218535661697388
ph,0.003778792917728424
ch,0.0018893321976065636
fk,0.0006343051791191101
bo,-0.0023843050003051758
sx,-0.011337153613567352
ax,-0.0116538405418396
th,-0.011708840727806091
ss,-0.012636199593544006
bg,-0.016995444893836975
nr,-0.01812547817826271
eu,-0.020404309034347534
br,-0.03145599365234375
ba,-0.03178223595023155
ag,-0.03749974071979523
tg,-0.03875567764043808
mm,-0.03885430470108986
er,-0.03933068737387657
ru,-0.04119250550866127
gm,-0.044049136340618134
ms,-0.05059549957513809
wf,-0.05094431713223457
om,-0.0536271333694458
tc,-0.05388331040740013
na,-0.05422186851501465
nu,-0.05552021414041519
es,-0.05608101189136505
sa,-0.05609654635190964
bv,-0.05845705047249794
no,-0.05845705047249794
sj,-0.05845705047249794
et,-0.058643776923418045
gh,-0.061166584491729736
ky,-0.06457411497831345
bn,-0.07018027454614639
gu,-0.07027522474527359
cx,-0.07431870698928833
cg,-0.07540106773376465
pn,-0.07592860609292984
ck,-0.07920980453491211
hk,-0.08358153700828552
bh,-0.0850127786397934
gb-wls,-0.08725248277187347
vc,-0.09074743092060089
bm,-0.09295028448104858
lk,-0.09414270520210266
vg,-0.09440043568611145
tn,-0.09825675189495087
ee,-0.10080741345882416
au,-0.10240985453128815
hm,-0.10240985453128815
gs,-0.1050308421254158
tk,-0.1086512878537178
nz,-0.11484779417514801
sn,-0.11570568382740021
mu,-0.11778674274682999
dm,-0.12252126634120941
ke,-0.12495522201061249
bd,-0.12946411967277527
pk,-0.1330038607120514
gw,-0.1342959702014923
ht,-0.13694047927856445
bb,-0.1657010018825531
tr,-0.16693183779716492
ad,-0.1671835035085678
tz,-0.17698201537132263
kg,-0.1792682260274887
gn,-0.1812068521976471
mk,-0.18542350828647614
sz,-0.18991050124168396
mr,-0.19274626672267914
ml,-0.19321534037590027
ro,-0.19961513578891754
co,-0.2025115191936493
ec,-0.20426669716835022
bf,-0.2056407332420349
bj,-0.20829346776008606
kn,-0.21397414803504944
im,-0.21615217626094818
md,-0.21955648064613342
cm,-0.22646957635879517
tt,-0.23125441372394562
af,-0.2312886118888855
tm,-0.23142114281654358
mz,-0.24396155774593353
to,-0.253949373960495
li,-0.25613415241241455
by,-0.2565420866012573
td,-0.26384684443473816
be,-0.2702534794807434
gd,-0.28089654445648193
tw,-0.28413206338882446
tl,-0.28457704186439514
pt,-0.29812896251678467
la,-0.3039152920246124
cn,-0.3130761981010437
vn,-0.3161262273788452
mw,-0.3200381100177765
ws,-0.32020020484924316
