Image,Similarity
se,0.4968443512916565
ax,0.38792720437049866
sv,0.3403431177139282
ni,0.3337993621826172
hn,0.3170519471168518
mh,0.2955293357372284
jo,0.27179691195487976
bv,0.27144062519073486
no,0.27144062519073486
sj,0.27144062519073486
nr,0.267190545797348
np,0.2652975916862488
eh,0.2651442587375641
ps,0.2574065923690796
bd,0.2551731765270233
nz,0.24846498668193817
gu,0.24700753390789032
au,0.2420530915260315
hm,0.2420530915260315
ae,0.24085970222949982
ai,0.2388058751821518
tc,0.23707903921604156
eu,0.2357461303472519
sl,0.231959730386734
so,0.23119941353797913
bs,0.22636164724826813
xk,0.22212357819080353
kh,0.21944573521614075
ms,0.21705926954746246
mp,0.21629205346107483
dm,0.21429365873336792
gs,0.21261954307556152
fk,0.21128693222999573
uz,0.208851158618927
ky,0.20342721045017242
bq,0.2028142809867859
nl,0.2028142809867859
hr,0.20016993582248688
pn,0.19717523455619812
cx,0.1971428394317627
ls,0.19562005996704102
vg,0.19211536645889282
tf,0.18901371955871582
cv,0.18833032250404358
ck,0.18769675493240356
ga,0.18617913126945496
ht,0.18458527326583862
py,0.1836010217666626
pw,0.18301860988140106
az,0.18154166638851166
bz,0.1779111623764038
sd,0.16919419169425964
ye,0.16497792303562164
er,0.16339527070522308
eg,0.16259615123271942
as,0.1616644263267517
ph,0.1567712128162384
tv,0.15205135941505432
ar,0.1517360359430313
mw,0.1506694257259369
mo,0.14890578389167786
iq,0.14731410145759583
sy,0.14684469997882843
lu,0.14565646648406982
cd,0.14505620300769806
kw,0.1437542885541916
sb,0.13404372334480286
gb-sct,0.13292941451072693
gr,0.13074758648872375
lv,0.1285150647163391
kz,0.12767904996871948
ss,0.12107300758361816
bw,0.11900977790355682
hu,0.11731024831533432
il,0.11516708880662918
gy,0.11434093117713928
aq,0.10805843770503998
gb-nir,0.10358438640832901
gb,0.10358438640832901
sh,0.10358438640832901
mn,0.09270161390304565
sx,0.09071128815412521
do,0.0874205008149147
fj,0.08724144846200943
um,0.08496333658695221
us,0.08496333658695221
li,0.08317185938358307
dj,0.0815320536494255
na,0.08112652599811554
qa,0.07608523964881897
by,0.0758415162563324
ke,0.07583700120449066
kp,0.07481509447097778
rw,0.07024747133255005
sa,0.06981931626796722
ir,0.06929302215576172
af,0.06837029755115509
tj,0.06674026697874069
fm,0.06486491858959198
jm,0.06347978115081787
cw,0.06263650208711624
aw,0.059983111917972565
gb-wls,0.05465349555015564
la,0.04967568442225456
mg,0.04628831893205643
gh,0.04447042942047119
mt,0.04193960130214691
tz,0.040902286767959595
et,0.03886555880308151
ao,0.03872782737016678
br,0.03510228917002678
ng,0.0341520793735981
ki,0.03028280660510063
gq,0.025549542158842087
bo,0.024669785052537918
sr,0.023337416350841522
ne,0.022622836753726006
cr,0.01974881812930107
kr,0.014643516391515732
at,0.00994214229285717
tt,0.0064509473741054535
bm,0.005256015807390213
in,0.0015108977677300572
pg,-0.0015414692461490631
gt,-0.003377765417098999
cu,-0.004311595112085342
gi,-0.008154980838298798
tn,-0.012492720037698746
pf,-0.012739423662424088
om,-0.013698868453502655
pa,-0.015617238357663155
tr,-0.016230694949626923
io,-0.0190654918551445
za,-0.019749503582715988
sc,-0.02008003741502762
de,-0.02415044605731964
hk,-0.0251271054148674
sz,-0.02726874127984047
bh,-0.027866071090102196
to,-0.028567511588335037
ly,-0.02907179296016693
ie,-0.029351670295000076
mx,-0.029979903250932693
bf,-0.030624737963080406
gl,-0.030631424859166145
im,-0.03200666606426239
sm,-0.032275713980197906
pk,-0.03252098709344864
uy,-0.03261944651603699
lc,-0.03268297761678696
pl,-0.03374166041612625
nf,-0.03728619962930679
st,-0.03756511211395264
mc,-0.039485663175582886
ws,-0.04136155545711517
mu,-0.041396334767341614
bb,-0.043760426342487335
dk,-0.043942891061306
cc,-0.04726339876651764
wf,-0.04983954876661301
sg,-0.051595792174339294
cn,-0.05692126601934433
id,-0.056983813643455505
tm,-0.057806797325611115
jp,-0.05812408775091171
ge,-0.060662440955638885
je,-0.06119675189256668
ua,-0.06292839348316193
km,-0.06362330168485641
ee,-0.0643821731209755
ch,-0.0665280818939209
cy,-0.06770341098308563
ci,-0.06811239570379257
lb,-0.06882927566766739
kn,-0.06946993619203568
vn,-0.07217308133840561
cf,-0.0729096382856369
ma,-0.07328985631465912
cl,-0.07607603073120117
gb-eng,-0.07828833907842636
me,-0.08023671805858612
cz,-0.08253923803567886
bi,-0.08420596271753311
ag,-0.08530151844024658
tl,-0.08624158054590225
al,-0.08624492585659027
tw,-0.08652625977993011
it,-0.0865679383277893
ca,-0.08732949197292328
cm,-0.08876043558120728
vu,-0.08899007737636566
bl,-0.0946081280708313
fr,-0.0946081280708313
gf,-0.0946081280708313
gp,-0.0946081280708313
mf,-0.0946081280708313
mq,-0.0946081280708313
nc,-0.0946081280708313
pm,-0.0946081280708313
re,-0.0946081280708313
yt,-0.0946081280708313
mr,-0.0960119217634201
tk,-0.09725561738014221
kg,-0.10375897586345673
sk,-0.10827863216400146
mv,-0.10939376801252365
ba,-0.11376424133777618
zm,-0.11506801843643188
pr,-0.11539975553750992
lk,-0.12147565186023712
rs,-0.1278298795223236
vi,-0.13524138927459717
pt,-0.13629774749279022
ad,-0.13735046982765198
si,-0.14032039046287537
my,-0.14071305096149445
es,-0.14320001006126404
gn,-0.1443118453025818
gm,-0.1532963663339615
ug,-0.15345986187458038
ro,-0.15469206869602203
pe,-0.15695729851722717
dz,-0.15921495854854584
md,-0.16485705971717834
gw,-0.16499368846416473
th,-0.16538646817207336
fo,-0.16660624742507935
mz,-0.16737091541290283
co,-0.16753625869750977
td,-0.16896775364875793
mk,-0.17284253239631653
be,-0.1765410602092743
ru,-0.17935340106487274
bt,-0.19245056807994843
lr,-0.1945844143629074
bn,-0.19596919417381287
ml,-0.19693611562252045
vc,-0.20135682821273804
va,-0.20194780826568604
gg,-0.20338912308216095
cg,-0.20817290246486664
ec,-0.2095845341682434
tg,-0.2150043547153473
mm,-0.22886642813682556
am,-0.2313878834247589
bg,-0.23292198777198792
sn,-0.23544128239154816
zw,-0.23656657338142395
ve,-0.24031558632850647
bj,-0.25813767313957214
nu,-0.2782886326313019
gd,-0.34216246008872986
lt,-0.36362341046333313
fi,-0.39349186420440674
