Image,Similarity
st,0.6080949306488037
bs,0.558809757232666
ga,0.5018985271453857
cc,0.4055640697479248
ss,0.4029618203639984
zm,0.35967928171157837
jo,0.3535598814487457
ke,0.35095494985580444
az,0.34192734956741333
gy,0.32544341683387756
gb-sct,0.3210662007331848
mw,0.3136385977268219
sb,0.3088420033454895
kh,0.30747586488723755
eh,0.3061109483242035
ps,0.304553359746933
tk,0.3029199540615082
bo,0.2971978783607483
gh,0.29633209109306335
ae,0.28822383284568787
tg,0.28646570444107056
sa,0.2790963053703308
sr,0.27090808749198914
bd,0.25536438822746277
rw,0.2535446882247925
by,0.25281015038490295
mo,0.2515004277229309
er,0.24632206559181213
tm,0.24410778284072876
uz,0.24337846040725708
se,0.23193594813346863
ax,0.22869271039962769
ls,0.22540907561779022
de,0.2239934802055359
sl,0.22098465263843536
br,0.20453889667987823
cg,0.19434815645217896
dm,0.1934284269809723
es,0.19213542342185974
na,0.19056838750839233
gw,0.18536421656608582
dj,0.18527851998806
cx,0.1841048300266266
kp,0.17980989813804626
pw,0.17285317182540894
mh,0.17075225710868835
gb-nir,0.16642354428768158
gb,0.16642354428768158
sh,0.16642354428768158
as,0.16377414762973785
sv,0.16353246569633484
pk,0.15977393090724945
ni,0.15916788578033447
bf,0.1545247733592987
cw,0.14750388264656067
hn,0.14636610448360443
mu,0.1459779590368271
ne,0.1412653923034668
tj,0.13993416726589203
pg,0.13564100861549377
vu,0.1296839714050293
cd,0.12579438090324402
zw,0.12482184171676636
om,0.12118367850780487
ug,0.11461959779262543
eg,0.11443309485912323
nu,0.11402029544115067
sd,0.11301024258136749
ao,0.11074915528297424
sy,0.10913269966840744
kw,0.10773256421089172
cv,0.10566320270299911
ye,0.1042676642537117
kz,0.10366085916757584
pt,0.1006397008895874
ml,0.10018062591552734
vn,0.09595887362957001
lk,0.09385853260755539
aq,0.09035171568393707
mk,0.08611901104450226
nr,0.08131157606840134
gn,0.07701534032821655
gq,0.07621414214372635
td,0.07297174632549286
iq,0.07169639319181442
ir,0.07148740440607071
vg,0.07045123726129532
gu,0.0681401938199997
sz,0.06537890434265137
bq,0.06526784598827362
nl,0.06526784598827362
is,0.06347978115081787
ba,0.06306591629981995
me,0.061699867248535156
cr,0.053452372550964355
ua,0.05265315622091293
xk,0.05151337385177612
hr,0.04966531693935394
pn,0.04816529527306557
et,0.0463542602956295
bj,0.043268438428640366
ky,0.04320971295237541
ro,0.04238913580775261
in,0.042269617319107056
tl,0.04211195558309555
be,0.04036165401339531
af,0.036993756890296936
kn,0.03664582222700119
gb-wls,0.034789830446243286
cm,0.034612201154232025
ms,0.030922070145606995
hu,0.029998891055583954
py,0.02970254421234131
gs,0.02919633872807026
sc,0.027905117720365524
tz,0.026468832045793533
au,0.026461873203516006
hm,0.026461873203516006
cu,0.02565477043390274
nz,0.022133346647024155
ck,0.021710101515054703
tc,0.02130885235965252
li,0.02079833671450615
kg,0.018544502556324005
fk,0.018093114718794823
il,0.01638445258140564
mz,0.01309974491596222
ai,0.010877134278416634
