Image,Similarity
ca,0.868070662021637
cy,0.7068087458610535
gb-eng,0.677253246307373
gg,0.6440367102622986
je,0.6241300106048584
sm,0.618609607219696
vi,0.6174851655960083
ge,0.5719561576843262
kr,0.5315495729446411
fo,0.5243635177612305
nf,0.5190656781196594
gi,0.4597266912460327
va,0.4497551918029785
sg,0.448144793510437
lc,0.43921685218811035
ar,0.4227304458618164
fm,0.3986304998397827
pl,0.39814287424087524
lr,0.39117512106895447
gl,0.37234047055244446
gt,0.37058961391448975
mc,0.35837721824645996
mt,0.3577682673931122
sc,0.33870843052864075
id,0.3361053168773651
ie,0.3293848931789398
um,0.3255375325679779
us,0.3255375325679779
cr,0.3233621418476105
fi,0.31519147753715515
gr,0.31477272510528564
sk,0.3098280727863312
rs,0.3051656484603882
bh,0.297433078289032
ng,0.2837202847003937
bn,0.2812443971633911
fj,0.2800828814506531
bw,0.279771089553833
cz,0.27453890442848206
bt,0.27074992656707764
wf,0.2596507966518402
mg,0.25535911321640015
dz,0.25386834144592285
nu,0.24790170788764954
om,0.2450110763311386
ru,0.2446131408214569
uy,0.2422233372926712
kp,0.22180283069610596
cl,0.22108298540115356
ee,0.21798653900623322
il,0.2066132128238678
km,0.20414339005947113
bg,0.2015988528728485
th,0.19026172161102295
si,0.1839911788702011
mx,0.18153443932533264
er,0.17379558086395264
bm,0.17320075631141663
pa,0.16719822585582733
pf,0.16714422404766083
gb-wls,0.16125723719596863
gb-nir,0.1610175222158432
gb,0.1610175222158432
sh,0.1610175222158432
my,0.15938757359981537
aw,0.15671399235725403
pw,0.1471247524023056
vc,0.1458892524242401
lb,0.14497685432434082
lu,0.13920539617538452
ci,0.13840451836585999
io,0.13353678584098816
cf,0.13190560042858124
pe,0.12932386994361877
gb-sct,0.12848567962646484
md,0.12096622586250305
at,0.1121959239244461
cm,0.11191865801811218
so,0.10782968997955322
cd,0.1000179722905159
tr,0.09790156781673431
dj,0.09277354180812836
cn,0.08845628798007965
lk,0.08769752085208893
mk,0.08761470764875412
sr,0.07834316045045853
to,0.06539364159107208
ki,0.06221171095967293
cu,0.06183888018131256
pr,0.06158481165766716
it,0.057653311640024185
in,0.05583706498146057
ec,0.05512047931551933
az,0.05207379162311554
gd,0.05004583299160004
ax,0.040498729795217514
kg,0.03880147635936737
tl,0.03874451667070389
ne,0.03806044161319733
dk,0.031467970460653305
ua,0.029679976403713226
ni,0.027082636952400208
co,0.021949246525764465
tw,0.020105451345443726
tv,0.01810741424560547
cg,0.01800622045993805
uz,0.015569783747196198
kz,0.0145183727145195
np,0.012722913175821304
hu,0.006325650028884411
bj,0.004934586584568024
ga,0.003922775387763977
ba,-0.00587052945047617
ml,-0.006095770746469498
zw,-0.006682582199573517
ir,-0.007538728415966034
bl,-0.0095174890011549
fr,-0.0095174890011549
gf,-0.0095174890011549
gp,-0.0095174890011549
mf,-0.0095174890011549
mq,-0.0095174890011549
nc,-0.0095174890011549
pm,-0.0095174890011549
re,-0.0095174890011549
yt,-0.0095174890011549
mz,-0.012535028159618378
sl,-0.013306833803653717
gn,-0.014044791460037231
sn,-0.019945278763771057
py,-0.022618837654590607
bv,-0.02765108086168766
no,-0.02765108086168766
sj,-0.02765108086168766
sz,-0.028843887150287628
ad,-0.029811523854732513
mm,-0.03699621558189392
lt,-0.040859922766685486
ls,-0.04274940490722656
hr,-0.043475374579429626
ve,-0.04354436323046684
se,-0.04603245481848717
bi,-0.04779593646526337
sv,-0.05499210208654404
is,-0.05812408775091171
gq,-0.06124337762594223
bq,-0.06456193327903748
nl,-0.06456193327903748
es,-0.06562335789203644
ro,-0.06641094386577606
vn,-0.06980942189693451
gy,-0.0705796331167221
tk,-0.07946747541427612
gw,-0.08022370934486389
do,-0.08190195262432098
ph,-0.08246569335460663
al,-0.08414075523614883
rw,-0.08932661265134811
mu,-0.09610559046268463
de,-0.09648387134075165
hk,-0.09886224567890167
by,-0.10098464041948318
st,-0.10193566977977753
kw,-0.1029575988650322
td,-0.1049935519695282
bb,-0.10507220774888992
mp,-0.1066979467868805
lv,-0.10875891149044037
ma,-0.10877479612827301
sx,-0.1090778112411499
hn,-0.10950666666030884
tj,-0.11238951236009598
am,-0.11249110847711563
na,-0.11548338830471039
im,-0.12087329477071762
tf,-0.12290084362030029
ws,-0.1239684447646141
tg,-0.1264466941356659
dm,-0.1396413892507553
kn,-0.1424761712551117
xk,-0.14903493225574493
gh,-0.15099681913852692
tz,-0.15331001579761505
za,-0.15451645851135254
bf,-0.1550798863172531
br,-0.15545132756233215
fk,-0.15563617646694183
tt,-0.16060760617256165
cv,-0.1618456393480301
pt,-0.16623923182487488
ug,-0.1676417589187622
as,-0.16895513236522675
bd,-0.17223376035690308
ai,-0.17763687670230865
bo,-0.18195800483226776
ch,-0.1873249113559723
qa,-0.19479410350322723
be,-0.20154142379760742
bs,-0.20544834434986115
tn,-0.20547199249267578
gm,-0.20932838320732117
eg,-0.21001645922660828
iq,-0.21815204620361328
ye,-0.22297462821006775
kh,-0.22424231469631195
ky,-0.22542612254619598
