Image,Similarity
er,0.45175135135650635
cr,0.4087822735309601
tl,0.39439162611961365
cn,0.3879786729812622
kh,0.38208723068237305
bh,0.37867802381515503
tr,0.36237674951553345
to,0.3591115176677704
kg,0.33620867133140564
tw,0.3297407031059265
bd,0.32673323154449463
wf,0.32425299286842346
mt,0.31352105736732483
gb-nir,0.30626267194747925
gb,0.30626267194747925
sh,0.30626267194747925
bm,0.29989051818847656
vn,0.2920152246952057
zw,0.28826695680618286
pt,0.28506165742874146
qa,0.28198158740997314
ge,0.27602308988571167
sc,0.27503103017807007
mk,0.2711885869503021
ma,0.26684197783470154
sz,0.26568567752838135
ws,0.26347851753234863
im,0.25794073939323425
me,0.25684213638305664
by,0.25166061520576477
hk,0.24515683948993683
es,0.23788249492645264
mw,0.23576119542121887
lr,0.22752980887889862
gb-eng,0.2244846522808075
sr,0.22308944165706635
ca,0.22234515845775604
jp,0.22180283069610596
tg,0.22103038430213928
gg,0.21903827786445618
gb-wls,0.21860544383525848
tn,0.2160668522119522
de,0.2148822844028473
dk,0.2128978669643402
ke,0.20394638180732727
sx,0.20298458635807037
id,0.1994687169790268
sg,0.1893138736486435
gh,0.18214748799800873
jm,0.17980989813804626
ug,0.17962826788425446
lk,0.1749257743358612
al,0.17378593981266022
gl,0.17374496161937714
ax,0.17262321710586548
pl,0.17252415418624878
nu,0.17203986644744873
cm,0.17141243815422058
np,0.1685541421175003
az,0.1681855022907257
mc,0.16784223914146423
ss,0.16624200344085693
om,0.16310226917266846
gi,0.15658977627754211
st,0.15599536895751953
at,0.15561163425445557
mg,0.14398828148841858
lv,0.14319950342178345
my,0.13727065920829773
ch,0.13257357478141785
ga,0.12943407893180847
ao,0.12934213876724243
ro,0.12818694114685059
cg,0.1264985203742981
je,0.12546031177043915
io,0.12151661515235901
pe,0.12147615849971771
bo,0.12081394344568253
td,0.1199251338839531
li,0.11925430595874786
eg,0.11685100197792053
bt,0.11546921730041504
ml,0.11513550579547882
ph,0.11475653946399689
hr,0.11251291632652283
bj,0.10944938659667969
na,0.10732828080654144
py,0.10553441196680069
gb-sct,0.10483989119529724
cl,0.10261142253875732
tk,0.10094510018825531
bq,0.09945148229598999
nl,0.09945148229598999
tj,0.09659896790981293
ir,0.09646549820899963
ht,0.09591493010520935
ad,0.09582686424255371
hu,0.09461022913455963
pg,0.09407709538936615
ye,0.0936407819390297
sd,0.09352564811706543
ls,0.09189947694540024
ne,0.09068448841571808
tt,0.08928274363279343
cy,0.08829078823328018
pf,0.08682114630937576
cf,0.08473482728004456
cd,0.08350858092308044
gy,0.08157439529895782
cu,0.08002052456140518
ar,0.07816611230373383
is,0.07481509447097778
md,0.07420377433300018
pw,0.07141781598329544
lu,0.07102632522583008
as,0.06978416442871094
iq,0.06798366457223892
kw,0.06724583357572556
rs,0.06721596419811249
mx,0.06485441327095032
sy,0.06380059570074081
bv,0.06172492727637291
no,0.06172492727637291
sj,0.06172492727637291
af,0.06066958233714104
ki,0.06009034439921379
km,0.05898645520210266
gq,0.05887318775057793
bs,0.058583155274391174
mu,0.05529101565480232
sv,0.053977977484464645
sn,0.05342644453048706
tc,0.0523022897541523
hn,0.05203861743211746
vg,0.04882827401161194
dm,0.047793593257665634
bl,0.04756731912493706
fr,0.04756731912493706
gf,0.04756731912493706
gp,0.04756731912493706
mf,0.04756731912493706
mq,0.04756731912493706
nc,0.04756731912493706
pm,0.04756731912493706
re,0.04756731912493706
yt,0.04756731912493706
vi,0.04742742329835892
pa,0.04647735506296158
be,0.04624057933688164
ky,0.04469090327620506
pn,0.04437864199280739
mp,0.04402792453765869
eh,0.041162632405757904
gs,0.03962171450257301
au,0.038583554327487946
hm,0.038583554327487946
il,0.03618094325065613
ni,0.03573457896709442
gn,0.035313680768013
ck,0.03389856219291687
fo,0.033113233745098114
cz,0.03281748294830322
fj,0.032138265669345856
ai,0.030561693012714386
bf,0.03045869618654251
it,0.029226582497358322
ie,0.028918083757162094
nz,0.028845282271504402
ba,0.028609417378902435
do,0.02851909026503563
cv,0.026901667937636375
bn,0.024300003424286842
se,0.021554263308644295
va,0.020737923681735992
kn,0.02056315913796425
ps,0.019722551107406616
fk,0.016707584261894226
in,0.01195787638425827
ae,0.010222133249044418
dj,0.009988220408558846
xk,0.006775463931262493
ms,0.005117974244058132
