Image,Similarity
sm,0.557634711265564
cy,0.5555026531219482
jp,0.5315495729446411
je,0.5283377766609192
gt,0.5242162942886353
nf,0.5222648978233337
ca,0.5159013867378235
fm,0.4951435923576355
ie,0.4949551224708557
ng,0.49248284101486206
vi,0.47196096181869507
mx,0.4700916111469269
ar,0.4559420347213745
gb-eng,0.36756378412246704
sg,0.3601132929325104
lc,0.35815683007240295
ci,0.34723201394081116
pe,0.3465189039707184
fj,0.3459107577800751
uy,0.34174835681915283
ge,0.3341887891292572
va,0.3330753445625305
gg,0.32893237471580505
um,0.32534146308898926
us,0.32534146308898926
it,0.31495046615600586
il,0.31405895948410034
fo,0.30827727913856506
gl,0.28756794333457947
mc,0.2870197892189026
gr,0.28479304909706116
pl,0.27079880237579346
bl,0.26627883315086365
fr,0.26627883315086365
gf,0.26627883315086365
gp,0.26627883315086365
mf,0.26627883315086365
mq,0.26627883315086365
nc,0.26627883315086365
pm,0.26627883315086365
re,0.26627883315086365
yt,0.26627883315086365
id,0.25842148065567017
mt,0.257245808839798
pa,0.2558682858943939
lr,0.25488191843032837
sk,0.24174198508262634
lu,0.24066773056983948
bw,0.23791062831878662
rs,0.23590347170829773
aw,0.2301701307296753
pf,0.22791875898838043
fi,0.2277921736240387
lb,0.22372394800186157
so,0.21701809763908386
sc,0.20957408845424652
dz,0.20910415053367615
gi,0.20620788633823395
vc,0.1953476369380951
si,0.19435161352157593
ru,0.1862085461616516
bt,0.18558324873447418
cl,0.18078212440013885
bn,0.17758558690547943
cz,0.1768050491809845
bg,0.17200987040996552
ni,0.1716882884502411
mp,0.17011535167694092
in,0.16470909118652344
tv,0.1626945286989212
cr,0.1488383412361145
at,0.1479588747024536
uz,0.1452038735151291
sl,0.14471833407878876
dj,0.1430366039276123
kz,0.1326591968536377
md,0.13157735764980316
io,0.12660419940948486
pw,0.1243327334523201
hu,0.12381657212972641
km,0.12323443591594696
ki,0.12152121961116791
mg,0.12064938247203827
ne,0.11894635856151581
do,0.117047518491745
sn,0.11259093880653381
sv,0.1111409068107605
dk,0.1104046106338501
ee,0.10981428623199463
py,0.10975806415081024
cd,0.1065131276845932
pr,0.10235956311225891
nu,0.10060913860797882
om,0.10048088431358337
ls,0.09169155359268188
cu,0.09031707048416138
co,0.0855829045176506
cf,0.0830666720867157
th,0.07877357304096222
bq,0.07751120626926422
nl,0.07751120626926422
hr,0.06762302666902542
ir,0.06559918820858002
br,0.05391285568475723
gb-sct,0.05348975956439972
gb-nir,0.052594203501939774
gb,0.052594203501939774
sh,0.052594203501939774
ec,0.047935254871845245
gw,0.047583386301994324
wf,0.04330507665872574
ba,0.042011987417936325
aq,0.03947119042277336
gb-wls,0.037447310984134674
ad,0.03661006689071655
np,0.035126522183418274
hn,0.03316017985343933
gq,0.026647862046957016
ml,0.01743258535861969
bb,0.01691480353474617
gn,0.015974141657352448
is,0.014643516391515732
se,0.013583052903413773
ga,0.007053889334201813
kw,0.006751146167516708
mm,0.0029030684381723404
bh,-0.0014919303357601166
my,-0.002061623614281416
bi,-0.004964884370565414
ro,-0.010210350155830383
er,-0.011455606669187546
az,-0.012224510312080383
tj,-0.017329588532447815
bv,-0.018646830692887306
no,-0.018646830692887306
sj,-0.018646830692887306
kp,-0.020175378769636154
ax,-0.02623632550239563
lv,-0.03578844293951988
gd,-0.03595627099275589
sr,-0.04001390188932419
tz,-0.041392792016267776
sx,-0.04912050440907478
za,-0.04970385134220123
sz,-0.05696363374590874
bm,-0.05734618753194809
ua,-0.059121958911418915
ve,-0.05957241728901863
td,-0.06068805605173111
mk,-0.060945816338062286
bj,-0.06474687159061432
as,-0.06818831712007523
lk,-0.07226812839508057
tr,-0.07320516556501389
ch,-0.07402987778186798
dm,-0.07537494599819183
mz,-0.07663258910179138
eg,-0.07664606720209122
lt,-0.07748737931251526
ye,-0.07842003554105759
cg,-0.07910478115081787
iq,-0.08279724419116974
mn,-0.08411377668380737
sd,-0.09019476920366287
ag,-0.09235669672489166
kg,-0.09361705929040909
bf,-0.09687541425228119
gy,-0.10063378512859344
kn,-0.1026543378829956
tf,-0.10482468456029892
am,-0.106468565762043
be,-0.1098230853676796
cn,-0.11011352390050888
cm,-0.11327037960290909
rw,-0.11543042212724686
to,-0.11870568990707397
ae,-0.11987628787755966
bo,-0.12219884991645813
gh,-0.12432174384593964
st,-0.12514260411262512
hk,-0.12643879652023315
eh,-0.13074076175689697
cv,-0.13125964999198914
