Image,Similarity
gq,0.9284446239471436
ir,0.8773738145828247
ae,0.819894552230835
at,0.7172999382019043
ps,0.680467426776886
hn,0.6678266525268555
uz,0.6545555591583252
sl,0.6318380832672119
eh,0.6280243396759033
hu,0.6189343929290771
bq,0.6098327040672302
nl,0.6098327040672302
ye,0.6057745218276978
as,0.6017775535583496
sv,0.5862610340118408
sd,0.5779858231544495
ni,0.5680762529373169
eg,0.5646275281906128
lv,0.56023770570755
iq,0.5216512680053711
sy,0.500800609588623
jo,0.4943019151687622
tj,0.4633449912071228
py,0.4522368907928467
ar,0.4423806369304657
ls,0.43955498933792114
hr,0.4364016056060791
pf,0.42257851362228394
in,0.39079153537750244
lb,0.38626828789711
aq,0.3552371859550476
ch,0.3537580370903015
il,0.35112789273262024
et,0.351073294878006
do,0.34527769684791565
ph,0.3424738347530365
dk,0.3397457003593445
ne,0.33631473779678345
bi,0.3314688205718994
gb-sct,0.3291887640953064
lu,0.31996965408325195
bt,0.3097536861896515
ht,0.3033072054386139
cg,0.30091747641563416
ga,0.28565168380737305
mm,0.262561559677124
pl,0.26166993379592896
hk,0.2541382908821106
rw,0.24505667388439178
cf,0.23885370790958405
cl,0.23378469049930573
ua,0.22503124177455902
tn,0.2223554253578186
la,0.21780693531036377
ie,0.2128918319940567
gr,0.20832791924476624
wf,0.20764552056789398
es,0.20224711298942566
ag,0.19508014619350433
ng,0.19504375755786896
gl,0.1895051896572113
dj,0.18824729323387146
fm,0.18580546975135803
bz,0.18529419600963593
so,0.1841999739408493
gi,0.1820259690284729
ci,0.16850027441978455
aw,0.1645907610654831
tk,0.16393734514713287
mo,0.15457046031951904
it,0.15062880516052246
st,0.14844536781311035
mt,0.14739170670509338
is,0.1437542885541916
mk,0.140512153506279
bl,0.1325559914112091
fr,0.1325559914112091
gf,0.1325559914112091
gp,0.1325559914112091
mf,0.1325559914112091
mq,0.1325559914112091
nc,0.1325559914112091
pm,0.1325559914112091
re,0.1325559914112091
yt,0.1325559914112091
bv,0.13094493746757507
no,0.13094493746757507
sj,0.13094493746757507
li,0.12907060980796814
gt,0.128088116645813
va,0.1265917718410492
kh,0.122805155813694
kg,0.12211642414331436
nu,0.12208971381187439
im,0.12069115787744522
bm,0.11276651918888092
lc,0.1119799017906189
vn,0.11135518550872803
jm,0.10773256421089172
az,0.10755481570959091
um,0.10737770050764084
us,0.10737770050764084
mp,0.10661018639802933
cz,0.10634000599384308
bs,0.10485197603702545
cv,0.10129328817129135
mh,0.10002753138542175
tr,0.0985553041100502
pr,0.09517578780651093
tl,0.08879488706588745
pt,0.08573766052722931
bo,0.08488334715366364
lr,0.08472372591495514
lk,0.0823216438293457
sg,0.07950156182050705
si,0.07724790275096893
af,0.07687927782535553
se,0.07552017271518707
je,0.07129332423210144
pw,0.06901002675294876
cy,0.06879500299692154
ec,0.06870412826538086
kp,0.06724583357572556
dz,0.06684368848800659
bj,0.06662842631340027
ml,0.06374840438365936
pa,0.06369677186012268
me,0.06011771410703659
gn,0.059303004294633865
mc,0.056407153606414795
gb-nir,0.056216444820165634
gb,0.056216444820165634
sh,0.056216444820165634
nf,0.05610485374927521
gy,0.04900640249252319
ro,0.04629512503743172
ws,0.045404598116874695
tw,0.037345968186855316
fj,0.03320543095469475
mr,0.031833164393901825
ad,0.0289011150598526
sn,0.027443721890449524
bn,0.02736334130167961
td,0.0265074223279953
io,0.02643696591258049
de,0.02246905118227005
cn,0.02245316281914711
br,0.02145138941705227
my,0.02132231369614601
mx,0.02123730257153511
to,0.018767990171909332
cm,0.012360755354166031
be,0.010333731770515442
bh,0.009017696604132652
co,0.008859090507030487
dm,0.008238324895501137
cx,0.007255483418703079
id,0.007251122035086155
kr,0.006751146167516708
ax,0.002988368272781372
bd,0.002417799085378647
xk,0.0004672070499509573
kz,-0.0007277739932760596
pe,-0.0019130110740661621
sb,-0.0025994963943958282
cu,-0.0050604273565113544
uy,-0.012103661894798279
ss,-0.020709145814180374
gu,-0.02475648745894432
ug,-0.025160446763038635
km,-0.02612016722559929
np,-0.02706049382686615
kn,-0.03073197603225708
vc,-0.032595083117485046
ki,-0.03341551125049591
tt,-0.033796682953834534
sz,-0.03422953933477402
sk,-0.035168133676052094
md,-0.03578628599643707
vi,-0.03592781350016594
gm,-0.03988799452781677
na,-0.040805183351039886
gh,-0.043018657714128494
er,-0.04432572424411774
pk,-0.04629826545715332
ge,-0.06556040048599243
nr,-0.06611495465040207
sa,-0.06655643880367279
sm,-0.07416621595621109
gg,-0.0754389613866806
cd,-0.076437808573246
ba,-0.07726721465587616
gd,-0.08002881705760956
ma,-0.08029840886592865
tg,-0.08546817302703857
mn,-0.08753848820924759
tv,-0.09358254075050354
ke,-0.0988030880689621
cw,-0.09931236505508423
jp,-0.1029575988650322
mv,-0.10427547991275787
gb-eng,-0.10576634109020233
ca,-0.10696171969175339
tf,-0.1123526468873024
bg,-0.11786295473575592
al,-0.11943135410547256
qa,-0.11964108794927597
ai,-0.11971540749073029
fo,-0.12984834611415863
bb,-0.1327802687883377
zm,-0.13295947015285492
fk,-0.13988104462623596
za,-0.14006009697914124
ve,-0.14180724322795868
cc,-0.14181388914585114
sc,-0.1433345526456833
sx,-0.1558331996202469
mw,-0.16400477290153503
eu,-0.16592076420783997
tc,-0.16934774816036224
ms,-0.17054922878742218
sr,-0.17272932827472687
am,-0.18019472062587738
pn,-0.18638728559017181
mg,-0.19018089771270752
ru,-0.19255882501602173
mu,-0.19293591380119324
ky,-0.19661302864551544
gs,-0.1982119083404541
ck,-0.1994796246290207
tm,-0.20256641507148743
cr,-0.21034520864486694
au,-0.21316789090633392
hm,-0.21316789090633392
vg,-0.21570876240730286
gw,-0.2170391082763672
mz,-0.21727024018764496
nz,-0.2179231494665146
rs,-0.22675403952598572
gb-wls,-0.22731825709342957
bw,-0.23222997784614563
pg,-0.2464776188135147
tz,-0.2684585154056549
zw,-0.2724761664867401
ao,-0.28448286652565
fi,-0.3042019009590149
lt,-0.33551281690597534
om,-0.3631446957588196
by,-0.3744961619377136
bf,-0.38448524475097656
th,-0.454864501953125
ee,-0.5073137879371643
ly,-0.5096079707145691
vu,-0.5112321376800537
