Image,Similarity
so,0.6684987545013428
fm,0.5466064810752869
ni,0.5409960150718689
pw,0.5183409452438354
xk,0.4946734607219696
mo,0.49126937985420227
tv,0.4850035011768341
sv,0.4631444811820984
sl,0.4544461965560913
cx,0.44972556829452515
ar,0.44786226749420166
aw,0.4477302134037018
bs,0.4335540235042572
gb-sct,0.43009114265441895
uz,0.42005085945129395
cd,0.41721877455711365
hn,0.40352725982666016
bw,0.3874295651912689
gt,0.37567615509033203
dj,0.3677464723587036
ga,0.3611130118370056
gu,0.35480114817619324
lc,0.353377103805542
fj,0.35144364833831787
eu,0.35102444887161255
sb,0.34849831461906433
gr,0.3445296287536621
sm,0.3422316610813141
mp,0.33972835540771484
il,0.33409738540649414
ls,0.33402612805366516
nr,0.3335634469985962
sa,0.32266947627067566
rw,0.30765312910079956
aq,0.2985144555568695
mh,0.29458969831466675
ng,0.2743496596813202
uy,0.2734590470790863
cv,0.26618894934654236
az,0.25850650668144226
fi,0.23151949048042297
tm,0.22605085372924805
bz,0.22460632026195526
mn,0.22354429960250854
se,0.21986950933933258
nf,0.21741172671318054
ee,0.20571334660053253
cu,0.20113521814346313
tf,0.19596359133720398
lu,0.19516032934188843
dz,0.189206063747406
cw,0.18772904574871063
ae,0.1840497851371765
cy,0.17502787709236145
ps,0.17303703725337982
as,0.16145822405815125
eh,0.15949563682079315
tz,0.1558164805173874
gy,0.15345995128154755
ie,0.15276947617530823
io,0.14101621508598328
cc,0.1353393942117691
ck,0.13325895369052887
kr,0.1326591968536377
ms,0.1300317794084549
is,0.12767904996871948
fk,0.12375818192958832
nz,0.11849123239517212
it,0.11641095578670502
pk,0.11355262994766235
ai,0.10856905579566956
au,0.10667848587036133
hm,0.10667848587036133
fo,0.10543419420719147
jm,0.10366085916757584
cr,0.10001644492149353
mx,0.09892036020755768
pn,0.09569554030895233
ky,0.09513229876756668
ci,0.09224331378936768
na,0.08906902372837067
vg,0.08603687584400177
gs,0.08557726442813873
tc,0.08535926789045334
pa,0.08433589339256287
jo,0.0797603577375412
dm,0.06688360124826431
bq,0.06649668514728546
nl,0.06649668514728546
py,0.06402560323476791
ba,0.06301231682300568
hr,0.052620939910411835
vi,0.049753978848457336
za,0.048203982412815094
br,0.045639343559741974
st,0.045100897550582886
ca,0.033738873898983
bl,0.03186163678765297
fr,0.03186163678765297
gf,0.03186163678765297
gp,0.03186163678765297
mf,0.03186163678765297
mq,0.03186163678765297
nc,0.03186163678765297
pm,0.03186163678765297
re,0.03186163678765297
yt,0.03186163678765297
kh,0.029198290780186653
ss,0.02409495785832405
jp,0.0145183727145195
je,0.008929118514060974
kw,-0.0007277739932760596
do,-0.002863135188817978
ax,-0.003890475258231163
sr,-0.004703264683485031
bb,-0.0076711177825927734
um,-0.013285525143146515
us,-0.013285525143146515
bd,-0.015748679637908936
ua,-0.017986133694648743
ne,-0.01854945346713066
hu,-0.02547832950949669
gb-eng,-0.027220025658607483
mr,-0.028926149010658264
km,-0.03204275667667389
om,-0.039967432618141174
np,-0.041295669972896576
in,-0.043718308210372925
gg,-0.04630640149116516
mg,-0.04635811224579811
ir,-0.046383101493120193
tj,-0.04701978713274002
zm,-0.04866880178451538
gw,-0.051752522587776184
bg,-0.05361619591712952
th,-0.06645332276821136
gb-nir,-0.07356405258178711
gb,-0.07356405258178711
sh,-0.07356405258178711
cf,-0.08295021951198578
tk,-0.08595399558544159
et,-0.09125321358442307
cz,-0.10258064419031143
sd,-0.10376590490341187
ru,-0.10399815440177917
mt,-0.10855843871831894
ye,-0.11014474928379059
bf,-0.11096559464931488
sg,-0.11228619515895844
lr,-0.11301812529563904
bi,-0.11387430876493454
si,-0.11444155126810074
ki,-0.11468471586704254
pr,-0.11496458947658539
cg,-0.12103131413459778
eg,-0.12123812735080719
sy,-0.12147422879934311
iq,-0.12709058821201324
cl,-0.12725913524627686
er,-0.12891703844070435
va,-0.12899886071681976
sx,-0.13173708319664001
gl,-0.1323797106742859
ht,-0.13275931775569916
mc,-0.1343616247177124
gq,-0.138453409075737
vu,-0.14093872904777527
sz,-0.1434052288532257
ag,-0.14344382286071777
ke,-0.1465347409248352
pl,-0.14793185889720917
ph,-0.15310348570346832
ge,-0.1531515270471573
my,-0.1548168808221817
bj,-0.1626299023628235
kp,-0.1652521789073944
