Image,Similarity
mv,0.5792236328125
ch,0.4162091016769409
hk,0.40702497959136963
im,0.38670843839645386
sy,0.38491469621658325
tn,0.37743139266967773
mm,0.3707963228225708
me,0.36095377802848816
gu,0.3598153293132782
ht,0.35436496138572693
lv,0.34951257705688477
sd,0.33893078565597534
ye,0.32525014877319336
at,0.3246796429157257
mr,0.31556642055511475
vn,0.3130809962749481
am,0.3059201240539551
af,0.3023146390914917
be,0.29819709062576294
ly,0.2904515862464905
iq,0.27831780910491943
bz,0.2716296315193176
eg,0.2674248218536377
bi,0.2628682255744934
qa,0.26087260246276855
ao,0.25788888335227966
ag,0.23626138269901276
dk,0.23490861058235168
bq,0.23347124457359314
nl,0.23347124457359314
hu,0.22728395462036133
pt,0.22430020570755005
gm,0.2222532331943512
tr,0.21825407445430756
bv,0.21801242232322693
no,0.21801242232322693
sj,0.21801242232322693
ve,0.21792739629745483
kw,0.21780693531036377
mo,0.21435964107513428
ws,0.21274630725383759
ec,0.21000589430332184
jo,0.20786428451538086
kg,0.20412181317806244
pr,0.20176902413368225
cn,0.2003249078989029
ma,0.1969326287508011
do,0.19532501697540283
ug,0.19480803608894348
co,0.19423627853393555
ps,0.19410911202430725
cx,0.19073887169361115
gq,0.19012802839279175
tl,0.1879255175590515
bl,0.18580977618694305
fr,0.18580977618694305
gf,0.18580977618694305
gp,0.18580977618694305
mf,0.18580977618694305
mq,0.18580977618694305
nc,0.18580977618694305
pm,0.18580977618694305
re,0.18580977618694305
yt,0.18580977618694305
ae,0.17514698207378387
td,0.17405378818511963
li,0.17103981971740723
ro,0.1668945550918579
mk,0.16637879610061646
as,0.1625056266784668
al,0.15898564457893372
tw,0.15788677334785461
gd,0.1559441089630127
tj,0.15278807282447815
es,0.1456727534532547
pg,0.14054188132286072
si,0.14050915837287903
py,0.13878023624420166
tt,0.13620005548000336
wf,0.1351017951965332
et,0.13432082533836365
ad,0.12957289814949036
lt,0.12722280621528625
bm,0.12581512331962585
it,0.12564125657081604
eh,0.12387853860855103
aq,0.12270619720220566
hn,0.12132930755615234
xk,0.12042232602834702
ir,0.11320094764232635
pk,0.10383851081132889
nz,0.10367967933416367
cg,0.1021026074886322
gn,0.10137085616588593
ck,0.09669068455696106
au,0.09529786556959152
hm,0.09529786556959152
bj,0.08776430785655975
bf,0.0868247002363205
nr,0.08533430844545364
to,0.08483752608299255
sx,0.08332984149456024
ml,0.08221641182899475
cm,0.08213923871517181
vu,0.08081167936325073
za,0.07911127060651779
gs,0.0780298188328743
ph,0.07711809128522873
cz,0.07616487890481949
so,0.07541650533676147
ki,0.07485172152519226
lu,0.06981009244918823
eu,0.06962993741035461
bb,0.06343615055084229
cl,0.0621904656291008
ms,0.06004886329174042
bt,0.05405033379793167
ci,0.053815487772226334
vg,0.052078332751989365
hr,0.04974733293056488
is,0.04967568442225456
ky,0.04458487778902054
pn,0.03693569824099541
bh,0.03689074143767357
ru,0.035799480974674225
sn,0.03289029747247696
cc,0.03240027278661728
tc,0.03222222626209259
lk,0.03134729713201523
pf,0.026582125574350357
mh,0.02441508322954178
lb,0.02319294959306717
np,0.02002384141087532
fk,0.017836561426520348
rs,0.017386872321367264
bg,0.01455647312104702
sk,0.01352262869477272
mn,0.011292781680822372
ba,0.010846803896129131
ai,0.009580902755260468
id,0.004207789897918701
mw,0.00206887349486351
na,0.0010795320849865675
my,-0.0005746531533077359
by,-0.0014203991740942001
pa,-0.002521091140806675
de,-0.0027428604662418365
ss,-0.003592854365706444
mp,-0.005472656339406967
io,-0.008570841513574123
bo,-0.009928862564265728
gl,-0.011464323848485947
mt,-0.013042181730270386
mc,-0.014928385615348816
mu,-0.015732882544398308
pl,-0.017116114497184753
tf,-0.017637193202972412
sb,-0.01823241077363491
in,-0.0211489275097847
gr,-0.02177589386701584
tk,-0.02349502593278885
sz,-0.02449766919016838
um,-0.02657373435795307
us,-0.02657373435795307
bd,-0.02722497098147869
sa,-0.028150901198387146
lr,-0.028953934088349342
ng,-0.03139863535761833
cf,-0.03431686386466026
sl,-0.038096558302640915
zm,-0.041193194687366486
sg,-0.04492909833788872
pe,-0.04533998668193817
ne,-0.04569603130221367
bn,-0.047358203679323196
ie,-0.05455915629863739
sv,-0.05588768422603607
km,-0.058973025530576706
gb-sct,-0.059085115790367126
kh,-0.06020679324865341
ua,-0.06183776259422302
ni,-0.0667896419763565
ke,-0.07033241540193558
tv,-0.0707341805100441
gh,-0.07164192199707031
gw,-0.07429857552051544
cv,-0.07436655461788177
md,-0.07483566552400589
tm,-0.0803370550274849
uz,-0.08100372552871704
cw,-0.08324933797121048
gb-wls,-0.08760977536439896
th,-0.09122315794229507
aw,-0.09738325327634811
nu,-0.09757329523563385
bs,-0.09968511760234833
dm,-0.10989280790090561
gt,-0.1109207347035408
kn,-0.11533263325691223
mx,-0.11756817251443863
fj,-0.12719182670116425
ax,-0.13700085878372192
mg,-0.1394958794116974
fi,-0.14292828738689423
se,-0.14369438588619232
zw,-0.14391057193279266
gi,-0.14933253824710846
va,-0.15497195720672607
dj,-0.15575642883777618
dz,-0.15675541758537292
kp,-0.1734011173248291
cd,-0.1792832612991333
uy,-0.18591080605983734
vc,-0.18684697151184082
fm,-0.1873774528503418
fo,-0.1902777999639511
gb-nir,-0.19049802422523499
gb,-0.19049802422523499
sh,-0.19049802422523499
mz,-0.19145187735557556
kz,-0.19481155276298523
tz,-0.1985408216714859
jm,-0.20210237801074982
ls,-0.20361599326133728
az,-0.20399098098278046
rw,-0.21224451065063477
ar,-0.21414029598236084
cu,-0.22005344927310944
ge,-0.22538895905017853
tg,-0.23583844304084778
pw,-0.23740515112876892
om,-0.24926581978797913
je,-0.25015193223953247
gg,-0.2515614628791809
gy,-0.2559637427330017
bw,-0.257575660943985
sc,-0.2576461136341095
ee,-0.2656077742576599
ga,-0.2695273458957672
er,-0.27011609077453613
lc,-0.2789950668811798
sr,-0.2846388518810272
vi,-0.29833048582077026
il,-0.3039152920246124
gb-eng,-0.3043939471244812
kr,-0.3181641101837158
cy,-0.3268410265445709
nf,-0.33465877175331116
br,-0.3367791771888733
cr,-0.34737396240234375
sm,-0.3596749007701874
ca,-0.38530951738357544
jp,-0.39073577523231506
st,-0.40367186069488525
