Image,Similarity
fm,0.6029683351516724
ar,0.551518976688385
gt,0.5430752635002136
sm,0.5280306935310364
cy,0.5116649866104126
nf,0.505723774433136
aw,0.501868724822998
ca,0.4548143446445465
jp,0.43921685218811035
ng,0.4196576774120331
vi,0.4133738577365875
gr,0.40721210837364197
so,0.38487333059310913
dj,0.3756580948829651
je,0.3669983744621277
gb-eng,0.3660394251346588
il,0.36323368549346924
ie,0.35826459527015686
kr,0.35815683007240295
fo,0.3542923629283905
kz,0.353377103805542
pw,0.34800511598587036
fi,0.3448253870010376
bw,0.34446561336517334
fj,0.34140267968177795
gg,0.3235820531845093
si,0.320980966091156
uy,0.31870731711387634
uz,0.3182793855667114
bg,0.31717512011528015
ru,0.3021205961704254
ni,0.2959350347518921
pl,0.2943824529647827
gb-sct,0.2919234037399292
ls,0.2916908860206604
mx,0.2892012298107147
rw,0.2863609194755554
ua,0.28322267532348633
cz,0.2632909119129181
sk,0.2548769414424896
va,0.25370240211486816
tv,0.2524721920490265
dz,0.24876132607460022
cl,0.23775123059749603
sv,0.2317524552345276
cu,0.2300865799188614
ge,0.22837847471237183
lb,0.22728554904460907
cf,0.2212778776884079
um,0.2201925665140152
us,0.2201925665140152
ee,0.2085086852312088
ir,0.2077530175447464
cr,0.20728799700737
ci,0.20680072903633118
gl,0.20518559217453003
lr,0.17634204030036926
mt,0.17467626929283142
mp,0.1731685996055603
it,0.16682305932044983
az,0.16662141680717468
sl,0.16520899534225464
th,0.1641518771648407
xk,0.16244827210903168
gi,0.16095073521137238
io,0.1568787693977356
pf,0.1564900279045105
bi,0.15276898443698883
bn,0.1480664163827896
hn,0.14306095242500305
sg,0.13252539932727814
cd,0.12969642877578735
pr,0.12831154465675354
pa,0.1130961999297142
kw,0.1119799017906189
aq,0.10525397956371307
in,0.09710747003555298
nu,0.089814193546772
lu,0.08652608096599579
bb,0.08623117208480835
bt,0.0862077921628952
gq,0.08490907400846481
bl,0.07999666780233383
fr,0.07999666780233383
gf,0.07999666780233383
gp,0.07999666780233383
mf,0.07999666780233383
mq,0.07999666780233383
nc,0.07999666780233383
pm,0.07999666780233383
re,0.07999666780233383
yt,0.07999666780233383
ne,0.07652446627616882
rs,0.07185764610767365
cv,0.07036188244819641
om,0.06648619472980499
ph,0.06604552268981934
mc,0.05985855311155319
pe,0.05902634561061859
mz,0.05481488257646561
at,0.05281456932425499
do,0.05222837254405022
gb-nir,0.04806097596883774
gb,0.04806097596883774
sh,0.04806097596883774
sn,0.04092327505350113
hu,0.03838004171848297
my,0.032394975423812866
vc,0.02897406741976738
km,0.027782686054706573
as,0.02305326610803604
sb,0.020380841568112373
se,0.012170400470495224
gd,0.012040827423334122
ad,0.009834857657551765
cg,0.005534425377845764
tk,-0.0004100017249584198
md,-0.004255011677742004
mg,-0.005845934152603149
tj,-0.006211802363395691
gn,-0.00803506001830101
ae,-0.012595027685165405
np,-0.01319362223148346
ga,-0.014795515686273575
sc,-0.016891535371541977
hr,-0.017572298645973206
py,-0.027849867939949036
ax,-0.028849735856056213
tf,-0.02979118376970291
ml,-0.03197580203413963
is,-0.03268297761678696
id,-0.03296864777803421
gy,-0.03445560485124588
bq,-0.035219743847846985
nl,-0.035219743847846985
sr,-0.038718901574611664
kp,-0.042268991470336914
ro,-0.04672916606068611
eu,-0.04722607508301735
mh,-0.05043981969356537
bz,-0.053277984261512756
cw,-0.05476684868335724
eh,-0.0658758133649826
br,-0.06901545822620392
gb-wls,-0.07160839438438416
bs,-0.07356002926826477
ht,-0.07452777028083801
mr,-0.08276890218257904
ps,-0.09391527622938156
fk,-0.09502160549163818
bv,-0.09552042931318283
no,-0.09552042931318283
sj,-0.09552042931318283
na,-0.096860371530056
mo,-0.09868364781141281
td,-0.09939243644475937
st,-0.10010283440351486
dk,-0.10180611908435822
ck,-0.1024494543671608
bm,-0.10511965304613113
kn,-0.10829957574605942
wf,-0.10913696885108948
tz,-0.10915224999189377
mn,-0.11033055931329727
bh,-0.11220575869083405
bj,-0.11386261880397797
dm,-0.11615824699401855
ai,-0.12080401182174683
eg,-0.12225393205881119
am,-0.1244959682226181
sa,-0.12766101956367493
za,-0.1290256381034851
