Image,Similarity
gg,0.5060626268386841
cy,0.4538500905036926
je,0.43174976110458374
ca,0.4254050850868225
sg,0.4018705487251282
gb-eng,0.4005357027053833
ie,0.3979242444038391
jp,0.39117512106895447
ge,0.3888133764266968
va,0.37708383798599243
gt,0.37336859107017517
pl,0.37026524543762207
bt,0.36586514115333557
pf,0.36516308784484863
vi,0.35913771390914917
fo,0.3502079248428345
ng,0.3484131097793579
gl,0.34814953804016113
lb,0.3405115604400635
mt,0.33608686923980713
mc,0.3357079029083252
ar,0.33507174253463745
sm,0.3343326151371002
pe,0.3289070725440979
id,0.32723468542099
io,0.32498490810394287
bi,0.31089580059051514
ci,0.3084667921066284
at,0.30485010147094727
nf,0.30308616161346436
dk,0.3002334237098694
mx,0.30003437399864197
wf,0.28779536485671997
it,0.28661105036735535
fm,0.28439199924468994
bh,0.27776774764060974
bl,0.2748430371284485
fr,0.2748430371284485
gf,0.2748430371284485
gp,0.2748430371284485
mf,0.2748430371284485
mq,0.2748430371284485
nc,0.2748430371284485
pm,0.2748430371284485
re,0.2748430371284485
yt,0.2748430371284485
cl,0.27270564436912537
uy,0.2646968364715576
nu,0.25763410329818726
kg,0.2556840181350708
kr,0.25488191843032837
cz,0.25061044096946716
tj,0.25033652782440186
hk,0.24809852242469788
mk,0.2405087947845459
fj,0.2391902506351471
ir,0.2366650402545929
il,0.23005080223083496
kp,0.22752980887889862
um,0.22671447694301605
us,0.22671447694301605
rs,0.22653061151504517
bn,0.22530928254127502
sc,0.22048740088939667
sk,0.2182590812444687
lu,0.21807783842086792
mm,0.21755652129650116
fi,0.21730947494506836
ki,0.21547511219978333
ch,0.2142390012741089
tr,0.2134610265493393
im,0.20022833347320557
km,0.1976553201675415
gi,0.1974349021911621
pa,0.19536903500556946
tn,0.19352661073207855
cn,0.19021455943584442
hu,0.18951816856861115
my,0.18791308999061584
es,0.18783330917358398
lc,0.17634204030036926
bm,0.16245457530021667
si,0.16215087473392487
gr,0.15205997228622437
ru,0.15033672749996185
tl,0.14915117621421814
pr,0.148054301738739
gb-sct,0.14408141374588013
sn,0.14158566296100616
vn,0.1410200297832489
cr,0.14031124114990234
cg,0.13463568687438965
bg,0.1287633180618286
ml,0.12833473086357117
om,0.1277393102645874
vc,0.12527355551719666
gb-nir,0.12522293627262115
gb,0.12522293627262115
sh,0.12522293627262115
bq,0.12312884628772736
nl,0.12312884628772736
gn,0.12212490290403366
in,0.12008567899465561
ad,0.11929459869861603
ro,0.11875632405281067
gq,0.11725317686796188
md,0.11721902340650558
do,0.1144682765007019
py,0.11328703910112381
cf,0.11291488260030746
dz,0.10983734577894211
lv,0.10595694184303284
ec,0.10563764721155167
ne,0.1010255217552185
so,0.09005729109048843
gd,0.08710603415966034
mg,0.08642599731683731
ls,0.0855519250035286
hr,0.08529490232467651
co,0.08522114902734756
kw,0.08472372591495514
as,0.0832606852054596
td,0.08234941214323044
to,0.07810266315937042
dj,0.07506708800792694
cu,0.06993168592453003
er,0.0648372620344162
aw,0.0647280216217041
tw,0.06255414336919785
ni,0.058630820363759995
be,0.05813520401716232
gb-wls,0.05620552599430084
lk,0.05557005852460861
sl,0.05461577698588371
th,0.05108468234539032
cm,0.04979699105024338
pw,0.04469992220401764
bj,0.03571236878633499
me,0.033158078789711
hn,0.029661819338798523
ba,0.028834998607635498
kh,0.025480598211288452
uz,0.02234777994453907
aq,0.020216241478919983
ye,0.019136615097522736
az,0.018335949629545212
ma,0.01608940213918686
ua,0.013811983168125153
sd,0.011816643178462982
np,0.010398253798484802
pt,0.0036149099469184875
mz,0.0015625208616256714
ee,0.0014946646988391876
eg,-0.0005833376199007034
sv,-0.002027653157711029
cd,-0.004740335047245026
ss,-0.00832007359713316
bw,-0.008466867730021477
ga,-0.01187305711209774
ve,-0.013756899163126945
al,-0.018998347222805023
cv,-0.02481425553560257
mp,-0.02559822052717209
sz,-0.025774210691452026
iq,-0.026934489607810974
bz,-0.027501963078975677
la,-0.028953934088349342
gw,-0.02916688099503517
tv,-0.029289469122886658
bb,-0.029491007328033447
ws,-0.030765783041715622
tk,-0.033285826444625854
sx,-0.03733035549521446
gy,-0.040523841977119446
am,-0.04088451340794563
lt,-0.04411379247903824
tt,-0.047384101897478104
sy,-0.04891457408666611
mu,-0.05305393040180206
by,-0.05352228879928589
se,-0.05543812736868858
bo,-0.05584326013922691
de,-0.05832871049642563
gm,-0.05891884118318558
ax,-0.0589972659945488
ag,-0.06333665549755096
ug,-0.06569459289312363
rw,-0.06588520109653473
af,-0.06715415418148041
ph,-0.07030493021011353
tg,-0.07843343913555145
gh,-0.08028668165206909
st,-0.08178317546844482
ke,-0.08210380375385284
za,-0.08814667165279388
bf,-0.08955569565296173
sr,-0.09329821914434433
qa,-0.09450039267539978
na,-0.09799758344888687
ae,-0.1045440211892128
ht,-0.11181017756462097
kz,-0.11301812529563904
ps,-0.12367291748523712
tf,-0.12913812696933746
bv,-0.130628302693367
no,-0.130628302693367
sj,-0.130628302693367
bd,-0.13896313309669495
zw,-0.14258956909179688
xk,-0.14734292030334473
eh,-0.14837846159934998
bs,-0.15697956085205078
li,-0.15764179825782776
kn,-0.1606120765209198
et,-0.161065936088562
jo,-0.1684080958366394
vu,-0.18142208456993103
jm,-0.18291807174682617
ai,-0.1840466558933258
fk,-0.19059361517429352
mh,-0.1908005177974701
mn,-0.19418571889400482
is,-0.1945844143629074
ck,-0.19756704568862915
ao,-0.19900590181350708
pg,-0.20146706700325012
mv,-0.20261147618293762
mw,-0.20699352025985718
tc,-0.21055185794830322
ky,-0.21385103464126587
pn,-0.21901066601276398
br,-0.2266795039176941
ms,-0.2276758998632431
gs,-0.2290569245815277
vg,-0.23351584374904633
au,-0.2381589412689209
hm,-0.2381589412689209
mr,-0.23879562318325043
cw,-0.24781173467636108
nz,-0.25325748324394226
tz,-0.269205778837204
sb,-0.27837491035461426
mo,-0.2872401773929596
nr,-0.2889208197593689
pk,-0.2899453938007355
cx,-0.3106744587421417
dm,-0.31239643692970276
gu,-0.3365650475025177
eu,-0.338531494140625
ly,-0.3453408181667328
sa,-0.3799152970314026
tm,-0.4182581305503845
zm,-0.4195004105567932
cc,-0.4757140874862671
