Image,Similarity
sv,0.718980073928833
ni,0.6990637183189392
uz,0.6754704713821411
hn,0.6675965189933777
eh,0.6193788647651672
ps,0.6093107461929321
tj,0.5922815799713135
sl,0.5613656044006348
ae,0.5551555156707764
ar,0.5541888475418091
il,0.5455776453018188
as,0.5402076840400696
bq,0.5101734399795532
nl,0.5101734399795532
hu,0.5031641721725464
ne,0.47131460905075073
gb-sct,0.46436914801597595
hr,0.4580516219139099
py,0.4575417637825012
lu,0.4558463394641876
dj,0.4556317627429962
eg,0.4469783902168274
ir,0.4408777952194214
kw,0.43955498933792114
ye,0.4379696547985077
jo,0.4343392252922058
sd,0.4262181520462036
in,0.4139689803123474
iq,0.3973948657512665
aq,0.38442087173461914
ss,0.3612648844718933
fm,0.35566815733909607
pf,0.34067994356155396
kz,0.33402612805366516
sy,0.33088260889053345
rw,0.3267734944820404
gq,0.32535552978515625
so,0.32496610283851624
st,0.3155788779258728
ga,0.30550241470336914
cv,0.30247625708580017
lb,0.3001958727836609
aw,0.2977212369441986
lc,0.2916908860206604
bs,0.291387140750885
az,0.28988826274871826
pw,0.2787236273288727
tv,0.26517924666404724
at,0.2636773884296417
fj,0.26125890016555786
bo,0.24727720022201538
sb,0.24324344098567963
gh,0.23836255073547363
cf,0.23378407955169678
gr,0.22582779824733734
jm,0.22540907561779022
mh,0.22304800152778625
bz,0.21783244609832764
cu,0.21781262755393982
do,0.21691446006298065
lv,0.2128094583749771
se,0.20016247034072876
is,0.19562005996704102
nf,0.1881209909915924
gt,0.1880623698234558
kh,0.18598639965057373
mp,0.18103933334350586
uy,0.18032971024513245
ke,0.17847900092601776
io,0.17333345115184784
nr,0.17110611498355865
sm,0.1694479137659073
cd,0.16863217949867249
xk,0.16707743704319
bi,0.16323184967041016
br,0.1630348414182663
gb-nir,0.16149893403053284
gb,0.16149893403053284
sh,0.16149893403053284
ai,0.16111591458320618
sa,0.15862292051315308
tf,0.15483027696609497
ng,0.153266042470932
mo,0.1522078812122345
fk,0.13696056604385376
cw,0.13027173280715942
ie,0.12761971354484558
ua,0.12321845442056656
mn,0.12239199876785278
ph,0.12197373807430267
eu,0.12025849521160126
gy,0.11836248636245728
dz,0.11547909677028656
na,0.1124550849199295
tc,0.10695642232894897
pa,0.10236901044845581
ms,0.09866535663604736
cy,0.09372803568840027
gu,0.09345728158950806
kp,0.09189947694540024
kr,0.09169155359268188
dm,0.08559227734804153
lr,0.0855519250035286
pn,0.08181410282850266
ky,0.07786176353693008
mg,0.07658030092716217
sx,0.07273505628108978
ax,0.07101446390151978
gm,0.07065742462873459
ck,0.07018435746431351
dk,0.07013244181871414
np,0.05914745852351189
au,0.05491849407553673
hm,0.05491849407553673
gs,0.05356118083000183
bd,0.05301734805107117
nz,0.0510040745139122
cr,0.05006545037031174
vg,0.04963823780417442
et,0.04762474074959755
ci,0.046557724475860596
pl,0.044486820697784424
ht,0.040613822638988495
tk,0.03804975748062134
mx,0.03452946990728378
sg,0.027981460094451904
bw,0.02699580416083336
mt,0.02561727911233902
cl,0.025151049718260765
it,0.022834885865449905
je,0.02265327423810959
cx,0.02089710906147957
gi,0.01161624863743782
mw,0.010779902338981628
mc,-0.0021500233560800552
tm,-0.0024001039564609528
by,-0.013546187430620193
mu,-0.01403963565826416
pr,-0.01818220689892769
bl,-0.020157113671302795
fr,-0.020157113671302795
gf,-0.020157113671302795
gp,-0.020157113671302795
mf,-0.020157113671302795
mq,-0.020157113671302795
nc,-0.020157113671302795
pm,-0.020157113671302795
re,-0.020157113671302795
yt,-0.020157113671302795
va,-0.02291613072156906
cc,-0.02429625391960144
ca,-0.025814520195126534
tg,-0.028050288558006287
za,-0.031421810388565063
um,-0.03385550528764725
us,-0.03385550528764725
gb-eng,-0.03440319746732712
gl,-0.03945859149098396
jp,-0.04274940490722656
pk,-0.04437323287129402
bt,-0.04479113966226578
gb-wls,-0.04595518857240677
nu,-0.047735217958688736
fo,-0.05017043650150299
km,-0.05021170526742935
ge,-0.052516937255859375
id,-0.05464761704206467
my,-0.059729427099227905
bf,-0.061085764318704605
er,-0.0642528235912323
ch,-0.06481605768203735
vi,-0.06506067514419556
gg,-0.06509506702423096
ki,-0.06645718961954117
ag,-0.06831507384777069
om,-0.06920050829648972
bm,-0.07035233080387115
bv,-0.07285820692777634
no,-0.07285820692777634
sj,-0.07285820692777634
sc,-0.07425475120544434
tz,-0.0787108987569809
mr,-0.08016296476125717
af,-0.08649600297212601
gw,-0.08910313248634338
sz,-0.09322674572467804
es,-0.09523310512304306
wf,-0.09531091898679733
pe,-0.09885494410991669
bn,-0.10013265907764435
ba,-0.10217361897230148
cz,-0.10944811999797821
cg,-0.11402741074562073
de,-0.11543168127536774
mz,-0.11620619893074036
tt,-0.1268777996301651
fi,-0.1286310851573944
tn,-0.12988336384296417
sn,-0.13213646411895752
sr,-0.13529592752456665
vu,-0.13703212141990662
li,-0.13823291659355164
hk,-0.13839368522167206
pg,-0.13939040899276733
bh,-0.14380742609500885
kn,-0.14636799693107605
bb,-0.14656145870685577
rs,-0.15415100753307343
zm,-0.15539462864398956
lk,-0.15896378457546234
tr,-0.160133495926857
pt,-0.17165592312812805
gn,-0.17759591341018677
vc,-0.18116022646427155
ad,-0.18144237995147705
ao,-0.18463978171348572
si,-0.1882648915052414
ml,-0.18837164342403412
cm,-0.1886671781539917
ro,-0.19675612449645996
to,-0.20025458931922913
la,-0.20361599326133728
mk,-0.21000444889068604
bj,-0.21806174516677856
sk,-0.2232951819896698
im,-0.22375017404556274
kg,-0.2246481478214264
td,-0.22761406004428864
tl,-0.23089347779750824
ws,-0.23230668902397156
md,-0.23442485928535461
tw,-0.24234865605831146
be,-0.255919873714447
ee,-0.25969627499580383
bg,-0.26617440581321716
co,-0.275800496339798
th,-0.2774847745895386
me,-0.27872714400291443
qa,-0.28340470790863037
am,-0.28695669770240784
vn,-0.2944406270980835
ug,-0.3038543164730072
ec,-0.3059930205345154
ru,-0.31044554710388184
mm,-0.31186187267303467
cn,-0.31458160281181335
ly,-0.34165269136428833
mv,-0.3484995663166046
ma,-0.3524268567562103
gd,-0.3645381033420563
al,-0.37447768449783325
zw,-0.3915787637233734
ve,-0.5189603567123413
lt,-0.6091007590293884
