Image,Similarity
vu,0.634433388710022
ao,0.5795499086380005
mv,0.5088697075843811
pg,0.5081127285957336
by,0.4847901165485382
qa,0.45556628704071045
mw,0.4529237151145935
bf,0.44905030727386475
zm,0.41044867038726807
al,0.39830008149147034
cc,0.3976207971572876
am,0.3956012725830078
ma,0.3592367172241211
nz,0.345253050327301
mu,0.3444679379463196
au,0.3288179337978363
hm,0.3288179337978363
tm,0.3222499489784241
gu,0.31787535548210144
gs,0.30840417742729187
me,0.3077775537967682
vg,0.30647778511047363
sx,0.30172663927078247
nr,0.2996683716773987
gm,0.297247976064682
la,0.2904515862464905
eu,0.2894524335861206
pn,0.28867363929748535
ck,0.28406065702438354
ms,0.2822193205356598
ky,0.2806118130683899
lt,0.28052693605422974
tc,0.2762555480003357
zw,0.2704519033432007
tz,0.25655415654182434
gh,0.24944950640201569
tt,0.24661782383918762
ke,0.23757416009902954
pk,0.23568937182426453
ws,0.23133485019207
de,0.22040177881717682
af,0.21933965384960175
ai,0.2180224508047104
pt,0.21760182082653046
fk,0.21402405202388763
ve,0.211392343044281
sa,0.20358793437480927
mr,0.2028626799583435
bo,0.19914060831069946
cx,0.17860740423202515
cn,0.17264431715011597
ss,0.17001201212406158
im,0.16696284711360931
cw,0.15802961587905884
li,0.1572227030992508
gw,0.1562613844871521
za,0.15592992305755615
tl,0.155632883310318
dm,0.15328121185302734
vn,0.1521228849887848
bd,0.1472078114748001
gb-wls,0.14556193351745605
tf,0.14328601956367493
tw,0.1432226300239563
to,0.14137689769268036
cm,0.1310744285583496
bb,0.12831167876720428
mn,0.11991573125123978
be,0.11729680746793747
sz,0.10534781217575073
sb,0.1032390370965004
na,0.10303991287946701
kn,0.09906065464019775
ug,0.09786522388458252
tr,0.09693719446659088
lk,0.08126275986433029
mg,0.07135660201311111
mo,0.06862125545740128
td,0.06846760213375092
ba,0.06266183406114578
mz,0.060534488409757614
ht,0.05624162405729294
tn,0.05512893572449684
bv,0.05396242439746857
no,0.05396242439746857
sj,0.05396242439746857
rs,0.05190318822860718
br,0.05090855062007904
ee,0.03850652277469635
jo,0.03195694461464882
mh,0.02875588834285736
md,0.0281713604927063
np,0.01880798488855362
bh,0.01700419746339321
ad,0.014295324683189392
kg,0.011339418590068817
gd,0.0112529918551445
ki,0.010668352246284485
tg,0.009155288338661194
ro,0.009089015424251556
bj,0.008038446307182312
sy,0.0068309493362903595
mk,0.006525114178657532
co,-0.0020217387937009335
ag,-0.0026828013360500336
om,-0.005519241094589233
bm,-0.006564658135175705
er,-0.013094086199998856
xk,-0.014831490814685822
