Image,Similarity
ma,0.8536823391914368
vn,0.845362663269043
cn,0.8436817526817322
tl,0.816057026386261
kg,0.7993254661560059
al,0.772555410861969
im,0.7722575664520264
tn,0.7327319979667664
qa,0.7240849733352661
hk,0.7082390785217285
tr,0.6854991316795349
es,0.6829975247383118
mk,0.6680985689163208
pt,0.6403398513793945
tw,0.6133392453193665
to,0.6042633056640625
wf,0.5962371230125427
ws,0.5951343774795532
ch,0.5857289433479309
ao,0.5771068334579468
lk,0.5527446866035461
de,0.5049149394035339
pg,0.48278290033340454
bh,0.46952319145202637
td,0.4664401113986969
tt,0.46615973114967346
ug,0.44346311688423157
be,0.44125717878341675
by,0.43841326236724854
bm,0.43023204803466797
lv,0.42990630865097046
mw,0.4249548316001892
ro,0.4073166251182556
dk,0.39839181303977966
cm,0.39319950342178345
zw,0.3915802836418152
gh,0.3885285258293152
af,0.3799987733364105
am,0.3614048361778259
la,0.36095377802848816
bo,0.35360419750213623
ml,0.3469582796096802
li,0.34188324213027954
ad,0.3323453962802887
md,0.3294333815574646
gn,0.328902006149292
at,0.31854069232940674
ve,0.3081171214580536
ly,0.3077775537967682
ke,0.3075277805328369
mv,0.30643996596336365
lt,0.2993552088737488
ec,0.29698634147644043
vu,0.28786391019821167
co,0.2782180905342102
gd,0.2743282914161682
bj,0.2697426676750183
ht,0.25725287199020386
kp,0.25684213638305664
sn,0.25630754232406616
eg,0.2547251880168915
mm,0.2545510530471802
ag,0.2503129243850708
sx,0.2501603066921234
sy,0.24882762134075165
bt,0.2472766935825348
cg,0.24007046222686768
nu,0.2384718358516693
bv,0.23826664686203003
no,0.23826664686203003
sj,0.23826664686203003
bf,0.2381940335035324
ye,0.2378697544336319
sd,0.23775747418403625
iq,0.23615463078022003
ki,0.23294119536876678
kh,0.22736690938472748
tg,0.21814343333244324
tk,0.20294415950775146
mu,0.1950315237045288
id,0.19311025738716125
kn,0.19241948425769806
gm,0.19025708734989166
gb-wls,0.18852564692497253
zm,0.18084760010242462
sz,0.1756168156862259
bd,0.17548200488090515
ss,0.16955840587615967
vc,0.16716307401657104
er,0.16649553179740906
pf,0.1596737802028656
gq,0.1539333611726761
pe,0.15286777913570404
ph,0.14610791206359863
bi,0.14602933824062347
my,0.14453426003456116
gi,0.14314639568328857
sc,0.1392846405506134
bb,0.13865134119987488
lb,0.12852829694747925
tj,0.11923643201589584
pr,0.11575165390968323
gw,0.11134374141693115
bn,0.1043386310338974
do,0.1023593470454216
cl,0.09659509360790253
mr,0.09622041881084442
jo,0.08990958333015442
et,0.08829005062580109
mc,0.08211243152618408
mz,0.0815008208155632
gb-nir,0.08023320138454437
gb,0.08023320138454437
sh,0.08023320138454437
gl,0.0795706957578659
