Image,Similarity
sx,0.5439422726631165
bf,0.5243496894836426
bh,0.4645259976387024
gw,0.42682287096977234
mt,0.37498223781585693
bo,0.36198514699935913
ne,0.3548259735107422
by,0.35450267791748047
gh,0.3450790047645569
in,0.33112040162086487
sm,0.29474517703056335
lu,0.29432767629623413
to,0.2832587957382202
co,0.2786185145378113
sc,0.269413560628891
py,0.26183369755744934
vu,0.2591770887374878
jp,0.25535911321640015
gi,0.25290554761886597
dj,0.25188425183296204
om,0.247152179479599
tj,0.23905876278877258
iq,0.23795829713344574
hu,0.2320268452167511
ao,0.23102998733520508
eg,0.22750678658485413
ca,0.22087930142879486
tr,0.21578949689865112
ye,0.2041431963443756
gg,0.20211800932884216
id,0.20018936693668365
sy,0.19656820595264435
bn,0.19628113508224487
sg,0.19574442505836487
pf,0.19369956851005554
gm,0.1933128386735916
gb-eng,0.191458061337471
bq,0.19113034009933472
nl,0.19113034009933472
ec,0.18614043295383453
sd,0.18293289840221405
lk,0.1815374791622162
gb-wls,0.17834608256816864
za,0.17342810332775116
cy,0.1722247153520584
hr,0.1710868775844574
lb,0.1693926900625229
wf,0.15721870958805084
tl,0.1567818522453308
ge,0.1558857560157776
ki,0.15396210551261902
kp,0.14398828148841858
nf,0.14342328906059265
ba,0.13845086097717285
pg,0.13780495524406433
vc,0.1350785195827484
je,0.12653246521949768
bv,0.12551788985729218
no,0.12551788985729218
sj,0.12551788985729218
mc,0.12301594763994217
rs,0.12180928885936737
kr,0.12064938247203827
cr,0.11508464068174362
cf,0.11423338949680328
mk,0.11416525393724442
np,0.11369813233613968
na,0.10903705656528473
at,0.10789153724908829
cn,0.1071939691901207
vi,0.10519251227378845
nu,0.10276246070861816
kg,0.09890742599964142
md,0.09507444500923157
es,0.09394317120313644
lr,0.08642599731683731
au,0.0854802206158638
hm,0.0854802206158638
gl,0.0813666433095932
lt,0.08051855117082596
km,0.07999744266271591
bt,0.0780360996723175
ls,0.07658030092716217
zw,0.07600004225969315
ly,0.07135660201311111
vn,0.07130922377109528
ar,0.07114681601524353
gd,0.06815260648727417
tc,0.06727351248264313
st,0.06520229578018188
pa,0.06063378229737282
nz,0.06035013496875763
ma,0.059326499700546265
qa,0.05443579703569412
pn,0.052668385207653046
lv,0.0520789697766304
ai,0.05101246386766434
uy,0.050890952348709106
fo,0.04905223473906517
mw,0.049007441848516464
il,0.04818204045295715
is,0.04628831893205643
tg,0.04614228755235672
pl,0.04566338658332825
bi,0.04384925216436386
tt,0.04154909402132034
mu,0.04141975939273834
vg,0.03993026167154312
gb-nir,0.03867604210972786
gb,0.03867604210972786
sh,0.03867604210972786
sk,0.035138972103595734
ax,0.034686896950006485
gs,0.03466184809803963
bm,0.03303183987736702
am,0.03165604919195175
ky,0.02667773887515068
ck,0.024947382509708405
ve,0.024356184527277946
gb-sct,0.021281452849507332
io,0.020997896790504456
th,0.019137829542160034
sr,0.018334684893488884
fj,0.017578041180968285
fk,0.01706206053495407
al,0.016927149146795273
ms,0.01659732684493065
cd,0.015224985778331757
tw,0.015156196430325508
me,0.01302491407841444
sl,0.010460056364536285
ml,0.007845321670174599
ss,0.007036250084638596
cm,0.006619289517402649
hk,0.005501341074705124
im,0.00517936609685421
pk,0.005114024505019188
pr,0.004566479474306107
eh,0.0037624500691890717
ug,0.0030482951551675797
bg,0.0029629196505993605
do,0.002171330153942108
tm,0.0014940109103918076
fm,0.0013153832405805588
br,-0.00019404292106628418
jm,-0.0017924653366208076
va,-0.004007451236248016
pt,-0.004664663225412369
se,-0.005842482205480337
lc,-0.005845934152603149
sv,-0.0060401540249586105
er,-0.007348470389842987
pw,-0.010524849407374859
ps,-0.011221861466765404
dk,-0.011839417740702629
uz,-0.011868111789226532
tv,-0.013303808867931366
mm,-0.014874838292598724
ke,-0.014875061810016632
ru,-0.017773892730474472
ch,-0.019801899790763855
gy,-0.021781524643301964
um,-0.022986216470599174
us,-0.022986216470599174
ni,-0.023672785609960556
tn,-0.027873851358890533
bw,-0.03032895363867283
gr,-0.03059042990207672
cu,-0.031936489045619965
bd,-0.03476491943001747
kz,-0.04635811224579811
dm,-0.0463830903172493
hn,-0.04810977727174759
ae,-0.05143336206674576
tf,-0.05410846322774887
ad,-0.05865589529275894
mv,-0.06143835186958313
gn,-0.06257438659667969
sz,-0.06531871110200882
tz,-0.06540793180465698
sa,-0.06646806001663208
ga,-0.06851162761449814
si,-0.06892988830804825
sb,-0.07190460711717606
ie,-0.07193078845739365
cz,-0.0774834081530571
kh,-0.07801606506109238
ro,-0.08048010617494583
bj,-0.08417703956365585
gt,-0.08818667382001877
mr,-0.09075959026813507
ng,-0.09144119918346405
cc,-0.09650421887636185
so,-0.10130839049816132
cg,-0.10674083232879639
td,-0.10988083481788635
ir,-0.11380548775196075
nr,-0.11559543013572693
sn,-0.11857426911592484
zm,-0.1256316602230072
mp,-0.12575586140155792
fi,-0.1267402023077011
my,-0.127019003033638
gq,-0.12824170291423798
as,-0.129911869764328
bb,-0.1330219805240631
az,-0.1342742145061493
ws,-0.13907980918884277
la,-0.1394958794116974
jo,-0.14124196767807007
aw,-0.14217127859592438
cx,-0.14378926157951355
mn,-0.146833598613739
de,-0.1497907042503357
mx,-0.15580153465270996
ci,-0.16573764383792877
eu,-0.16729596257209778
mz,-0.16744086146354675
mh,-0.1698000282049179
kn,-0.17197129130363464
cl,-0.17576582729816437
bs,-0.17949385941028595
bz,-0.183659166097641
pe,-0.18547827005386353
kw,-0.19018089771270752
cw,-0.19450782239437103
aq,-0.20584604144096375
xk,-0.21259237825870514
gu,-0.2241416871547699
et,-0.23556067049503326
ee,-0.23785309493541718
af,-0.23854181170463562
tk,-0.24644911289215088
it,-0.2505425214767456
mo,-0.27174079418182373
cv,-0.2777184545993805
dz,-0.2909180521965027
be,-0.3035537600517273
rw,-0.3063860833644867
ph,-0.3076704442501068
ag,-0.31447210907936096
bl,-0.33982744812965393
fr,-0.33982744812965393
gf,-0.33982744812965393
gp,-0.33982744812965393
mf,-0.33982744812965393
mq,-0.33982744812965393
nc,-0.33982744812965393
pm,-0.33982744812965393
re,-0.33982744812965393
yt,-0.33982744812965393
ua,-0.3576650619506836
ht,-0.4335917532444
li,-0.4678216874599457
