Image,Similarity
sn,0.907421350479126
td,0.9028910398483276
ro,0.9018775224685669
ad,0.7847744226455688
be,0.6736164093017578
md,0.6260806918144226
bj,0.5675563812255859
cg,0.5610207319259644
bb,0.5345535278320312
pt,0.5237231254577637
it,0.5223082900047302
nu,0.52009117603302
kg,0.4910077750682831
gd,0.49079862236976624
gn,0.4888254702091217
bl,0.4745202362537384
fr,0.4745202362537384
gf,0.4745202362537384
gp,0.4745202362537384
mf,0.4745202362537384
mq,0.4745202362537384
nc,0.4745202362537384
pm,0.4745202362537384
re,0.4745202362537384
yt,0.4745202362537384
vc,0.4730513095855713
es,0.4712320566177368
vn,0.4653390347957611
bt,0.4456399977207184
mk,0.44396865367889404
mm,0.4054117500782013
mx,0.40394389629364014
tl,0.39876848459243774
cm,0.3538384437561035
va,0.3509194254875183
me,0.3469582796096802
cn,0.3423961400985718
hk,0.331833153963089
pe,0.33149707317352295
ch,0.3271022439002991
ug,0.32288599014282227
bn,0.3205975592136383
st,0.3189210295677185
ie,0.31164366006851196
ec,0.3043171763420105
tn,0.30306142568588257
tr,0.2921351492404938
af,0.27231693267822266
zw,0.26682329177856445
cl,0.2608712315559387
tk,0.25932222604751587
mt,0.2583898603916168
im,0.25634175539016724
sc,0.25545385479927063
co,0.2517402768135071
wf,0.2512982189655304
de,0.24840867519378662
lk,0.2418210208415985
to,0.24104905128479004
lt,0.23730874061584473
zm,0.23267978429794312
ma,0.22771400213241577
ki,0.22555261850357056
km,0.2253880500793457
bh,0.22469758987426758
ng,0.22239939868450165
bo,0.2136455625295639
id,0.21187064051628113
dk,0.21054472029209137
at,0.20959442853927612
gw,0.20112255215644836
gt,0.20054541528224945
cz,0.19724060595035553
gq,0.19586412608623505
gg,0.19322629272937775
tw,0.18749380111694336
ne,0.1870223730802536
sg,0.1860077679157257
gh,0.18549373745918274
bi,0.18259531259536743
ge,0.18167153000831604
ba,0.1733691543340683
pr,0.15943694114685059
ci,0.15688425302505493
mc,0.15589526295661926
by,0.15421004593372345
um,0.15400797128677368
us,0.15400797128677368
pl,0.14899668097496033
je,0.14806722104549408
bf,0.14652934670448303
in,0.14309731125831604
gl,0.14114511013031006
mu,0.13851267099380493
cy,0.13648593425750732
om,0.135858416557312
ws,0.13266940414905548
ve,0.13212689757347107
ax,0.13169771432876587
tj,0.13026019930839539
kn,0.12909528613090515
lr,0.12833473086357117
sr,0.127818763256073
ir,0.1254163682460785
gy,0.12352407723665237
vi,0.12305495887994766
al,0.11631623655557632
tg,0.1162203997373581
kp,0.11513550579547882
lv,0.11007452756166458
mw,0.10969536006450653
pf,0.1054706946015358
pa,0.10284948348999023
hu,0.10137633979320526
ca,0.1013617292046547
ag,0.1012597605586052
jm,0.10018062591552734
cf,0.09824217855930328
ao,0.09747125208377838
mr,0.09734462946653366
ua,0.09713628143072128
cc,0.09622436761856079
do,0.08700142055749893
gb-eng,0.08535879850387573
lb,0.0845852717757225
bm,0.08243285119533539
la,0.08221641182899475
ga,0.08133096992969513
gb-wls,0.07394189387559891
pg,0.07187711447477341
am,0.07015511393547058
dz,0.06878010928630829
tt,0.06505253911018372
kw,0.06374840438365936
dm,0.052687108516693115
eg,0.050277117639780045
sd,0.04749910533428192
cr,0.046031299978494644
se,0.04573081433773041
ye,0.045544445514678955
bg,0.04487314820289612
vu,0.04435161501169205
ss,0.043838974088430405
sz,0.04116765409708023
sy,0.03617929667234421
my,0.035973407328128815
gb-nir,0.03306398168206215
gb,0.03306398168206215
sh,0.03306398168206215
fo,0.02848321944475174
ke,0.027051560580730438
pw,0.02369805797934532
mz,0.017766490578651428
kr,0.01743258535861969
iq,0.014396090060472488
gi,0.014193214476108551
rs,0.012356773018836975
nf,0.012027516961097717
mv,0.009059019386768341
bs,0.007976461201906204
mg,0.007845321670174599
qa,0.0008185133337974548
bd,-0.0028070658445358276
jp,-0.006095770746469498
sk,-0.009340150281786919
bq,-0.01614336669445038
nl,-0.01614336669445038
lu,-0.01702892780303955
th,-0.01896333321928978
aq,-0.023704618215560913
br,-0.025843843817710876
lc,-0.03197580203413963
az,-0.03386067599058151
bv,-0.04105978459119797
no,-0.04105978459119797
sj,-0.04105978459119797
ly,-0.0425989031791687
py,-0.04820535331964493
er,-0.049146413803100586
bz,-0.05203884094953537
ae,-0.05207890644669533
gm,-0.05279326066374779
za,-0.05733012035489082
ps,-0.05763859301805496
uz,-0.06217541545629501
ru,-0.06591808795928955
sm,-0.06605802476406097
si,-0.0664333924651146
eh,-0.06950193643569946
ar,-0.07955481112003326
jo,-0.08338423818349838
rw,-0.08549351990222931
hr,-0.09341766685247421
as,-0.0980784073472023
sl,-0.10133789479732513
tz,-0.10303308069705963
mo,-0.11348268389701843
sx,-0.11858305335044861
kh,-0.12400619685649872
io,-0.12541241943836212
na,-0.14223115146160126
fi,-0.1437460035085678
gr,-0.1452084183692932
ht,-0.14846305549144745
dj,-0.15558364987373352
sa,-0.15655526518821716
pk,-0.16061413288116455
mp,-0.17228497564792633
uy,-0.17448385059833527
li,-0.1749466210603714
et,-0.17571887373924255
ee,-0.1802779734134674
ls,-0.18837164342403412
il,-0.19321534037590027
is,-0.19693611562252045
cu,-0.20338958501815796
ph,-0.20710095763206482
bw,-0.21355929970741272
fj,-0.2175178825855255
kz,-0.2202616035938263
gb-sct,-0.2232360690832138
fm,-0.23591504991054535
hn,-0.2364434003829956
xk,-0.24348856508731842
cx,-0.24464884400367737
ni,-0.2686368525028229
sb,-0.2864307463169098
sv,-0.29427939653396606
cv,-0.29912614822387695
np,-0.30971696972846985
mh,-0.31011295318603516
cd,-0.3118557929992676
aw,-0.3149450123310089
tm,-0.3521755337715149
ck,-0.35676705837249756
cw,-0.3626541495323181
so,-0.3687058091163635
tc,-0.38248422741889954
pn,-0.38412490487098694
gs,-0.38622477650642395
au,-0.3888024389743805
hm,-0.3888024389743805
nz,-0.39201030135154724
gu,-0.395478755235672
vg,-0.39730241894721985
ky,-0.399442583322525
ai,-0.40200451016426086
ms,-0.4301983714103699
fk,-0.4307815730571747
tv,-0.43108415603637695
nr,-0.4492623209953308
tf,-0.5342339873313904
eu,-0.5555338263511658
mn,-0.5650961995124817
