Image,Similarity
nz,0.9331678748130798
gs,0.9224547743797302
fk,0.9172638654708862
vg,0.9119457602500916
au,0.9102073311805725
hm,0.9102073311805725
ky,0.9014032483100891
tc,0.8943976163864136
pn,0.8873472213745117
ai,0.8823994398117065
ck,0.8168781399726868
tv,0.5879425406455994
tf,0.5399234890937805
eu,0.5294340252876282
gu,0.485725998878479
nr,0.4406035840511322
cx,0.36863192915916443
cw,0.36185920238494873
sa,0.35867324471473694
mn,0.3503037095069885
tm,0.32444751262664795
bm,0.29686981439590454
ao,0.2824200391769409
ly,0.2822193205356598
sb,0.2819196581840515
sx,0.27561354637145996
xk,0.2541356682777405
np,0.25213930010795593
io,0.25200846791267395
pk,0.2505086064338684
vu,0.23448312282562256
pg,0.23297429084777832
fj,0.22344708442687988
cc,0.2203662246465683
is,0.21705926954746246
tz,0.20751291513442993
mh,0.20481963455677032
gm,0.18513500690460205
qa,0.1799820214509964
mo,0.17661340534687042
bd,0.17008072137832642
mv,0.16571757197380066
li,0.16361580789089203
ss,0.1577562838792801
ke,0.15216436982154846
so,0.15004971623420715
bz,0.14662063121795654
mp,0.13557104766368866
sy,0.13144651055335999
cv,0.1311899870634079
kz,0.1300317794084549
iq,0.12541310489177704
sv,0.12215539067983627
zm,0.11910951137542725
cd,0.1165362223982811
ht,0.11615452170372009
bf,0.11571957916021347
za,0.10619160532951355
kh,0.10353418439626694
bs,0.10029561817646027
ls,0.09866535663604736
hn,0.09536571800708771
ae,0.08889980614185333
et,0.08692549914121628
dm,0.08523862808942795
eg,0.08321458101272583
ru,0.08042653650045395
sd,0.0799567699432373
by,0.07675474882125854
ph,0.07573619484901428
kn,0.07497057318687439
pa,0.0736834779381752
gb-wls,0.0723583772778511
ye,0.0703316405415535
hr,0.07019062340259552
to,0.0641794502735138
aw,0.06404633820056915
mw,0.06284599751234055
dj,0.062262725085020065
se,0.06047898903489113
la,0.06004886329174042
ni,0.05748067796230316
ve,0.05745929479598999
br,0.05535300448536873
si,0.053985465317964554
eh,0.040649041533470154
jo,0.03844067081809044
py,0.03241768479347229
jm,0.030922070145606995
ps,0.027672795578837395
bw,0.02643389068543911
uy,0.02129148319363594
aq,0.01782119646668434
na,0.01689644530415535
ax,0.016854511573910713
mg,0.01659732684493065
om,0.015349711291491985
bv,0.014419212937355042
no,0.014419212937355042
sj,0.014419212937355042
bg,0.01285476889461279
lt,0.009625027887523174
gb-sct,0.008447154425084591
rw,0.007415998727083206
kp,0.005117974244058132
gh,0.0010385625064373016
sk,-0.001930528786033392
bo,-0.005242045968770981
am,-0.005988839082419872
pw,-0.008195647038519382
er,-0.009093927219510078
cu,-0.009313525632023811
af,-0.010938174091279507
ba,-0.014465073123574257
mr,-0.016080614179372787
as,-0.02158231846988201
co,-0.022839220240712166
bq,-0.023311737924814224
nl,-0.023311737924814224
gw,-0.026187239214777946
gb-nir,-0.028696209192276
gb,-0.028696209192276
sh,-0.028696209192276
al,-0.029979338869452477
az,-0.0374886691570282
sl,-0.037656016647815704
gi,-0.03822039067745209
tt,-0.04374688118696213
sz,-0.04536815360188484
ee,-0.047087762504816055
il,-0.05059549957513809
th,-0.05387532338500023
tj,-0.05404648184776306
ma,-0.0587964728474617
cf,-0.06505199521780014
ag,-0.06760740280151367
bb,-0.06806238740682602
tg,-0.07028993964195251
lv,-0.07637311518192291
in,-0.07687778770923615
zw,-0.07834932953119278
lu,-0.08360987156629562
sm,-0.08728282153606415
uz,-0.09099884331226349
mu,-0.09279348701238632
fm,-0.0965801477432251
km,-0.10341107100248337
gr,-0.10658644139766693
cr,-0.11125887185335159
me,-0.11152243614196777
mz,-0.11213435232639313
ne,-0.11394522339105606
ws,-0.11502353101968765
cz,-0.11896153539419174
dk,-0.12117376923561096
im,-0.12570439279079437
gy,-0.13114100694656372
hu,-0.13159990310668945
fi,-0.13281013071537018
bh,-0.13366714119911194
lc,-0.13465923070907593
pl,-0.1353261023759842
ec,-0.14047998189926147
ug,-0.14995504915714264
tw,-0.15008465945720673
ga,-0.1508951038122177
cm,-0.1519157588481903
tr,-0.15374912321567535
pt,-0.16092753410339355
sr,-0.16601726412773132
kw,-0.17054922878742218
mt,-0.17522747814655304
rs,-0.1762116402387619
kr,-0.17652083933353424
bn,-0.18928328156471252
pf,-0.19278843700885773
tl,-0.19350789487361908
lb,-0.19394907355308533
lk,-0.19523197412490845
cn,-0.19582122564315796
wf,-0.19588693976402283
st,-0.19861005246639252
cl,-0.20146287977695465
tn,-0.2021351009607315
do,-0.20406503975391388
ir,-0.20437240600585938
sc,-0.21451060473918915
ar,-0.21489602327346802
bi,-0.2165282815694809
nf,-0.21785590052604675
lr,-0.2276758998632431
de,-0.24084292352199554
jp,-0.24086354672908783
bj,-0.2421005517244339
pr,-0.24499355256557465
vn,-0.24505296349525452
gq,-0.24602636694908142
my,-0.2550116777420044
ki,-0.2557484805583954
hk,-0.2586449682712555
at,-0.2670056223869324
ua,-0.2682700753211975
dz,-0.27129051089286804
gt,-0.271505743265152
es,-0.28123319149017334
gl,-0.28299614787101746
ch,-0.28706789016723633
fo,-0.29136794805526733
mm,-0.2931479215621948
gb-eng,-0.29641738533973694
gd,-0.2989158034324646
ad,-0.29910382628440857
ci,-0.3016993999481201
be,-0.30202916264533997
gn,-0.3055844306945801
ge,-0.30604088306427
mx,-0.3067398965358734
bl,-0.3081992566585541
fr,-0.3081992566585541
gf,-0.3081992566585541
gp,-0.3081992566585541
mf,-0.3081992566585541
mq,-0.3081992566585541
nc,-0.3081992566585541
pm,-0.3081992566585541
re,-0.3081992566585541
yt,-0.3081992566585541
tk,-0.30859214067459106
ng,-0.31943339109420776
mk,-0.32093316316604614
nu,-0.32655420899391174
kg,-0.3275670111179352
ca,-0.3284008502960205
pe,-0.3312411904335022
it,-0.33654123544692993
td,-0.33786553144454956
vi,-0.33908581733703613
md,-0.3433455526828766
um,-0.34545111656188965
us,-0.34545111656188965
vc,-0.3504806160926819
ro,-0.35126182436943054
je,-0.363620400428772
gg,-0.3706516921520233
cy,-0.3863650858402252
ie,-0.3992336094379425
sn,-0.41716268658638
id,-0.428940087556839
ml,-0.4301983714103699
bt,-0.4339844882488251
mc,-0.43989238142967224
sg,-0.4570156931877136
va,-0.49386170506477356
cg,-0.5401502251625061
