Image,Similarity
by,0.4136894941329956
rw,0.4001918137073517
ua,0.3680821657180786
gh,0.3631153404712677
bo,0.35542404651641846
ly,0.3444679379463196
vu,0.33544036746025085
cv,0.3183218836784363
mw,0.3100607097148895
cw,0.2820107638835907
nu,0.23930850625038147
tg,0.2384103238582611
bf,0.22954176366329193
ne,0.223139226436615
tj,0.21650944650173187
tk,0.21219855546951294
de,0.20577964186668396
gm,0.2053714394569397
ke,0.19883519411087036
al,0.19797196984291077
st,0.19773128628730774
me,0.1950315237045288
id,0.1947208195924759
ss,0.18996647000312805
mc,0.18975864350795746
es,0.18707269430160522
tl,0.18228331208229065
ma,0.18204085528850555
vn,0.1785634160041809
sc,0.171437606215477
kg,0.16659307479858398
pt,0.16624806821346283
am,0.1628427654504776
ao,0.16276003420352936
mk,0.16146056354045868
lk,0.15606805682182312
mr,0.1527596265077591
pg,0.15086406469345093
cc,0.14833971858024597
zw,0.14698408544063568
jm,0.1459779590368271
cn,0.14508217573165894
tw,0.1436730921268463
td,0.1395617425441742
ml,0.13851267099380493
zm,0.13778144121170044
jo,0.13733327388763428
ws,0.13637864589691162
sg,0.13582484424114227
qa,0.1301116794347763
gb-wls,0.12924538552761078
eg,0.1291024088859558
cm,0.12848417460918427
tr,0.12549921870231628
gn,0.1234409511089325
md,0.12317479401826859
sy,0.12023922801017761
af,0.11746448278427124
sd,0.11471444368362427
ye,0.11300225555896759
ro,0.11281117796897888
be,0.1115134134888649
eh,0.1114395409822464
in,0.11046046018600464
hu,0.10995437949895859
iq,0.10231900960206985
li,0.10185928642749786
tn,0.09971758723258972
ps,0.09955032169818878
gd,0.09931516647338867
im,0.0986984521150589
bd,0.09613333642482758
mh,0.09594988822937012
na,0.09391925483942032
lu,0.09380900859832764
ki,0.09378960728645325
gy,0.09244046360254288
sn,0.08971238881349564
tt,0.08469821512699127
hr,0.08386930078268051
hk,0.08337102085351944
za,0.08204100281000137
ad,0.07803386449813843
om,0.0777842327952385
bh,0.0775681883096695
vc,0.07755964994430542
ax,0.07428298890590668
pk,0.07184083014726639
py,0.07044713199138641
kh,0.07015713304281235
rs,0.0682561844587326
bq,0.060917094349861145
nl,0.060917094349861145
ch,0.060518570244312286
wf,0.05848882347345352
mv,0.05636495351791382
kp,0.05529101565480232
br,0.05507156625390053
dm,0.05338329076766968
sr,0.05302790552377701
to,0.0509345680475235
bb,0.05052139610052109
tm,0.04856034368276596
bs,0.04635586217045784
lv,0.045050814747810364
mg,0.04141975939273834
mo,0.039331357926130295
xk,0.036749400198459625
se,0.03134483844041824
sb,0.028999749571084976
dk,0.021642327308654785
ph,0.021529987454414368
km,0.019042715430259705
er,0.01379479467868805
tz,0.013577934354543686
sz,0.011629343032836914
gb-nir,0.011594798415899277
gb,0.011594798415899277
sh,0.011594798415899277
sx,0.011393092572689056
ht,0.008683528751134872
my,0.006650090217590332
bv,0.004839682951569557
no,0.004839682951569557
sj,0.004839682951569557
va,0.0027881981804966927
bm,-5.21242618560791e-05
at,-0.0058114007115364075
ba,-0.0071689775213599205
ls,-0.01403963565826416
lt,-0.014914534986019135
la,-0.015732882544398308
mz,-0.016925685107707977
ge,-0.020290907472372055
nr,-0.020384302362799644
ga,-0.02716067060828209
as,-0.0274500772356987
cg,-0.029201053082942963
io,-0.03064078837633133
bi,-0.03194916993379593
do,-0.03224996477365494
dj,-0.03260185569524765
pe,-0.03654779493808746
ag,-0.04104364663362503
gg,-0.04112302511930466
is,-0.041396334767341614
um,-0.04143201559782028
us,-0.04143201559782028
lb,-0.042259618639945984
pw,-0.04251484572887421
vi,-0.04539618641138077
mt,-0.04564753174781799
kn,-0.046020835638046265
bt,-0.04693878814578056
cr,-0.04729339852929115
bz,-0.04829831421375275
lr,-0.05305393040180206
az,-0.05425223335623741
tf,-0.05720173567533493
gu,-0.05875159427523613
pr,-0.05949776992201805
dz,-0.05980062484741211
gw,-0.06063460558652878
uz,-0.06197793036699295
pf,-0.062369026243686676
gl,-0.06769710779190063
th,-0.06814485788345337
bl,-0.07209303975105286
fr,-0.07209303975105286
gf,-0.07209303975105286
gp,-0.07209303975105286
mf,-0.07209303975105286
mq,-0.07209303975105286
nc,-0.07209303975105286
pm,-0.07209303975105286
re,-0.07209303975105286
yt,-0.07209303975105286
gb-eng,-0.07262439280748367
aq,-0.07441405951976776
mm,-0.07445864379405975
je,-0.07602530717849731
ci,-0.0778651311993599
sa,-0.0792074054479599
ca,-0.08037889748811722
ky,-0.0814320519566536
vg,-0.08173663914203644
pa,-0.08322348445653915
it,-0.08354497700929642
ae,-0.0837099552154541
ug,-0.0861673653125763
mx,-0.08800890296697617
gi,-0.09195897728204727
ms,-0.09279348701238632
pn,-0.09321949630975723
cu,-0.09367110580205917
jp,-0.09610559046268463
hn,-0.09845779836177826
ee,-0.0989241674542427
gs,-0.09951380640268326
mp,-0.10368954390287399
cd,-0.10726318508386612
mn,-0.1086961105465889
eu,-0.10882879048585892
ie,-0.11408760398626328
cy,-0.1148780956864357
au,-0.11654571443796158
hm,-0.11654571443796158
fk,-0.11709912121295929
il,-0.11778674274682999
ck,-0.11781581491231918
bj,-0.1191619336605072
sv,-0.11962860822677612
nz,-0.12145789712667465
fo,-0.12149745225906372
tc,-0.12257784605026245
ve,-0.12601813673973083
cx,-0.13071151077747345
ni,-0.13286572694778442
gb-sct,-0.13439877331256866
ng,-0.1364763081073761
ai,-0.13727934658527374
sl,-0.13833783566951752
aw,-0.14274953305721283
bw,-0.14704912900924683
fj,-0.150790736079216
bn,-0.15233221650123596
fi,-0.15263502299785614
nf,-0.15320169925689697
gq,-0.155754953622818
lc,-0.1590462177991867
uy,-0.1646679937839508
ar,-0.16675914824008942
cl,-0.16748233139514923
np,-0.17261187732219696
tv,-0.17711129784584045
gr,-0.17865966260433197
kz,-0.1830555498600006
gt,-0.1830759048461914
kw,-0.19293591380119324
kr,-0.2016254961490631
bg,-0.20208275318145752
et,-0.217547208070755
ir,-0.22445666790008545
sm,-0.22584876418113708
cz,-0.24025890231132507
ru,-0.24549517035484314
fm,-0.24722838401794434
so,-0.2521291673183441
cf,-0.2598619759082794
si,-0.2828736901283264
sk,-0.28323104977607727
pl,-0.28656890988349915
ec,-0.39722928404808044
co,-0.562002420425415
