Image,Similarity
by,0.7341288924217224
de,0.6940250396728516
ke,0.6101647615432739
ss,0.5775724053382874
qa,0.5177755951881409
bd,0.5152241587638855
ao,0.4797400236129761
vu,0.466081440448761
ly,0.4529237151145935
gh,0.43962037563323975
ma,0.425139456987381
me,0.4249548316001892
er,0.4217201769351959
pg,0.41579389572143555
jo,0.4153688848018646
pt,0.4065922498703003
bo,0.3874201774597168
bf,0.3813498616218567
dm,0.375820517539978
cn,0.3757718503475189
zw,0.36122870445251465
af,0.3562762439250946
al,0.35279691219329834
tl,0.34829193353652954
zm,0.3427548110485077
ws,0.33847782015800476
cc,0.3324801027774811
vn,0.31999439001083374
kh,0.31577980518341064
jm,0.3136385977268219
eh,0.31066277623176575
mu,0.3100607097148895
st,0.3058338165283203
ax,0.2964114844799042
tr,0.2942012846469879
tt,0.2814059853553772
im,0.26926544308662415
cm,0.2684990167617798
sx,0.26770174503326416
ps,0.26600685715675354
bs,0.26420971751213074
sr,0.2581634819507599
tw,0.25716546177864075
na,0.2435724288225174
kp,0.23576119542121887
gb-wls,0.23374220728874207
to,0.233161062002182
lk,0.23291325569152832
kg,0.22972257435321808
nr,0.22559551894664764
br,0.22359684109687805
li,0.22004148364067078
az,0.2186231166124344
tk,0.21729184687137604
ug,0.21471074223518372
gy,0.20969709753990173
be,0.2082938253879547
td,0.20413213968276978
tn,0.20404918491840363
tz,0.20224496722221375
mk,0.2003379762172699
es,0.19816797971725464
gm,0.19389289617538452
bh,0.18530848622322083
tg,0.18327449262142181
mz,0.18267136812210083
pk,0.18162912130355835
gu,0.15832379460334778
kn,0.15208768844604492
ne,0.150932177901268
is,0.1506694257259369
mh,0.14955458045005798
hk,0.14882178604602814
ga,0.1477227807044983
cw,0.1465730220079422
ki,0.1465541571378708
sa,0.14578010141849518
ro,0.1440543532371521
gb-nir,0.14011014997959137
gb,0.14011014997959137
sh,0.14011014997959137
id,0.13526704907417297
bb,0.12586456537246704
sc,0.1229773759841919
np,0.11836901307106018
nz,0.11504565179347992
wf,0.11290854215621948
sz,0.11176417022943497
tm,0.11080221086740494
ht,0.11068457365036011
ml,0.10969536006450653
ad,0.10961039364337921
au,0.10872052609920502
hm,0.10872052609920502
gn,0.10618842393159866
tc,0.10596712678670883
ag,0.10122793912887573
md,0.10051457583904266
pn,0.10044105350971222
vg,0.0999048501253128
ky,0.0957394540309906
gs,0.09347262233495712
am,0.09296655654907227
cv,0.09218569099903107
se,0.09094095230102539
lv,0.08683068305253983
eg,0.08595909923315048
bm,0.07177510112524033
sy,0.06988070160150528
ai,0.06725449115037918
iq,0.06642059981822968
mc,0.06591552495956421
sb,0.06471414864063263
eu,0.06368382275104523
ms,0.06284599751234055
ph,0.061984628438949585
om,0.05894026905298233
ye,0.05565842613577843
cx,0.05129353329539299
mg,0.049007441848516464
bj,0.04567200690507889
ch,0.045618653297424316
ck,0.04364669322967529
sd,0.04320039227604866
gw,0.04307062178850174
tj,0.037485167384147644
mo,0.03643098101019859
fk,0.029959851875901222
cf,0.02709747478365898
bz,0.018221311271190643
ls,0.010779902338981628
hr,0.010552763938903809
dk,0.009891372174024582
ae,0.008693557232618332
et,0.006226135417819023
la,0.00206887349486351
bv,-0.00019414164125919342
no,-0.00019414164125919342
sj,-0.00019414164125919342
my,-0.0005434369668364525
ua,-0.0036625936627388
sn,-0.00408538430929184
bq,-0.013633757829666138
nl,-0.013633757829666138
nu,-0.021184377372264862
cr,-0.023247111588716507
mv,-0.02555844932794571
py,-0.026432067155838013
tf,-0.02960885316133499
ba,-0.03167611360549927
ee,-0.03204497694969177
sg,-0.03375101089477539
vc,-0.03400295227766037
as,-0.03537867218255997
rs,-0.03942959010601044
do,-0.042783014476299286
za,-0.04571739211678505
hu,-0.04930548742413521
xk,-0.05029274523258209
mr,-0.050897687673568726
sv,-0.07329416275024414
hn,-0.07348654419183731
mn,-0.07884791493415833
cg,-0.07893840968608856
lu,-0.08182942867279053
aq,-0.08345313370227814
cd,-0.09143082797527313
in,-0.09480614960193634
